Nivel,NOMBRE,Year,SEMANA_REGISTRO,Enviados,Asistencia,Year_Semana
DISTRITO,MTY CARRETERA NACIONAL,2022,20,0,0,2022-20
DISTRITO,MTY CERRO DE LA SILLA,2022,20,0,0,2022-20
DISTRITO,MTY GARCIA,2022,19,0,0,2022-19
DISTRITO,MTY GARCIA,2022,20,0,0,2022-20
DISTRITO,MTY MITRAS,2022,20,0,0,2022-20
DISTRITO,MTY SANTA LUCIA,2022,20,0,0,2022-20
DISTRITO,MTY SENDERO DIVISORIO,2022,20,0,0,2022-20
DISTRITO,MTY SIERRA MADRE,2022,20,0,0,2022-20
DISTRITO,NAUCALPAN,2022,19,0,0,2022-19
DISTRITO,NAUCALPAN,2022,20,4,0,2022-20
DISTRITO,NEZA 1,2022,19,0,0,2022-19
DISTRITO,NEZA 1,2022,20,0,0,2022-20
DISTRITO,NEZA 2,2022,20,0,0,2022-20
DISTRITO,NICOLAS ROMERO,2022,19,0,0,2022-19
DISTRITO,NICOLAS ROMERO,2022,20,0,0,2022-20
DISTRITO,OJO DE AGUA,2022,19,0,0,2022-19
DISTRITO,OJO DE AGUA,2022,20,0,0,2022-20
DISTRITO,PACHUCA,2022,19,2,0,2022-19
DISTRITO,PACHUCA,2022,20,0,0,2022-20
DISTRITO,PEDREGAL,2022,19,0,0,2022-19
DISTRITO,PEDREGAL,2022,20,0,0,2022-20
DISTRITO,PIEDRAS NEGRAS / MONCLOVA,2022,19,0,0,2022-19
DISTRITO,PIEDRAS NEGRAS / MONCLOVA,2022,20,0,0,2022-20
DISTRITO,POLANCO,2022,19,0,0,2022-19
DISTRITO,POLANCO,2022,20,0,0,2022-20
DISTRITO,PORTALES,2022,19,0,0,2022-19
DISTRITO,PORTALES,2022,20,0,0,2022-20
DISTRITO,POZA RICA,2022,19,0,0,2022-19
DISTRITO,POZA RICA,2022,20,0,0,2022-20
DISTRITO,PUE ANGELOPOLIS,2022,19,0,0,2022-19
DISTRITO,PUE ANGELOPOLIS,2022,20,0,0,2022-20
DISTRITO,PUE LA NORIA,2022,19,0,0,2022-19
DISTRITO,PUE LA NORIA,2022,20,0,0,2022-20
DISTRITO,PUE LORETO,2022,19,1,1,2022-19
DISTRITO,PUE LORETO,2022,20,0,0,2022-20
DISTRITO,PUERTO VALLARTA,2022,19,0,0,2022-19
DISTRITO,PUERTO VALLARTA,2022,20,0,0,2022-20
DISTRITO,QUERETARO CORREGIDORA,2022,20,0,0,2022-20
DISTRITO,QUERETARO SANTIAGO,2022,19,0,0,2022-19
DISTRITO,QUERETARO SANTIAGO,2022,20,1,0,2022-20
DISTRITO,REYNOSA,2022,19,0,0,2022-19
DISTRITO,REYNOSA,2022,20,1,0,2022-20
DISTRITO,SALTILLO,2022,19,0,0,2022-19
DISTRITO,SALTILLO,2022,20,2,0,2022-20
DISTRITO,SAN LUIS POTOSI ORIENTE,2022,19,0,0,2022-19
DISTRITO,SAN LUIS POTOSI ORIENTE,2022,20,0,0,2022-20
DISTRITO,SAN LUIS POTOSI PONIENTE,2022,19,0,0,2022-19
DISTRITO,SAN LUIS POTOSI PONIENTE,2022,20,0,0,2022-20
DISTRITO,SANTA FE,2022,19,0,0,2022-19
DISTRITO,SANTA FE,2022,20,0,0,2022-20
DISTRITO,SATELITE,2022,19,0,0,2022-19
DISTRITO,SATELITE,2022,20,0,0,2022-20
DISTRITO,TAMPICO,2022,19,0,0,2022-19
DISTRITO,TAMPICO,2022,20,0,0,2022-20
DISTRITO,TECAMAC,2022,19,0,0,2022-19
DISTRITO,TECAMAC,2022,20,0,0,2022-20
DISTRITO,TEXCOCO,2022,19,0,0,2022-19
DISTRITO,TEXCOCO,2022,20,0,0,2022-20
DISTRITO,TIJ RIO,2022,19,0,0,2022-19
DISTRITO,TIJ RIO,2022,20,0,0,2022-20
DISTRITO,TIJ TECATE,2022,19,0,0,2022-19
DISTRITO,TLALNEPANTLA,2022,20,0,0,2022-20
DISTRITO,TLALPAN,2022,19,1,0,2022-19
DISTRITO,TLALPAN,2022,20,0,0,2022-20
DISTRITO,TOL LERMA SAN MATEO,2022,19,0,0,2022-19
DISTRITO,TOL LERMA SAN MATEO,2022,20,0,0,2022-20
DISTRITO,TOL METEPEC,2022,19,0,0,2022-19
DISTRITO,TOL METEPEC,2022,20,0,0,2022-20
DISTRITO,TOL SAN CARLOS,2022,19,0,0,2022-19
DISTRITO,TOL SAN CARLOS,2022,20,1,0,2022-20
DISTRITO,TULTEPEC,2022,19,0,0,2022-19
DISTRITO,TULTEPEC,2022,20,1,0,2022-20
DISTRITO,TULTITLAN,2022,19,0,0,2022-19
DISTRITO,TULTITLAN,2022,20,0,0,2022-20
DISTRITO,TUXTLA,2022,19,0,0,2022-19
DISTRITO,TUXTLA,2022,20,0,0,2022-20
DISTRITO,VERACRUZ,2022,19,2,0,2022-19
DISTRITO,VERACRUZ,2022,20,6,0,2022-20
DISTRITO,VILLAHERMOSA,2022,19,0,0,2022-19
DISTRITO,VILLAHERMOSA,2022,20,0,0,2022-20
DISTRITO,XALAPA,2022,19,0,0,2022-19
DISTRITO,XALAPA,2022,20,0,0,2022-20
DISTRITO,XOCHIMILCO,2022,19,4,1,2022-19
DISTRITO,XOCHIMILCO,2022,20,0,0,2022-20
NACIONAL,NACIONAL,2022,19,11,2,2022-19
NACIONAL,NACIONAL,2022,20,26,2,2022-20
PLAZA,ACAPULCO,2022,19,0,0,2022-19
PLAZA,ACAPULCO,2022,20,0,0,2022-20
PLAZA,AGUASCALIENTES,2022,19,0,0,2022-19
PLAZA,AGUASCALIENTES,2022,20,0,0,2022-20
PLAZA,CANCUN,2022,19,0,0,2022-19
PLAZA,CANCUN,2022,20,0,0,2022-20
PLAZA,CDMX,2022,19,6,1,2022-19
PLAZA,CDMX,2022,20,10,0,2022-20
PLAZA,CELAYA,2022,20,0,0,2022-20
PLAZA,CHIHUAHUA,2022,19,0,0,2022-19
PLAZA,CHIHUAHUA,2022,20,0,0,2022-20
PLAZA,CIUDAD JUAREZ,2022,19,0,0,2022-19
PLAZA,CIUDAD JUAREZ,2022,20,0,0,2022-20
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,19,0,0,2022-19
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,20,0,0,2022-20
PLAZA,CIUDAD VICTORIA,2022,19,0,0,2022-19
PLAZA,CIUDAD VICTORIA,2022,20,0,0,2022-20
PLAZA,COATZA / MINA,2022,19,0,0,2022-19
PLAZA,COATZA / MINA,2022,20,0,0,2022-20
PLAZA,COLIMA / MANZANILLO,2022,19,0,0,2022-19
PLAZA,CORDOBA / ORIZABA,2022,19,0,0,2022-19
PLAZA,CORDOBA / ORIZABA,2022,20,2,0,2022-20
PLAZA,CUERNAVACA,2022,19,0,0,2022-19
PLAZA,CUERNAVACA,2022,20,0,0,2022-20
PLAZA,CULIACAN,2022,19,0,0,2022-19
PLAZA,CULIACAN,2022,20,0,0,2022-20
PLAZA,GUADALAJARA,2022,19,0,0,2022-19
PLAZA,GUADALAJARA,2022,20,1,0,2022-20
PLAZA,GUANAJUATO,2022,19,0,0,2022-19
PLAZA,IRAPUATO,2022,19,0,0,2022-19
PLAZA,IRAPUATO,2022,20,0,0,2022-20
PLAZA,LA LAGUNA,2022,19,0,0,2022-19
PLAZA,LA LAGUNA,2022,20,0,0,2022-20
PLAZA,LEON,2022,19,0,0,2022-19
PLAZA,LEON,2022,20,0,0,2022-20
PLAZA,MATAMOROS,2022,19,0,0,2022-19
PLAZA,MATAMOROS,2022,20,0,0,2022-20
PLAZA,MAZATLAN,2022,19,0,0,2022-19
PLAZA,MAZATLAN,2022,20,0,0,2022-20
PLAZA,MERIDA,2022,19,0,0,2022-19
PLAZA,MERIDA,2022,20,2,2,2022-20
PLAZA,MONTERREY,2022,19,0,0,2022-19
PLAZA,MONTERREY,2022,20,0,0,2022-20
PLAZA,MORELIA,2022,19,0,0,2022-19
PLAZA,MORELIA,2022,20,0,0,2022-20
PLAZA,PACHUCA,2022,19,2,0,2022-19
PLAZA,PACHUCA,2022,20,0,0,2022-20
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,19,0,0,2022-19
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,20,0,0,2022-20
PLAZA,POZA RICA,2022,19,0,0,2022-19
PLAZA,POZA RICA,2022,20,0,0,2022-20
PLAZA,PUEBLA,2022,19,1,1,2022-19
PLAZA,PUEBLA,2022,20,0,0,2022-20
PLAZA,PUERTO VALLARTA,2022,19,0,0,2022-19
PLAZA,PUERTO VALLARTA,2022,20,0,0,2022-20
PLAZA,QUERETARO,2022,19,0,0,2022-19
PLAZA,QUERETARO,2022,20,1,0,2022-20
PLAZA,REYNOSA,2022,19,0,0,2022-19
PLAZA,REYNOSA,2022,20,1,0,2022-20
PLAZA,SALTILLO,2022,19,0,0,2022-19
PLAZA,SALTILLO,2022,20,2,0,2022-20
PLAZA,SAN LUIS POTOSI,2022,19,0,0,2022-19
PLAZA,SAN LUIS POTOSI,2022,20,0,0,2022-20
PLAZA,TAMPICO,2022,19,0,0,2022-19
PLAZA,TAMPICO,2022,20,0,0,2022-20
PLAZA,TIJUANA,2022,19,0,0,2022-19
PLAZA,TIJUANA,2022,20,0,0,2022-20
PLAZA,TOLUCA,2022,19,0,0,2022-19
PLAZA,TOLUCA,2022,20,1,0,2022-20
PLAZA,TUXTLA,2022,19,0,0,2022-19
PLAZA,TUXTLA,2022,20,0,0,2022-20
PLAZA,VERACRUZ,2022,19,2,0,2022-19
PLAZA,VERACRUZ,2022,20,6,0,2022-20
PLAZA,VILLAHERMOSA,2022,19,0,0,2022-19
PLAZA,VILLAHERMOSA,2022,20,0,0,2022-20
PLAZA,XALAPA,2022,19,0,0,2022-19
PLAZA,XALAPA,2022,20,0,0,2022-20
