Nivel,NOMBRE,Year,SEMANA_REGISTRO,No requiere,Por supervisor,Por CCMC,Year_Semana
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,20,4,0,0,2022-20
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,21,9,0,0,2022-21
PLAZA,CIUDAD VICTORIA,2022,19,0,0,0,2022-19
PLAZA,CIUDAD VICTORIA,2022,20,2,0,0,2022-20
PLAZA,CIUDAD VICTORIA,2022,21,1,0,0,2022-21
PLAZA,COATZA / MINA,2022,19,3,0,0,2022-19
PLAZA,COATZA / MINA,2022,20,3,0,0,2022-20
PLAZA,COATZA / MINA,2022,21,4,0,0,2022-21
PLAZA,COLIMA / MANZANILLO,2022,19,0,0,0,2022-19
PLAZA,CORDOBA / ORIZABA,2022,19,11,0,0,2022-19
PLAZA,CORDOBA / ORIZABA,2022,20,6,0,2,2022-20
PLAZA,CORDOBA / ORIZABA,2022,21,5,0,1,2022-21
PLAZA,CUERNAVACA,2022,19,8,1,0,2022-19
PLAZA,CUERNAVACA,2022,20,5,0,0,2022-20
PLAZA,CUERNAVACA,2022,21,7,1,1,2022-21
PLAZA,CULIACAN,2022,19,3,0,0,2022-19
PLAZA,CULIACAN,2022,20,3,0,0,2022-20
PLAZA,CULIACAN,2022,21,4,0,0,2022-21
PLAZA,GUADALAJARA,2022,19,16,2,0,2022-19
PLAZA,GUADALAJARA,2022,20,9,1,1,2022-20
PLAZA,GUADALAJARA,2022,21,27,1,1,2022-21
PLAZA,GUANAJUATO,2022,19,0,0,0,2022-19
PLAZA,GUANAJUATO,2022,21,1,0,0,2022-21
PLAZA,IRAPUATO,2022,19,2,0,0,2022-19
PLAZA,IRAPUATO,2022,20,4,0,0,2022-20
PLAZA,IRAPUATO,2022,21,2,0,0,2022-21
PLAZA,LA LAGUNA,2022,19,6,0,0,2022-19
PLAZA,LA LAGUNA,2022,20,3,2,0,2022-20
PLAZA,LA LAGUNA,2022,21,5,0,0,2022-21
PLAZA,LEON,2022,19,11,0,0,2022-19
PLAZA,LEON,2022,20,18,0,0,2022-20
PLAZA,LEON,2022,21,16,0,0,2022-21
PLAZA,MATAMOROS,2022,19,12,0,0,2022-19
PLAZA,MATAMOROS,2022,20,12,0,0,2022-20
PLAZA,MATAMOROS,2022,21,9,0,0,2022-21
PLAZA,MAZATLAN,2022,19,0,0,0,2022-19
PLAZA,MAZATLAN,2022,20,0,0,0,2022-20
PLAZA,MAZATLAN,2022,21,0,1,0,2022-21
PLAZA,MERIDA,2022,19,5,0,0,2022-19
PLAZA,MERIDA,2022,20,7,0,2,2022-20
PLAZA,MERIDA,2022,21,12,1,0,2022-21
