Nivel,NOMBRE,Year,SEMANA_REGISTRO,80-20,Actividades multiples,Armado de conectores Prepulidos,Armado de conectores RJ45,Como subir tu venta en FFM,Consumo de Materiales,De Técnico a experto en Servicio a Domicilio,Entrega de Servicios,Justificación de Materiales,Plan de Vida y Carrera,Proceso de instalación,Proceso de Instalación (Enfoque a Calidad),Productividad,Reincidencias y revisión de herramientas (impartido 06 de junio 2022),"Trayectoría, alturas y Flejados",Trayectorías,Venta Técnico,Ventas,Year_Semana
PLAZA,QUERETARO,2022,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-20
PLAZA,CORDOBA / ORIZABA,2022,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-20
PLAZA,MERIDA,2022,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2022-20
PLAZA,VERACRUZ,2022,20,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2022-20
PLAZA,CDMX,2022,21,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,3,1,2022-21
PLAZA,TOLUCA,2022,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-21
PLAZA,MONTERREY,2022,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-21
PLAZA,SALTILLO,2022,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2022-21
PLAZA,TIJUANA,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
PLAZA,GUADALAJARA,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
PLAZA,CORDOBA / ORIZABA,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
PLAZA,CUERNAVACA,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-21
PLAZA,PUEBLA,2022,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
PLAZA,CDMX,2022,22,0,0,2,0,0,0,0,0,0,0,0,3,1,0,1,1,4,0,2022-22
PLAZA,TOLUCA,2022,22,0,0,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2022-22
PLAZA,TAMPICO,2022,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-22
PLAZA,TIJUANA,2022,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-22
PLAZA,GUADALAJARA,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-22
PLAZA,QUERETARO,2022,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-22
PLAZA,CUERNAVACA,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-22
PLAZA,VERACRUZ,2022,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-22
PLAZA,XALAPA,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-22
PLAZA,CDMX,2022,23,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,0,4,0,2022-23
PLAZA,TOLUCA,2022,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-23
PLAZA,CIUDAD JUAREZ,2022,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-23
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2022-23
PLAZA,MONTERREY,2022,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
PLAZA,TIJUANA,2022,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-23
PLAZA,GUADALAJARA,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
PLAZA,CUERNAVACA,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-23
PLAZA,PUEBLA,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
PLAZA,VILLAHERMOSA,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
PLAZA,CDMX,2022,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2022-24
PLAZA,TOLUCA,2022,24,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,2022-24
PLAZA,TIJUANA,2022,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2022-24
PLAZA,MERIDA,2022,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-24
PLAZA,CDMX,2022,25,0,1,3,0,0,2,0,1,1,1,2,2,0,0,1,0,4,0,2022-25
PLAZA,TOLUCA,2022,25,0,0,2,0,0,0,4,1,0,0,0,4,1,0,0,0,0,0,2022-25
PLAZA,HERMOSILLO,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-25
PLAZA,MATAMOROS,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
