Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
PLAZA,PACHUCA,5,1657,83,0.050090525
PLAZA,PIEDRAS NEGRAS / MONCLOVA,4,11,2,0.181818182
PLAZA,PIEDRAS NEGRAS / MONCLOVA,5,124,14,0.112903226
PLAZA,POZA RICA,1,309,28,0.090614887
PLAZA,POZA RICA,2,256,13,0.05078125
PLAZA,POZA RICA,3,283,24,0.084805654
PLAZA,POZA RICA,4,256,13,0.05078125
PLAZA,POZA RICA,5,292,14,0.047945205
PLAZA,PUEBLA,1,2709,152,0.056109265
PLAZA,PUEBLA,2,2598,123,0.047344111
PLAZA,PUEBLA,3,3000,167,0.055666667
PLAZA,PUEBLA,4,2990,151,0.050501672
PLAZA,PUEBLA,5,3185,173,0.054317111
PLAZA,PUERTO VALLARTA,1,979,171,0.174668029
PLAZA,PUERTO VALLARTA,2,890,123,0.138202247
PLAZA,PUERTO VALLARTA,3,894,86,0.096196868
PLAZA,PUERTO VALLARTA,4,941,111,0.117959617
PLAZA,PUERTO VALLARTA,5,992,104,0.10483871
PLAZA,QUERETARO,1,1083,75,0.069252078
PLAZA,QUERETARO,2,1151,97,0.084274544
PLAZA,QUERETARO,3,1283,95,0.074045207
PLAZA,QUERETARO,4,1282,121,0.094383775
PLAZA,QUERETARO,5,1489,135,0.090664876
PLAZA,REYNOSA,2,89,3,0.033707865
PLAZA,REYNOSA,3,272,23,0.084558824
PLAZA,REYNOSA,4,430,95,0.220930233
PLAZA,REYNOSA,5,509,67,0.131630648
PLAZA,SALTILLO,1,2019,276,0.136701337
PLAZA,SALTILLO,2,1699,211,0.1241907
PLAZA,SALTILLO,3,1770,190,0.107344633
PLAZA,SALTILLO,4,1840,193,0.104891304
PLAZA,SALTILLO,5,2269,228,0.100484795
PLAZA,SAN LUIS POTOSI,1,4919,587,0.119333198
PLAZA,SAN LUIS POTOSI,2,4563,551,0.12075389
PLAZA,SAN LUIS POTOSI,3,4792,529,0.110392321
PLAZA,SAN LUIS POTOSI,4,5140,795,0.154669261
PLAZA,SAN LUIS POTOSI,5,5926,795,0.134154573
PLAZA,TAMPICO,1,422,42,0.099526066
PLAZA,TAMPICO,2,576,57,0.098958333
PLAZA,TAMPICO,3,662,78,0.117824773
PLAZA,TAMPICO,4,613,64,0.104404568
PLAZA,TAMPICO,5,753,74,0.098273572
PLAZA,TEPIC,1,41,5,0.12195122
PLAZA,TEPIC,2,69,6,0.086956522
PLAZA,TEPIC,3,90,4,0.044444444
PLAZA,TEPIC,4,105,3,0.028571429
PLAZA,TEPIC,5,174,11,0.063218391
PLAZA,TIJUANA,1,8412,1547,0.183903947
PLAZA,TIJUANA,2,7745,1294,0.167075533
PLAZA,TIJUANA,3,8781,1433,0.163193258
PLAZA,TIJUANA,4,8465,1546,0.182634377
