Tipo,DIRECCION,Mes,Clientes,Soportes,Reincidencias,RR,Reincidencias sobre soportes,RR sobre soportes,IDS,IDR
DISTRITO,TULTITLAN,FEBRERO,48207,1630,464,177,28.47,10.86,3.38,0.96
DISTRITO,TULTITLAN,MARZO,48863,1840,476,154,25.87,8.37,3.77,0.97
DISTRITO,TULTITLAN,MAYO,49927,2018,528,233,26.16,11.55,4.04,1.06
DISTRITO,TUXTLA,ABRIL,27866,630,164,39,26.03,6.19,2.26,0.59
DISTRITO,TUXTLA,ENERO,25689,470,132,25,28.09,5.32,1.83,0.51
DISTRITO,TUXTLA,FEBRERO,26399,604,151,27,25,4.47,2.29,0.57
DISTRITO,TUXTLA,MARZO,27244,669,180,48,26.91,7.17,2.46,0.66
DISTRITO,TUXTLA,MAYO,28558,847,216,53,25.5,6.26,2.97,0.76
DISTRITO,VERACRUZ,ABRIL,59079,2063,436,176,21.13,8.53,3.49,0.74
DISTRITO,VERACRUZ,ENERO,55801,2663,527,217,19.79,8.15,4.77,0.94
DISTRITO,VERACRUZ,FEBRERO,57007,1960,399,154,20.36,7.86,3.44,0.7
DISTRITO,VERACRUZ,MARZO,58232,2503,659,214,26.33,8.55,4.3,1.13
DISTRITO,VERACRUZ,MAYO,59958,2075,450,174,21.69,8.39,3.46,0.75
DISTRITO,VILLAHERMOSA,ABRIL,18507,444,116,18,26.13,4.05,2.4,0.63
DISTRITO,VILLAHERMOSA,ENERO,16652,334,104,16,31.14,4.79,2.01,0.62
DISTRITO,VILLAHERMOSA,FEBRERO,17389,316,103,11,32.59,3.48,1.82,0.59
DISTRITO,VILLAHERMOSA,MARZO,17992,332,102,18,30.72,5.42,1.85,0.57
DISTRITO,VILLAHERMOSA,MAYO,19004,432,118,21,27.31,4.86,2.27,0.62
DISTRITO,XALAPA,ABRIL,54026,1169,200,43,17.11,3.68,2.16,0.37
DISTRITO,XALAPA,ENERO,52306,1078,185,46,17.16,4.27,2.06,0.35
DISTRITO,XALAPA,FEBRERO,53016,944,173,46,18.33,4.87,1.78,0.33
DISTRITO,XALAPA,MARZO,53659,1264,228,49,18.04,3.88,2.36,0.42
DISTRITO,XALAPA,MAYO,54485,1068,191,56,17.88,5.24,1.96,0.35
DISTRITO,XOCHIMILCO,ABRIL,48360,1654,392,142,23.7,8.59,3.42,0.81
DISTRITO,XOCHIMILCO,ENERO,44666,1493,405,132,27.13,8.84,3.34,0.91
DISTRITO,XOCHIMILCO,FEBRERO,46020,1400,396,134,28.29,9.57,3.04,0.86
DISTRITO,XOCHIMILCO,MARZO,47240,1694,415,130,24.5,7.67,3.59,0.88
DISTRITO,XOCHIMILCO,MAYO,49479,1855,421,131,22.7,7.06,3.75,0.85
