Nivel,NOMBRE,Year,SEMANA_REGISTRO,Calidad,Venta técnico,Productividad,Consumo de materiales,Positiva,Tarjetas,Year_Semana,TarjetasTotales
DIRECCION,OCCIDENTE-BAJIO,2022,32,24,13,21,0,56,4,2022-32,76
DIRECCION,ORIENTE-SUR,2022,32,16,12,23,1,84,1,2022-32,5
DIRECCION,CENTRO,2022,33,18,36,49,9,189,7,2022-33,29
DIRECCION,NORTE-NORESTE,2022,33,19,35,34,2,134,6,2022-33,54
DIRECCION,OCCIDENTE-BAJIO,2022,33,17,10,22,3,74,6,2022-33,70
DIRECCION,ORIENTE-SUR,2022,33,14,14,23,0,87,4,2022-33,15
DIRECCION,CENTRO,2022,34,35,34,47,5,202,11,2022-34,33
DIRECCION,NORTE-NORESTE,2022,34,23,33,25,4,149,9,2022-34,65
DIRECCION,OCCIDENTE-BAJIO,2022,34,24,11,26,1,72,7,2022-34,82
DIRECCION,ORIENTE-SUR,2022,34,14,11,16,2,96,2,2022-34,6
DIRECCION,CENTRO,2022,35,22,29,50,6,214,12,2022-35,38
DIRECCION,NORTE-NORESTE,2022,35,23,21,30,4,159,9,2022-35,63
DIRECCION,OCCIDENTE-BAJIO,2022,35,19,10,21,2,78,5,2022-35,80
DIRECCION,ORIENTE-SUR,2022,35,9,12,13,3,88,0,2022-35,11
DIRECCION,CENTRO,2022,36,41,24,46,6,197,11,2022-36,43
DIRECCION,NORTE-NORESTE,2022,36,26,22,35,13,129,8,2022-36,80
DIRECCION,OCCIDENTE-BAJIO,2022,36,15,9,12,2,80,5,2022-36,70
DIRECCION,ORIENTE-SUR,2022,36,13,11,12,3,96,1,2022-36,7
DIRECCION,CENTRO,2022,37,25,31,39,3,214,5,2022-37,25
DIRECCION,NORTE-NORESTE,2022,37,31,20,24,9,130,10,2022-37,60
DIRECCION,OCCIDENTE-BAJIO,2022,37,13,10,9,3,77,8,2022-37,69
DIRECCION,ORIENTE-SUR,2022,37,13,9,14,4,92,3,2022-37,6
DIRECCION,CENTRO,2022,38,24,34,45,5,198,5,2022-38,24
DIRECCION,NORTE-NORESTE,2022,38,30,27,27,4,144,12,2022-38,56
DIRECCION,OCCIDENTE-BAJIO,2022,38,12,19,16,0,72,5,2022-38,54
DIRECCION,ORIENTE-SUR,2022,38,15,15,18,4,87,2,2022-38,3
DIRECCION,CENTRO,2022,39,21,31,48,10,196,4,2022-39,24
DIRECCION,NORTE-NORESTE,2022,39,15,29,23,8,148,9,2022-39,49
DIRECCION,OCCIDENTE-BAJIO,2022,39,16,17,15,1,79,5,2022-39,55
DIRECCION,ORIENTE-SUR,2022,39,13,16,12,2,95,2,2022-39,8
DIRECCION,CENTRO,2022,40,28,34,52,3,197,4,2022-40,26
DIRECCION,NORTE-NORESTE,2022,40,22,31,28,4,159,6,2022-40,30
DIRECCION,OCCIDENTE-BAJIO,2022,40,19,15,20,1,83,3,2022-40,39
DIRECCION,ORIENTE-SUR,2022,40,10,20,27,2,85,5,2022-40,16
PLAZA,CDMX,2022,19,26,33,41,1,169,1,2022-19,27
PLAZA,TOLUCA,2022,19,1,2,7,1,7,0,2022-19,1
PLAZA,CHIHUAHUA,2022,19,0,1,1,0,3,0,2022-19,1
PLAZA,CIUDAD JUAREZ,2022,19,0,1,3,1,14,0,2022-19,17
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,19,2,1,4,1,6,0,2022-19,0
PLAZA,CIUDAD VICTORIA,2022,19,0,0,0,0,1,0,2022-19,0
PLAZA,CULIACAN,2022,19,2,0,1,1,5,0,2022-19,0
PLAZA,LA LAGUNA,2022,19,0,3,3,0,12,0,2022-19,2
PLAZA,MATAMOROS,2022,19,2,6,3,0,6,0,2022-19,0
PLAZA,MAZATLAN,2022,19,0,0,0,0,4,0,2022-19,0
PLAZA,MONTERREY,2022,19,3,1,4,0,1,0,2022-19,12
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,19,2,0,0,0,1,0,2022-19,0
PLAZA,REYNOSA,2022,19,0,0,0,0,1,0,2022-19,8
PLAZA,SALTILLO,2022,19,3,4,6,0,7,0,2022-19,2
PLAZA,SAN LUIS POTOSI,2022,19,2,1,1,1,2,0,2022-19,5
PLAZA,TAMPICO,2022,19,0,0,1,0,1,0,2022-19,0
PLAZA,TIJUANA,2022,19,0,0,4,0,5,1,2022-19,14
PLAZA,AGUASCALIENTES,2022,19,0,1,0,0,1,0,2022-19,0
PLAZA,COLIMA / MANZANILLO,2022,19,0,0,0,0,1,0,2022-19,0
PLAZA,GUADALAJARA,2022,19,1,11,6,0,27,1,2022-19,17
PLAZA,GUANAJUATO,2022,19,0,0,0,0,1,0,2022-19,0
PLAZA,IRAPUATO,2022,19,0,0,2,0,4,0,2022-19,0
PLAZA,LEON,2022,19,4,0,7,0,5,3,2022-19,4
PLAZA,MORELIA,2022,19,1,0,0,0,2,0,2022-19,0
PLAZA,PUERTO VALLARTA,2022,19,0,0,0,0,3,0,2022-19,0
PLAZA,QUERETARO,2022,19,0,1,0,0,0,0,2022-19,1
PLAZA,ACAPULCO,2022,19,0,0,0,0,3,0,2022-19,0
PLAZA,CANCUN,2022,19,0,4,3,0,12,0,2022-19,1
PLAZA,COATZA / MINA,2022,19,3,0,0,0,1,1,2022-19,0
PLAZA,CORDOBA / ORIZABA,2022,19,1,6,1,2,2,0,2022-19,0
PLAZA,CUERNAVACA,2022,19,7,2,0,0,7,0,2022-19,0
PLAZA,MERIDA,2022,19,1,3,1,0,7,0,2022-19,3
PLAZA,PACHUCA,2022,19,6,1,1,0,4,1,2022-19,0
PLAZA,POZA RICA,2022,19,2,0,1,0,3,0,2022-19,0
PLAZA,PUEBLA,2022,19,8,6,0,0,20,1,2022-19,3
PLAZA,TUXTLA,2022,19,0,0,1,0,7,0,2022-19,0
PLAZA,VERACRUZ,2022,19,8,0,4,0,6,0,2022-19,0
PLAZA,VILLAHERMOSA,2022,19,2,0,1,1,5,0,2022-19,0
PLAZA,XALAPA,2022,19,0,1,2,1,8,1,2022-19,0
PLAZA,CDMX,2022,20,55,63,51,2,164,11,2022-20,30
PLAZA,TOLUCA,2022,20,4,3,3,0,18,0,2022-20,3
PLAZA,CHIHUAHUA,2022,20,0,0,0,0,2,0,2022-20,0
PLAZA,CIUDAD JUAREZ,2022,20,0,0,1,0,4,1,2022-20,7
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,20,3,0,1,0,4,0,2022-20,0
PLAZA,CIUDAD VICTORIA,2022,20,2,0,0,0,0,0,2022-20,0
PLAZA,CULIACAN,2022,20,2,0,1,0,3,0,2022-20,0
PLAZA,LA LAGUNA,2022,20,3,2,0,0,13,0,2022-20,0
PLAZA,MATAMOROS,2022,20,3,5,4,0,4,0,2022-20,0
PLAZA,MAZATLAN,2022,20,0,0,0,0,4,0,2022-20,0
PLAZA,MONTERREY,2022,20,7,6,11,0,40,9,2022-20,12
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,20,1,1,1,0,3,0,2022-20,0
PLAZA,REYNOSA,2022,20,2,0,1,1,0,1,2022-20,0
PLAZA,SALTILLO,2022,20,2,3,3,0,7,0,2022-20,4
PLAZA,SAN LUIS POTOSI,2022,20,0,1,3,1,2,0,2022-20,4
PLAZA,TAMPICO,2022,20,0,1,1,0,2,0,2022-20,4
PLAZA,TIJUANA,2022,20,0,0,3,0,2,1,2022-20,13
PLAZA,AGUASCALIENTES,2022,20,2,2,2,1,2,0,2022-20,0
PLAZA,CELAYA,2022,20,3,0,1,0,2,0,2022-20,0
PLAZA,GUADALAJARA,2022,20,3,7,2,0,25,1,2022-20,24
PLAZA,IRAPUATO,2022,20,2,1,1,0,5,0,2022-20,0
PLAZA,LEON,2022,20,4,0,11,2,10,2,2022-20,1
PLAZA,MORELIA,2022,20,0,0,0,0,6,0,2022-20,0
PLAZA,PUERTO VALLARTA,2022,20,0,1,2,0,5,0,2022-20,0
PLAZA,QUERETARO,2022,20,2,0,0,0,1,0,2022-20,1
PLAZA,ACAPULCO,2022,20,0,0,1,0,5,0,2022-20,0
PLAZA,CANCUN,2022,20,2,0,6,0,10,1,2022-20,2
PLAZA,COATZA / MINA,2022,20,2,0,1,0,1,0,2022-20,0
PLAZA,CORDOBA / ORIZABA,2022,20,0,4,2,2,4,0,2022-20,0
PLAZA,CUERNAVACA,2022,20,3,2,0,0,11,0,2022-20,0
PLAZA,MERIDA,2022,20,2,2,5,0,14,2,2022-20,0
PLAZA,PACHUCA,2022,20,0,3,1,1,4,0,2022-20,0
PLAZA,POZA RICA,2022,20,0,1,1,1,3,0,2022-20,0
PLAZA,PUEBLA,2022,20,6,8,3,0,17,0,2022-20,2
PLAZA,TUXTLA,2022,20,0,0,2,0,7,0,2022-20,0
PLAZA,VERACRUZ,2022,20,9,0,4,0,2,0,2022-20,2
PLAZA,VILLAHERMOSA,2022,20,2,0,1,2,3,0,2022-20,0
PLAZA,XALAPA,2022,20,2,0,1,1,8,0,2022-20,0
PLAZA,CDMX,2022,21,51,45,54,6,204,9,2022-21,17
PLAZA,TOLUCA,2022,21,1,5,11,0,18,1,2022-21,5
PLAZA,CHIHUAHUA,2022,21,0,0,1,0,3,0,2022-21,0
