Cosecha,AñoSemana,Amarilla,Naranja,Morada,Roja
TecSem50,2022-33,4,1,0,0
TecSem50,2022-34,6,2,0,0
TecSem50,2022-35,5,1,0,0
TecSem50,2022-36,6,0,0,0
TecSem50,2022-37,6,1,0,0
TecSem50,2022-38,6,0,1,0
TecSem50,2022-39,7,0,0,0
TecSem50,2022-40,2,0,0,0
TecSem50,2022-41,3,1,0,0
TecSem50,2022-42,8,1,0,0
TecSem50,2022-43,8,0,0,0
TecSem50,2022-44,8,0,0,0
TecSem50,2022-45,9,0,0,0
TecSem50,2022-46,14,0,0,0
TecSem50,2022-47,11,1,0,0
TecSem50,2022-48,5,0,0,0
TecSem50,2022-49,3,1,0,0
TecSem50,2022-50,193,5,0,0
TecSem50,2022-52,0,1,0,0
TecSem50,2023-1,0,14,1,0
TecSem50,2023-2,0,14,0,0
TecSem51,2022-14,3,0,0,0
TecSem51,2022-15,6,0,0,0
TecSem51,2022-16,1,0,0,0
TecSem51,2022-18,0,1,0,0
TecSem51,2022-19,3,0,0,0
TecSem51,2022-21,3,0,0,0
TecSem51,2022-22,1,0,0,0
TecSem51,2022-23,1,0,0,0
TecSem51,2022-25,7,0,0,0
TecSem51,2022-26,3,0,0,0
TecSem51,2022-27,4,0,0,0
TecSem51,2022-28,4,0,0,0
TecSem51,2022-29,7,0,0,0
TecSem51,2022-30,5,1,0,0
TecSem51,2022-31,2,0,0,0
TecSem51,2022-32,3,0,0,0
TecSem51,2022-33,4,1,0,0
TecSem51,2022-34,5,0,0,0
TecSem51,2022-35,5,0,0,0
TecSem51,2022-36,6,0,0,0
TecSem51,2022-37,5,1,0,0
TecSem51,2022-38,1,0,0,0
TecSem51,2022-39,4,0,0,0
TecSem51,2022-40,0,1,0,0
TecSem51,2022-41,8,0,0,0
TecSem51,2022-42,5,2,0,0
TecSem51,2022-43,2,0,1,0
TecSem51,2022-44,6,1,0,0
TecSem51,2022-45,10,0,0,0
TecSem51,2022-46,6,0,0,0
TecSem51,2022-47,2,1,0,0
TecSem51,2022-48,12,2,0,0
TecSem51,2022-51,0,156,1,0
TecSem51,2022-52,0,1,0,0
TecSem51,2023-2,0,2,9,0
TecSem52,2022-14,2,0,0,0
TecSem52,2022-15,1,0,0,0
TecSem52,2022-16,4,0,0,0
TecSem52,2022-17,1,0,0,0
TecSem52,2022-18,3,0,0,0
TecSem52,2022-19,1,0,0,0
TecSem52,2022-21,2,0,0,0
TecSem52,2022-23,3,0,0,0
TecSem52,2022-25,6,0,0,0
TecSem52,2022-26,2,0,0,0
TecSem52,2022-28,2,0,0,0
TecSem52,2022-29,4,1,0,0
TecSem52,2022-30,2,0,0,0
TecSem52,2022-31,5,0,0,0
TecSem52,2022-32,0,1,0,0
TecSem52,2022-33,4,1,0,0
TecSem52,2022-34,2,2,0,0
TecSem52,2022-35,6,0,0,0
TecSem52,2022-36,3,0,0,0
TecSem52,2022-37,3,1,0,0
TecSem52,2022-38,1,1,0,0
TecSem52,2022-39,3,0,0,0
TecSem52,2022-40,2,0,0,0
TecSem52,2022-41,6,0,0,0
TecSem52,2022-42,4,1,0,0
TecSem52,2022-43,3,1,0,0
TecSem52,2022-44,5,0,0,0
TecSem52,2022-45,9,1,1,0
TecSem52,2022-46,3,1,0,0
TecSem52,2022-47,5,0,0,0
TecSem52,2022-48,6,2,1,0
TecSem52,2022-49,3,1,0,0
TecSem52,2022-50,1,0,0,0
TecSem52,2022-51,0,1,0,0
TecSem52,2022-52,0,132,1,0
TecSem52,2023-2,0,2,0,0
