REGION,Fecha_Descarga,CDD,Addon,Soportes,Instalaciones,Recolecciones
BAJIO,2024-11-18,45,70,112,97,117
BAJIO,2024-11-19,57,84,133,141,114
BAJIO,2024-11-20,61,97,123,145,149
BAJIO,2024-11-21,58,87,127,131,141
BAJIO,2024-11-22,61,83,149,155,170
BAJIO,2024-11-23,81,95,146,155,168
BAJIO,2024-11-24,71,94,119,132,165
BAJIO,2024-11-25,48,73,97,100,156
BAJIO,2024-11-26,63,74,125,142,144
BAJIO,2024-11-27,72,73,150,157,182
BAJIO,2024-11-28,71,64,119,130,168
BAJIO,2024-11-29,81,72,121,172,172
BAJIO,2024-11-30,74,69,127,165,168
BAJIO,2024-12-01,69,64,103,100,140
BAJIO,2024-12-02,70,60,121,56,136
BAJIO,2024-12-03,87,69,137,101,148
BAJIO,2024-12-04,74,72,111,102,169
BAJIO,2024-12-05,64,69,116,118,174
BAJIO,2024-12-06,78,79,99,123,154
BAJIO,2024-12-07,68,64,109,135,142
BAJIO,2024-12-08,63,57,82,101,146
BAJIO,2024-12-09,61,42,71,65,107
BAJIO,2024-12-10,71,55,116,105,113
BAJIO,2024-12-11,62,67,110,105,143
BAJIO,2024-12-12,55,82,91,115,121
BAJIO,2024-12-13,52,72,104,136,133
BAJIO,2024-12-14,65,50,120,139,129
BAJIO,2024-12-15,57,60,91,97,122
BAJIO,2024-12-16,54,53,86,87,118
BAJIO,2024-12-17,64,62,89,120,141
BAJIO,2024-12-18,60,58,117,108,143
BAJIO,2024-12-19,66,53,103,103,140
BAJIO,2024-12-20,64,57,127,123,157
BAJIO,2024-12-21,72,48,111,124,178
BAJIO,2024-12-22,64,45,96,136,163
BAJIO,2024-12-23,59,41,109,99,141
BAJIO,2024-12-24,41,37,135,83,174
BAJIO,2024-12-25,29,36,78,59,168
BAJIO,2024-12-26,37,34,70,59,141
BAJIO,2024-12-27,63,55,120,119,156
BAJIO,2024-12-28,77,65,119,142,210
BAJIO,2024-12-29,82,54,80,114,184
BAJIO,2024-12-30,63,38,97,92,144
BAJIO,2024-12-31,61,33,109,114,188
BAJIO,2025-01-01,50,45,83,64,208
BAJIO,2025-01-02,60,49,101,73,212
BAJIO,2025-01-03,57,51,104,125,226
BAJIO,2025-01-04,84,58,115,121,227
BAJIO,2025-01-05,76,60,91,137,205
BAJIO,2025-01-06,61,37,86,105,176
BAJIO,2025-01-07,50,51,103,115,186
BAJIO,2025-01-08,66,63,127,147,186
BAJIO,2025-01-09,64,68,113,147,206
BAJIO,2025-01-10,76,70,123,144,191
BAJIO,2025-01-11,89,82,143,170,197
BAJIO,2025-01-12,69,84,115,134,199
BAJIO,2025-01-13,48,67,113,100,173
BAJIO,2025-01-14,63,83,141,128,205
BAJIO,2025-01-15,71,93,111,132,246
BAJIO,2025-01-16,68,93,133,179,246
BAJIO,2025-01-17,72,82,126,163,237
BAJIO,2025-01-18,69,77,119,178,227
BAJIO,2025-01-19,66,66,105,130,222
BAJIO,2025-01-20,58,66,94,104,198
BAJIO,2025-01-21,57,91,101,150,234
BAJIO,2025-01-22,64,84,84,127,240
BAJIO,2025-01-23,63,81,94,151,246
BAJIO,2025-01-24,66,53,107,146,236
BAJIO,2025-01-25,70,55,98,152,217
BAJIO,2025-01-26,64,43,78,103,220
BAJIO,2025-01-27,48,35,87,87,155
BAJIO,2025-01-28,58,46,103,147,185
BAJIO,2025-01-29,60,68,104,133,203
BAJIO,2025-01-30,74,49,113,148,193
BAJIO,2025-01-31,73,50,83,168,223
BAJIO,2025-02-01,87,39,92,112,225
BAJIO,2025-02-02,77,39,81,86,198
BAJIO,2025-02-03,75,39,87,85,169
BAJIO,2025-02-04,72,61,100,133,210
BAJIO,2025-02-05,85,69,113,123,227
BAJIO,2025-02-06,73,70,87,128,213
BAJIO,2025-02-07,63,63,112,130,219
BAJIO,2025-02-08,75,54,82,168,200
BAJIO,2025-02-09,77,58,76,100,202
BAJIO,2025-02-10,60,42,64,78,177
BAJIO,2025-02-11,65,62,88,113,191
BAJIO,2025-02-12,61,78,103,115,256
BAJIO,2025-02-13,55,61,78,133,234
BAJIO,2025-02-14,52,52,78,155,179
BAJIO,2025-02-15,57,58,101,146,144
BAJIO,2025-02-16,60,46,80,135,137
BAJIO,2025-02-17,46,41,88,111,124
BAJIO,2025-02-18,54,52,113,135,122
BAJIO,2025-02-19,53,59,107,143,154
BAJIO,2025-02-20,63,61,113,177,150
BAJIO,2025-02-21,57,49,95,162,193
BAJIO,2025-02-22,55,57,119,151,162
BAJIO,2025-02-23,52,58,111,123,140
BAJIO,2025-02-24,42,51,91,84,144
BAJIO,2025-02-25,55,68,105,140,181
BAJIO,2025-02-26,62,80,108,122,217
BAJIO,2025-02-27,67,54,99,132,214
BAJIO,2025-02-28,71,53,125,156,205
BAJIO,2025-03-01,84,38,112,155,234
BAJIO,2025-03-02,85,49,104,104,227
BAJIO,2025-03-03,80,48,109,98,203
BAJIO,2025-03-04,73,42,116,122,219
BAJIO,2025-03-05,77,55,109,120,249
BAJIO,2025-03-06,71,48,98,112,238
BAJIO,2025-03-07,62,54,99,129,197
BAJIO,2025-03-08,65,56,109,169,178
BAJIO,2025-03-09,53,53,107,121,169
BAJIO,2025-03-10,40,35,89,99,163
BAJIO,2025-03-11,53,45,121,115,202
BAJIO,2025-03-12,65,44,128,122,195
BAJIO,2025-03-13,54,62,139,146,206
BAJIO,2025-03-14,48,42,123,147,208
BAJIO,2025-03-15,70,37,118,171,189
BAJIO,2025-03-16,78,44,139,136,176
BAJIO,2025-03-17,69,38,95,110,145
BAJIO,2025-03-18,71,52,118,138,141
BAJIO,2025-03-19,86,54,116,153,175
BAJIO,2025-03-20,63,50,106,150,181
BAJIO,2025-03-21,73,39,106,142,202
BAJIO,2025-03-22,73,55,106,143,213
BAJIO,2025-03-23,48,34,93,88,200
BAJIO,2025-03-24,51,35,88,74,168
BAJIO,2025-03-25,55,38,93,104,144
BAJIO,2025-03-26,52,44,99,99,158
BAJIO,2025-03-27,58,46,98,126,169
BAJIO,2025-03-28,68,59,120,125,182
BAJIO,2025-03-29,59,51,113,136,186
BAJIO,2025-03-30,47,32,79,91,153
BAJIO,2025-03-31,46,23,77,81,121
BAJIO,2025-04-01,53,29,104,77,140
BAJIO,2025-04-02,44,46,109,83,132
BAJIO,2025-04-03,52,36,122,101,157
BAJIO,2025-04-04,54,32,113,90,163
BAJIO,2025-04-05,52,22,125,88,182
BAJIO,2025-04-06,39,19,103,61,148
BAJIO,2025-04-07,32,26,101,72,110
BAJIO,2025-04-08,43,23,112,97,148
BAJIO,2025-04-09,46,19,112,114,182
BAJIO,2025-04-10,47,20,140,133,236
BAJIO,2025-04-11,46,23,109,120,258
BAJIO,2025-04-12,52,35,103,155,258
BAJIO,2025-04-13,51,35,132,127,218
BAJIO,2025-04-14,49,30,121,79,176
BAJIO,2025-04-15,42,50,123,157,218
BAJIO,2025-04-16,44,34,120,117,197
BAJIO,2025-04-17,37,41,136,102,170
BAJIO,2025-04-18,32,28,125,86,188
BAJIO,2025-04-19,31,27,104,55,157
BAJIO,2025-04-20,27,22,115,66,158
BAJIO,2025-04-21,33,22,104,53,142
BAJIO,2025-04-22,36,33,123,95,213
BAJIO,2025-04-23,41,36,128,106,243
BAJIO,2025-04-24,36,33,121,107,264
BAJIO,2025-04-25,33,27,120,115,276
BAJIO,2025-04-26,46,45,132,112,263
BAJIO,2025-04-27,41,38,132,99,250
BAJIO,2025-04-28,44,34,99,116,206
BAJIO,2025-04-29,53,39,140,105,269
BAJIO,2025-04-30,47,29,142,91,289
BAJIO,2025-05-01,51,28,112,79,302
BAJIO,2025-05-02,57,26,114,68,283
BAJIO,2025-05-03,58,22,123,100,297
BAJIO,2025-05-04,46,16,138,87,261
BAJIO,2025-05-05,41,17,113,58,220
BAJIO,2025-05-06,50,37,129,72,266
BAJIO,2025-05-07,57,46,137,83,286
BAJIO,2025-05-08,37,41,148,112,263
BAJIO,2025-05-09,34,38,181,104,276
BAJIO,2025-05-10,45,32,142,119,268
BAJIO,2025-05-11,37,23,100,66,209
BAJIO,2025-05-12,32,20,109,65,154
BAJIO,2025-05-13,48,39,161,99,219
BAJIO,2025-05-14,49,34,166,90,266
BAJIO,2025-05-15,46,38,155,108,319
BAJIO,2025-05-16,57,46,147,110,330
BAJIO,2025-05-17,55,42,152,106,346
BAJIO,2025-05-18,58,25,134,79,320
BAJIO,2025-05-19,44,30,136,77,253
BAJIO,2025-05-20,57,38,179,91,296
BAJIO,2025-05-21,55,50,185,75,302
BAJIO,2025-05-22,47,42,254,91,301
BAJIO,2025-05-23,50,48,277,107,300
BAJIO,2025-05-24,50,48,275,105,289
BAJIO,2025-05-25,42,34,203,85,242
BAJIO,2025-05-26,34,27,188,51,211
BAJIO,2025-05-27,37,46,193,140,245
BAJIO,2025-05-28,42,45,159,133,246
BAJIO,2025-05-29,49,43,139,119,229
BAJIO,2025-05-30,55,31,176,117,194
BAJIO,2025-05-31,63,36,268,131,209
BAJIO,2025-06-01,67,44,215,71,171
BAJIO,2025-06-02,62,33,198,69,130
BAJIO,2025-06-03,70,30,239,100,177
BAJIO,2025-06-04,66,40,276,146,208
BAJIO,2025-06-05,67,42,301,157,234
BAJIO,2025-06-06,88,33,315,138,237
BAJIO,2025-06-07,84,46,283,146,256
BAJIO,2025-06-08,88,32,179,98,273
BAJIO,2025-06-09,79,23,138,78,215
BAJIO,2025-06-10,75,54,170,110,247
BAJIO,2025-06-11,74,55,192,116,276
BAJIO,2025-06-12,82,50,220,142,266
BAJIO,2025-06-13,85,51,168,136,239
BAJIO,2025-06-14,77,38,166,152,218
BAJIO,2025-06-15,64,32,140,118,203
BAJIO,2025-06-16,51,28,131,87,170
BAJIO,2025-06-17,56,52,154,127,201
BAJIO,2025-06-18,49,49,190,121,225
BAJIO,2025-06-19,59,43,163,133,240
BAJIO,2025-06-20,57,33,126,122,258
BAJIO,2025-06-21,55,39,142,135,247
BAJIO,2025-06-22,58,38,163,114,256
BAJIO,2025-06-23,52,30,189,101,248
BAJIO,2025-06-24,59,38,221,141,288
BAJIO,2025-06-25,57,51,179,103,317
BAJIO,2025-06-26,59,41,186,111,311
BAJIO,2025-06-27,82,39,169,142,329
BAJIO,2025-06-28,77,39,166,123,307
BAJIO,2025-06-29,63,38,139,118,247
BAJIO,2025-06-30,60,36,139,90,191
BAJIO,2025-07-01,67,54,168,106,201
BAJIO,2025-07-02,68,53,161,83,213
BAJIO,2025-07-03,71,47,182,101,226
BAJIO,2025-07-04,69,43,167,101,235
BAJIO,2025-07-05,64,34,158,102,224
BAJIO,2025-07-06,50,35,115,96,186
BAJIO,2025-07-07,41,20,128,87,133
BAJIO,2025-07-08,53,46,177,98,157
BAJIO,2025-07-09,58,50,178,106,186
BAJIO,2025-07-10,52,44,172,114,204
BAJIO,2025-07-11,74,38,203,124,216
BAJIO,2025-07-12,61,34,193,147,221
BAJIO,2025-07-13,62,41,160,96,222
BAJIO,2025-07-14,44,32,140,83,157
BAJIO,2025-07-15,69,45,160,113,200
BAJIO,2025-07-16,57,56,171,126,213
BAJIO,2025-07-17,54,68,181,140,197
BAJIO,2025-07-18,71,62,172,162,250
CDMX NORPONIENTE,2024-07-18,345,393,703,520,1232
CDMX NORPONIENTE,2024-07-19,347,384,727,565,1234
CDMX NORPONIENTE,2024-07-20,368,377,776,549,1218
CDMX NORPONIENTE,2024-07-21,347,362,787,487,1140
CDMX NORPONIENTE,2024-07-22,306,356,745,511,1054
CDMX NORPONIENTE,2024-07-23,325,370,794,507,1079
CDMX NORPONIENTE,2024-07-24,350,409,804,568,1112
CDMX NORPONIENTE,2024-07-26,387,482,922,619,1153
CDMX NORPONIENTE,2024-07-27,397,474,901,590,1185
CDMX NORPONIENTE,2024-07-28,369,477,883,529,1110
CDMX NORPONIENTE,2024-07-29,360,441,817,521,1048
CDMX NORPONIENTE,2024-07-30,382,497,777,534,1106
CDMX NORPONIENTE,2024-07-31,428,533,875,559,1189
