Tipo,DIRECCION,Mes,Clientes,Soportes,Reincidencias,RR,Reincidencias sobre soportes,RR sobre soportes,IDS,IDR,YEAR
PLAZA,IRAPUATO,FEBRERO,40032,968,211,73,21.8,7.54,2.42,0.53,2023
PLAZA,IRAPUATO,MARZO,40516,1055,221,76,20.95,7.2,2.6,0.55,2023
PLAZA,IRAPUATO,ABRIL,40771,1132,253,110,22.35,9.72,2.78,0.62,2023
PLAZA,IRAPUATO,MAYO,41027,1272,301,103,23.66,8.1,3.1,0.73,2023
PLAZA,IRAPUATO,JUNIO,41239,1156,261,94,22.58,8.13,2.8,0.63,2023
PLAZA,LA LAGUNA,ENERO,53111,1461,503,127,34.43,8.69,2.75,0.95,2022
PLAZA,LA LAGUNA,FEBRERO,55248,1526,536,147,35.12,9.63,2.76,0.97,2022
PLAZA,LA LAGUNA,MARZO,57409,1704,530,146,31.1,8.57,2.97,0.92,2022
PLAZA,LA LAGUNA,ABRIL,59558,1781,507,167,28.47,9.38,2.99,0.85,2022
PLAZA,LA LAGUNA,MAYO,62064,2080,538,201,25.87,9.66,3.35,0.87,2022
PLAZA,LA LAGUNA,JUNIO,65347,2120,415,192,19.58,9.06,3.24,0.64,2022
PLAZA,LA LAGUNA,JULIO,65347,1997,493,194,24.69,9.71,3.06,0.75,2022
PLAZA,LA LAGUNA,AGOSTO,65347,2285,552,215,24.16,9.41,3.5,0.84,2022
PLAZA,LA LAGUNA,SEPTIEMBRE,65347,2316,603,279,26.04,12.05,3.54,0.92,2022
PLAZA,LA LAGUNA,OCTUBRE,65347,1886,463,194,24.55,10.29,2.89,0.71,2022
PLAZA,LA LAGUNA,NOVIEMBRE,65347,1612,319,120,19.79,7.44,2.47,0.49,2022
PLAZA,LA LAGUNA,DICIEMBRE,65347,1616,329,158,20.36,9.78,2.47,0.5,2022
PLAZA,LA LAGUNA,ENERO,65366,1637,300,127,18.33,7.76,2.5,0.46,2023
PLAZA,LA LAGUNA,FEBRERO,65113,1642,372,153,22.66,9.32,2.52,0.57,2023
PLAZA,LA LAGUNA,MARZO,65685,2048,440,164,21.48,8.01,3.12,0.67,2023
PLAZA,LA LAGUNA,ABRIL,66028,1768,415,133,23.47,7.52,2.68,0.63,2023
PLAZA,LA LAGUNA,MAYO,66955,2476,559,220,22.58,8.89,3.7,0.83,2023
PLAZA,LA LAGUNA,JUNIO,67534,2026,506,163,24.98,8.05,3,0.75,2023
PLAZA,LEON,ENERO,86883,3673,921,396,25.07,10.78,4.23,1.06,2022
PLAZA,LEON,FEBRERO,89548,3184,730,309,22.93,9.7,3.56,0.82,2022
PLAZA,LEON,MARZO,92174,3690,861,338,23.33,9.16,4,0.93,2022
PLAZA,LEON,ABRIL,94262,3877,853,405,22,10.45,4.11,0.9,2022
PLAZA,LEON,MAYO,96263,4833,1075,440,22.24,9.1,5.02,1.12,2022
PLAZA,LEON,JUNIO,106371,5374,1018,545,18.94,10.14,5.05,0.96,2022
PLAZA,LEON,JULIO,106371,5336,1327,585,24.87,10.96,5.02,1.25,2022
PLAZA,LEON,AGOSTO,106371,5273,1303,605,24.71,11.47,4.96,1.22,2022
PLAZA,LEON,SEPTIEMBRE,106371,4478,1099,487,24.54,10.88,4.21,1.03,2022
PLAZA,LEON,OCTUBRE,106371,4858,1273,517,26.2,10.64,4.57,1.2,2022
PLAZA,LEON,NOVIEMBRE,106371,4253,953,413,22.41,9.71,4,0.9,2022
PLAZA,LEON,DICIEMBRE,106371,4225,910,412,21.54,9.75,3.97,0.86,2022
PLAZA,LEON,ENERO,107049,4895,802,491,16.38,10.03,4.57,0.75,2023
PLAZA,LEON,FEBRERO,107964,4284,973,421,22.71,9.83,3.97,0.9,2023
PLAZA,LEON,MARZO,109422,4892,1144,480,23.39,9.81,4.47,1.05,2023
PLAZA,LEON,ABRIL,110291,3830,887,363,23.16,9.48,3.47,0.8,2023
PLAZA,LEON,MAYO,111201,3913,970,444,24.79,11.35,3.52,0.87,2023
PLAZA,LEON,JUNIO,112267,3951,1058,435,26.78,11.01,3.52,0.94,2023
PLAZA,MATAMOROS,ENERO,0,0,1,0,#¡NUM!,0,0,#¡NUM!,2022
PLAZA,MATAMOROS,FEBRERO,0,0,0,0,0,0,0,0,2022
PLAZA,MATAMOROS,MARZO,0,0,0,0,0,0,0,0,2022
PLAZA,MATAMOROS,ABRIL,11,0,0,0,0,0,0,0,2022
PLAZA,MATAMOROS,MAYO,1657,52,51,1,98.08,1.92,3.14,3.08,2022
PLAZA,MATAMOROS,JUNIO,13791,142,93,13,65.49,9.15,1.03,0.67,2022
PLAZA,MATAMOROS,JULIO,13791,203,162,16,79.8,7.88,1.47,1.17,2022
PLAZA,MATAMOROS,AGOSTO,13791,254,153,14,60.24,5.51,1.84,1.11,2022
PLAZA,MATAMOROS,SEPTIEMBRE,13791,218,108,18,49.54,8.26,1.58,0.78,2022
PLAZA,MATAMOROS,OCTUBRE,13791,219,86,21,39.27,9.59,1.59,0.62,2022
PLAZA,MATAMOROS,NOVIEMBRE,13791,302,93,12,30.79,3.97,2.19,0.67,2022
PLAZA,MATAMOROS,DICIEMBRE,13791,293,68,14,23.21,4.78,2.12,0.49,2022
