PLAZA,Fecha,Instalaciones,Activaciones_automaticas,Ativaciones_manuales,%Act_Manuales
QUERETARO,2023-03-09,104,87,17,0.16346
QUERETARO,2023-03-10,146,133,13,0.08904
QUERETARO,2023-03-11,81,56,25,0.30864
QUERETARO,2023-03-12,116,112,4,0.03448
QUERETARO,2023-03-13,145,138,7,0.04828
QUERETARO,2023-03-14,120,102,18,0.15
QUERETARO,2023-03-15,70,60,10,0.14286
QUERETARO,2023-03-16,83,72,11,0.13253
QUERETARO,2023-03-17,136,124,12,0.08824
QUERETARO,2023-03-18,120,118,2,0.01667
QUERETARO,2023-03-19,65,63,2,0.03077
QUERETARO,2023-03-20,78,74,4,0.05128
REYNOSA,2023-01-01,19,19,0,0
REYNOSA,2023-01-02,88,77,11,0.125
REYNOSA,2023-01-03,84,77,7,0.08333
REYNOSA,2023-01-04,69,62,7,0.10145
REYNOSA,2023-01-05,108,85,23,0.21296
REYNOSA,2023-01-06,102,77,25,0.2451
REYNOSA,2023-01-07,119,83,36,0.30252
REYNOSA,2023-01-08,74,57,17,0.22973
REYNOSA,2023-01-09,102,51,51,0.5
REYNOSA,2023-01-10,121,90,31,0.2562
REYNOSA,2023-01-11,114,76,38,0.33333
REYNOSA,2023-01-12,103,68,35,0.33981
REYNOSA,2023-01-13,105,82,23,0.21905
REYNOSA,2023-01-14,126,84,42,0.33333
REYNOSA,2023-01-15,73,60,13,0.17808
REYNOSA,2023-01-16,142,114,28,0.19718
REYNOSA,2023-01-17,95,77,18,0.18947
REYNOSA,2023-01-18,102,77,25,0.2451
REYNOSA,2023-01-19,82,55,27,0.32927
REYNOSA,2023-01-20,119,79,40,0.33613
REYNOSA,2023-01-21,95,77,18,0.18947
REYNOSA,2023-01-22,63,41,22,0.34921
REYNOSA,2023-01-23,96,36,60,0.625
REYNOSA,2023-01-24,96,75,21,0.21875
REYNOSA,2023-01-25,108,65,43,0.39815
REYNOSA,2023-01-26,93,65,28,0.30108
REYNOSA,2023-01-27,78,52,26,0.33333
REYNOSA,2023-01-28,111,85,26,0.23423
REYNOSA,2023-01-29,72,48,24,0.33333
REYNOSA,2023-01-30,96,65,31,0.32292
REYNOSA,2023-01-31,116,84,32,0.27586
REYNOSA,2023-02-02,74,41,33,0.44595
REYNOSA,2023-02-03,91,47,44,0.48352
REYNOSA,2023-02-04,100,57,43,0.43
REYNOSA,2023-02-05,63,33,30,0.47619
REYNOSA,2023-02-06,82,65,17,0.20732
REYNOSA,2023-02-07,87,43,44,0.50575
REYNOSA,2023-02-08,76,52,24,0.31579
REYNOSA,2023-02-09,86,61,25,0.2907
REYNOSA,2023-02-10,78,67,11,0.14103
REYNOSA,2023-02-11,77,48,29,0.37662
REYNOSA,2023-02-12,99,59,40,0.40404
REYNOSA,2023-02-13,85,46,39,0.45882
REYNOSA,2023-02-14,73,32,41,0.56164
REYNOSA,2023-02-15,77,50,27,0.35065
REYNOSA,2023-02-16,114,59,55,0.48246
REYNOSA,2023-02-17,86,58,28,0.32558
REYNOSA,2023-02-18,109,62,47,0.43119
REYNOSA,2023-02-19,87,53,34,0.3908
REYNOSA,2023-02-20,96,50,46,0.47917
REYNOSA,2023-02-21,70,45,25,0.35714
REYNOSA,2023-02-22,48,24,24,0.5
REYNOSA,2023-02-23,111,43,68,0.61261
REYNOSA,2023-02-24,96,44,52,0.54167
REYNOSA,2023-02-25,133,67,66,0.49624
REYNOSA,2023-02-26,104,44,60,0.57692
REYNOSA,2023-02-27,82,24,58,0.70732
REYNOSA,2023-02-28,84,37,47,0.55952
REYNOSA,2023-03-01,73,34,39,0.53425
REYNOSA,2023-03-02,77,46,31,0.4026
REYNOSA,2023-03-03,122,63,59,0.48361
REYNOSA,2023-03-04,118,50,68,0.57627
REYNOSA,2023-03-05,69,20,49,0.71014
REYNOSA,2023-03-07,73,33,40,0.54795
REYNOSA,2023-03-08,59,27,32,0.54237
REYNOSA,2023-03-09,56,31,25,0.44643
REYNOSA,2023-03-10,78,41,37,0.47436
REYNOSA,2023-03-11,108,50,58,0.53704
REYNOSA,2023-03-12,68,24,44,0.64706
REYNOSA,2023-03-13,104,45,59,0.56731
REYNOSA,2023-03-14,153,38,115,0.75163
REYNOSA,2023-03-15,69,57,12,0.17391
REYNOSA,2023-03-16,89,57,32,0.35955
REYNOSA,2023-03-17,133,107,26,0.19549
REYNOSA,2023-03-18,148,124,24,0.16216
REYNOSA,2023-03-19,96,75,21,0.21875
REYNOSA,2023-03-20,91,78,13,0.14286
SALTILLO,2023-01-01,20,19,1,0.05
SALTILLO,2023-01-02,66,61,5,0.07576
SALTILLO,2023-01-03,72,66,6,0.08333
SALTILLO,2023-01-04,69,62,7,0.10145
SALTILLO,2023-01-05,118,90,28,0.23729
SALTILLO,2023-01-06,77,69,8,0.1039
SALTILLO,2023-01-07,106,92,14,0.13208
SALTILLO,2023-01-08,52,33,19,0.36538
SALTILLO,2023-01-09,87,79,8,0.09195
SALTILLO,2023-01-10,64,59,5,0.07812
SALTILLO,2023-01-11,91,79,12,0.13187
SALTILLO,2023-01-12,79,73,6,0.07595
SALTILLO,2023-01-13,102,78,24,0.23529
SALTILLO,2023-01-14,81,65,16,0.19753
SALTILLO,2023-01-15,46,41,5,0.1087
SALTILLO,2023-01-16,51,41,10,0.19608
SALTILLO,2023-01-17,95,84,11,0.11579
SALTILLO,2023-01-18,60,46,14,0.23333
SALTILLO,2023-01-19,52,43,9,0.17308
SALTILLO,2023-01-20,98,90,8,0.08163
SALTILLO,2023-01-21,88,69,19,0.21591
SALTILLO,2023-01-22,50,43,7,0.14
SALTILLO,2023-01-23,44,40,4,0.09091
SALTILLO,2023-01-24,64,59,5,0.07812
SALTILLO,2023-01-25,56,54,2,0.03571
SALTILLO,2023-01-26,59,52,7,0.11864
SALTILLO,2023-01-27,50,43,7,0.14
SALTILLO,2023-01-28,88,72,16,0.18182
SALTILLO,2023-01-29,30,26,4,0.13333
SALTILLO,2023-01-30,60,51,9,0.15
SALTILLO,2023-01-31,82,79,3,0.03659
SALTILLO,2023-02-02,57,44,13,0.22807
SALTILLO,2023-02-03,78,57,21,0.26923
SALTILLO,2023-02-04,78,70,8,0.10256
SALTILLO,2023-02-05,40,35,5,0.125
SALTILLO,2023-02-06,59,44,15,0.25424
SALTILLO,2023-02-07,44,43,1,0.02273
SALTILLO,2023-02-08,61,53,8,0.13115
SALTILLO,2023-02-09,66,55,11,0.16667
SALTILLO,2023-02-10,57,35,22,0.38596
SALTILLO,2023-02-11,82,59,23,0.28049
SALTILLO,2023-02-12,52,37,15,0.28846
SALTILLO,2023-02-13,46,33,13,0.28261
SALTILLO,2023-02-14,51,44,7,0.13725
SALTILLO,2023-02-15,44,34,10,0.22727
SALTILLO,2023-02-16,71,57,14,0.19718
SALTILLO,2023-02-17,63,59,4,0.06349
SALTILLO,2023-02-18,91,75,16,0.17582
SALTILLO,2023-02-19,42,20,22,0.52381
SALTILLO,2023-02-20,54,39,15,0.27778
SALTILLO,2023-02-21,54,42,12,0.22222
SALTILLO,2023-02-22,67,40,27,0.40299
SALTILLO,2023-02-23,64,54,10,0.15625
SALTILLO,2023-02-24,69,46,23,0.33333
SALTILLO,2023-02-25,96,51,45,0.46875
SALTILLO,2023-02-26,59,21,38,0.64407
SALTILLO,2023-02-27,53,35,18,0.33962
SALTILLO,2023-02-28,88,58,30,0.34091
SALTILLO,2023-03-01,67,30,37,0.55224
SALTILLO,2023-03-02,66,33,33,0.5
SALTILLO,2023-03-03,82,58,24,0.29268
SALTILLO,2023-03-04,74,33,41,0.55405
SALTILLO,2023-03-05,52,24,28,0.53846
SALTILLO,2023-03-07,63,29,34,0.53968
SALTILLO,2023-03-08,72,44,28,0.38889
SALTILLO,2023-03-09,70,30,40,0.57143
SALTILLO,2023-03-10,77,48,29,0.37662
SALTILLO,2023-03-11,85,58,27,0.31765
SALTILLO,2023-03-12,65,20,45,0.69231
SALTILLO,2023-03-13,43,23,20,0.46512
SALTILLO,2023-03-14,77,43,34,0.44156
SALTILLO,2023-03-15,74,61,13,0.17568
SALTILLO,2023-03-16,95,81,14,0.14737
SALTILLO,2023-03-17,72,65,7,0.09722
SALTILLO,2023-03-18,123,114,9,0.07317
SALTILLO,2023-03-19,48,44,4,0.08333
SALTILLO,2023-03-20,76,71,5,0.06579
SAN LUIS POTOSI,2023-01-01,13,11,2,0.15385
SAN LUIS POTOSI,2023-01-02,73,66,7,0.09589
SAN LUIS POTOSI,2023-01-03,64,52,12,0.1875
SAN LUIS POTOSI,2023-01-04,95,65,30,0.31579
SAN LUIS POTOSI,2023-01-05,77,55,22,0.28571
SAN LUIS POTOSI,2023-01-06,100,79,21,0.21
SAN LUIS POTOSI,2023-01-07,105,80,25,0.2381
SAN LUIS POTOSI,2023-01-08,65,49,16,0.24615
SAN LUIS POTOSI,2023-01-09,111,102,9,0.08108
SAN LUIS POTOSI,2023-01-10,107,102,5,0.04673
SAN LUIS POTOSI,2023-01-11,94,68,26,0.2766
SAN LUIS POTOSI,2023-01-12,149,108,41,0.27517
SAN LUIS POTOSI,2023-01-13,108,70,38,0.35185
SAN LUIS POTOSI,2023-01-14,100,61,39,0.39
SAN LUIS POTOSI,2023-01-15,60,47,13,0.21667
SAN LUIS POTOSI,2023-01-16,89,70,19,0.21348
SAN LUIS POTOSI,2023-01-17,114,103,11,0.09649
SAN LUIS POTOSI,2023-01-18,49,45,4,0.08163
SAN LUIS POTOSI,2023-01-19,73,58,15,0.20548
SAN LUIS POTOSI,2023-01-20,79,70,9,0.11392
SAN LUIS POTOSI,2023-01-21,164,158,6,0.03659
SAN LUIS POTOSI,2023-01-22,47,34,13,0.2766
SAN LUIS POTOSI,2023-01-23,100,85,15,0.15
SAN LUIS POTOSI,2023-01-24,121,96,25,0.20661
SAN LUIS POTOSI,2023-01-25,133,87,46,0.34586
SAN LUIS POTOSI,2023-01-26,95,73,22,0.23158
SAN LUIS POTOSI,2023-01-27,118,95,23,0.19492
SAN LUIS POTOSI,2023-01-28,116,81,35,0.30172
SAN LUIS POTOSI,2023-01-29,79,60,19,0.24051
SAN LUIS POTOSI,2023-01-30,157,114,43,0.27389
SAN LUIS POTOSI,2023-01-31,106,81,25,0.23585
SAN LUIS POTOSI,2023-02-02,102,80,22,0.21569
SAN LUIS POTOSI,2023-02-03,107,71,36,0.33645
SAN LUIS POTOSI,2023-02-04,95,75,20,0.21053
SAN LUIS POTOSI,2023-02-05,42,35,7,0.16667
SAN LUIS POTOSI,2023-02-06,80,67,13,0.1625
SAN LUIS POTOSI,2023-02-07,72,58,14,0.19444
SAN LUIS POTOSI,2023-02-08,79,71,8,0.10127
SAN LUIS POTOSI,2023-02-09,72,71,1,0.01389
SAN LUIS POTOSI,2023-02-10,89,89,0,0
SAN LUIS POTOSI,2023-02-11,77,77,0,0
SAN LUIS POTOSI,2023-02-12,62,61,1,0.01613
SAN LUIS POTOSI,2023-02-13,101,101,0,0
SAN LUIS POTOSI,2023-02-14,86,80,6,0.06977
SAN LUIS POTOSI,2023-02-15,100,97,3,0.03
SAN LUIS POTOSI,2023-02-16,168,166,2,0.0119
SAN LUIS POTOSI,2023-02-17,117,112,5,0.04274
SAN LUIS POTOSI,2023-02-18,134,119,15,0.11194
SAN LUIS POTOSI,2023-02-19,64,52,12,0.1875
SAN LUIS POTOSI,2023-02-20,141,134,7,0.04965
SAN LUIS POTOSI,2023-02-21,140,134,6,0.04286
SAN LUIS POTOSI,2023-02-22,130,130,0,0
SAN LUIS POTOSI,2023-02-23,63,63,0,0
SAN LUIS POTOSI,2023-02-24,111,102,9,0.08108
SAN LUIS POTOSI,2023-02-25,137,113,24,0.17518
SAN LUIS POTOSI,2023-02-26,117,103,14,0.11966
SAN LUIS POTOSI,2023-02-27,95,77,18,0.18947
SAN LUIS POTOSI,2023-02-28,108,97,11,0.10185
SAN LUIS POTOSI,2023-03-01,105,100,5,0.04762
SAN LUIS POTOSI,2023-03-02,94,89,5,0.05319
SAN LUIS POTOSI,2023-03-03,108,107,1,0.00926
SAN LUIS POTOSI,2023-03-04,82,82,0,0
SAN LUIS POTOSI,2023-03-05,41,41,0,0
SAN LUIS POTOSI,2023-03-07,105,102,3,0.02857
SAN LUIS POTOSI,2023-03-08,127,105,22,0.17323
SAN LUIS POTOSI,2023-03-09,61,61,0,0
SAN LUIS POTOSI,2023-03-10,92,92,0,0
SAN LUIS POTOSI,2023-03-11,97,97,0,0
SAN LUIS POTOSI,2023-03-12,57,56,1,0.01754
SAN LUIS POTOSI,2023-03-13,76,71,5,0.06579
SAN LUIS POTOSI,2023-03-14,56,55,1,0.01786
SAN LUIS POTOSI,2023-03-15,74,74,0,0
SAN LUIS POTOSI,2023-03-16,65,65,0,0
SAN LUIS POTOSI,2023-03-17,94,94,0,0
SAN LUIS POTOSI,2023-03-18,123,119,4,0.03252
SAN LUIS POTOSI,2023-03-19,45,43,2,0.04444
SAN LUIS POTOSI,2023-03-20,69,69,0,0
TAMPICO,2023-01-01,6,5,1,0.16667
TAMPICO,2023-01-02,34,19,15,0.44118
TAMPICO,2023-01-03,46,33,13,0.28261
TAMPICO,2023-01-04,64,50,14,0.21875
TAMPICO,2023-01-05,54,44,10,0.18519
TAMPICO,2023-01-06,84,64,20,0.2381
TAMPICO,2023-01-07,63,53,10,0.15873
TAMPICO,2023-01-08,58,42,16,0.27586
TAMPICO,2023-01-09,71,50,21,0.29577
TAMPICO,2023-01-10,63,53,10,0.15873
TAMPICO,2023-01-11,48,35,13,0.27083
TAMPICO,2023-01-12,57,47,10,0.17544
TAMPICO,2023-01-13,50,46,4,0.08
TAMPICO,2023-01-14,78,68,10,0.12821
TAMPICO,2023-01-15,33,30,3,0.09091
TAMPICO,2023-01-16,66,53,13,0.19697
TAMPICO,2023-01-17,73,61,12,0.16438
TAMPICO,2023-01-18,61,48,13,0.21311
TAMPICO,2023-01-19,62,53,9,0.14516
TAMPICO,2023-01-20,62,50,12,0.19355
TAMPICO,2023-01-21,60,41,19,0.31667
TAMPICO,2023-01-22,41,29,12,0.29268
TAMPICO,2023-01-23,56,21,35,0.625
TAMPICO,2023-01-24,60,57,3,0.05
TAMPICO,2023-01-25,68,57,11,0.16176
TAMPICO,2023-01-26,50,42,8,0.16
TAMPICO,2023-01-27,46,40,6,0.13043
TAMPICO,2023-01-28,65,56,9,0.13846
TAMPICO,2023-01-29,47,43,4,0.08511
TAMPICO,2023-01-30,54,44,10,0.18519
TAMPICO,2023-01-31,83,72,11,0.13253
TAMPICO,2023-02-02,60,53,7,0.11667
TAMPICO,2023-02-03,59,51,8,0.13559
TAMPICO,2023-02-04,70,61,9,0.12857
TAMPICO,2023-02-05,33,29,4,0.12121
TAMPICO,2023-02-06,42,33,9,0.21429
TAMPICO,2023-02-07,60,52,8,0.13333
TAMPICO,2023-02-08,48,42,6,0.125
TAMPICO,2023-02-09,69,56,13,0.18841
TAMPICO,2023-02-10,55,50,5,0.09091
TAMPICO,2023-02-11,55,51,4,0.07273
TAMPICO,2023-02-12,41,39,2,0.04878
TAMPICO,2023-02-13,47,41,6,0.12766
TAMPICO,2023-02-14,45,40,5,0.11111
TAMPICO,2023-02-15,46,36,10,0.21739
TAMPICO,2023-02-16,49,44,5,0.10204
TAMPICO,2023-02-17,61,58,3,0.04918
TAMPICO,2023-02-18,47,45,2,0.04255
TAMPICO,2023-02-19,39,34,5,0.12821
TAMPICO,2023-02-20,33,26,7,0.21212
TAMPICO,2023-02-21,44,42,2,0.04545
TAMPICO,2023-02-22,61,43,18,0.29508
TAMPICO,2023-02-23,52,45,7,0.13462
TAMPICO,2023-02-24,58,52,6,0.10345
TAMPICO,2023-02-25,54,40,14,0.25926
TAMPICO,2023-02-26,38,38,0,0
TAMPICO,2023-02-27,50,44,6,0.12
TAMPICO,2023-02-28,66,57,9,0.13636
TAMPICO,2023-03-01,65,58,7,0.10769
TAMPICO,2023-03-02,63,50,13,0.20635
TAMPICO,2023-03-03,88,81,7,0.07955
TAMPICO,2023-03-04,47,43,4,0.08511
TAMPICO,2023-03-05,26,25,1,0.03846
TAMPICO,2023-03-07,58,52,6,0.10345
TAMPICO,2023-03-08,67,58,9,0.13433
TAMPICO,2023-03-09,46,36,10,0.21739
TAMPICO,2023-03-10,60,40,20,0.33333
TAMPICO,2023-03-11,88,85,3,0.03409
TAMPICO,2023-03-12,48,29,19,0.39583
TAMPICO,2023-03-13,52,41,11,0.21154
TAMPICO,2023-03-14,116,95,21,0.18103
TAMPICO,2023-03-15,149,69,80,0.53691
TAMPICO,2023-03-16,74,66,8,0.10811
TAMPICO,2023-03-17,155,141,14,0.09032
TAMPICO,2023-03-18,169,83,86,0.50888
TAMPICO,2023-03-19,130,116,14,0.10769
TAMPICO,2023-03-20,67,57,10,0.14925
TEPIC,2023-01-01,5,5,0,0
TEPIC,2023-01-02,19,19,0,0
TEPIC,2023-01-03,27,27,0,0
TEPIC,2023-01-04,44,44,0,0
TEPIC,2023-01-05,21,21,0,0
TEPIC,2023-01-06,33,33,0,0
TEPIC,2023-01-07,31,31,0,0
TEPIC,2023-01-08,20,20,0,0
TEPIC,2023-01-09,27,27,0,0
TEPIC,2023-01-10,37,37,0,0
TEPIC,2023-01-11,26,22,4,0.15385
TEPIC,2023-01-12,34,32,2,0.05882
TEPIC,2023-01-13,18,16,2,0.11111
TEPIC,2023-01-14,25,20,5,0.2
TEPIC,2023-01-15,16,16,0,0
TEPIC,2023-01-16,32,30,2,0.0625
TEPIC,2023-01-17,34,34,0,0
TEPIC,2023-01-18,29,29,0,0
TEPIC,2023-01-19,35,35,0,0
TEPIC,2023-01-20,25,25,0,0
TEPIC,2023-01-21,69,61,8,0.11594
TEPIC,2023-01-22,28,28,0,0
TEPIC,2023-01-23,46,44,2,0.04348
TEPIC,2023-01-24,20,20,0,0
TEPIC,2023-01-25,47,47,0,0
TEPIC,2023-01-26,30,30,0,0
TEPIC,2023-01-27,50,50,0,0
TEPIC,2023-01-28,41,39,2,0.04878
TEPIC,2023-01-29,19,19,0,0
TEPIC,2023-01-30,61,61,0,0
TEPIC,2023-01-31,41,41,0,0
TEPIC,2023-02-02,57,52,5,0.08772
TEPIC,2023-02-03,24,20,4,0.16667
TEPIC,2023-02-04,40,34,6,0.15
TEPIC,2023-02-05,11,11,0,0
TEPIC,2023-02-06,34,34,0,0
TEPIC,2023-02-07,48,48,0,0
TEPIC,2023-02-08,16,16,0,0
TEPIC,2023-02-09,44,31,13,0.29545
TEPIC,2023-02-10,19,19,0,0
TEPIC,2023-02-11,60,60,0,0
TEPIC,2023-02-12,9,9,0,0
TEPIC,2023-02-13,23,22,1,0.04348
TEPIC,2023-02-14,24,24,0,0
TEPIC,2023-02-15,25,25,0,0
TEPIC,2023-02-16,59,59,0,0
TEPIC,2023-02-17,58,58,0,0
TEPIC,2023-02-18,28,28,0,0
TEPIC,2023-02-19,6,6,0,0
TEPIC,2023-02-20,41,41,0,0
TEPIC,2023-02-21,37,37,0,0
TEPIC,2023-02-22,36,36,0,0
TEPIC,2023-02-23,55,55,0,0
TEPIC,2023-02-24,19,19,0,0
TEPIC,2023-02-25,31,31,0,0
TEPIC,2023-02-26,7,7,0,0
TEPIC,2023-02-27,21,21,0,0
TEPIC,2023-02-28,53,53,0,0
TEPIC,2023-03-01,36,23,13,0.36111
TEPIC,2023-03-02,33,33,0,0
TEPIC,2023-03-03,18,18,0,0
TEPIC,2023-03-04,36,29,7,0.19444
TEPIC,2023-03-05,19,19,0,0
TEPIC,2023-03-07,72,72,0,0
TEPIC,2023-03-08,28,28,0,0
TEPIC,2023-03-09,48,48,0,0
TEPIC,2023-03-10,31,25,6,0.19355
TEPIC,2023-03-11,35,21,14,0.4
TEPIC,2023-03-12,37,37,0,0
TEPIC,2023-03-13,41,30,11,0.26829
TEPIC,2023-03-14,20,20,0,0
TEPIC,2023-03-15,32,32,0,0
TEPIC,2023-03-16,33,33,0,0
TEPIC,2023-03-17,19,19,0,0
TEPIC,2023-03-18,40,39,1,0.025
TEPIC,2023-03-19,68,68,0,0
TEPIC,2023-03-20,35,35,0,0
TIJUANA,2023-01-01,12,4,8,0.66667
TIJUANA,2023-01-02,223,132,91,0.40807
TIJUANA,2023-01-03,237,125,112,0.47257
TIJUANA,2023-01-04,270,131,139,0.51481
TIJUANA,2023-01-05,320,200,120,0.375
TIJUANA,2023-01-06,326,165,161,0.49387
TIJUANA,2023-01-07,339,173,166,0.48968
TIJUANA,2023-01-08,339,166,173,0.51032
TIJUANA,2023-01-09,239,95,144,0.60251
TIJUANA,2023-01-10,395,147,248,0.62785
TIJUANA,2023-01-11,290,142,148,0.51034
TIJUANA,2023-01-12,317,151,166,0.52366
TIJUANA,2023-01-13,327,168,159,0.48624
TIJUANA,2023-01-14,208,104,104,0.5
TIJUANA,2023-01-15,243,130,113,0.46502
TIJUANA,2023-01-16,150,108,42,0.28
TIJUANA,2023-01-17,256,142,114,0.44531
TIJUANA,2023-01-18,375,220,155,0.41333
TIJUANA,2023-01-19,277,99,178,0.6426
TIJUANA,2023-01-20,318,147,171,0.53774
TIJUANA,2023-01-21,380,150,230,0.60526
TIJUANA,2023-01-22,271,160,111,0.40959
TIJUANA,2023-01-23,301,167,134,0.44518
TIJUANA,2023-01-24,340,181,159,0.46765
TIJUANA,2023-01-25,358,155,203,0.56704
TIJUANA,2023-01-26,386,167,219,0.56736
TIJUANA,2023-01-27,345,163,182,0.52754
TIJUANA,2023-01-28,411,215,196,0.47689
TIJUANA,2023-01-29,327,165,162,0.49541
TIJUANA,2023-01-30,273,158,115,0.42125
TIJUANA,2023-01-31,319,145,174,0.54545
TIJUANA,2023-02-02,351,198,153,0.4359
TIJUANA,2023-02-03,308,210,98,0.31818
TIJUANA,2023-02-04,272,129,143,0.52574
TIJUANA,2023-02-05,280,164,116,0.41429
TIJUANA,2023-02-06,338,212,126,0.37278
TIJUANA,2023-02-07,371,234,137,0.36927
TIJUANA,2023-02-08,390,207,183,0.46923
TIJUANA,2023-02-09,295,154,141,0.47797
TIJUANA,2023-02-10,556,210,346,0.6223
TIJUANA,2023-02-11,425,200,225,0.52941
TIJUANA,2023-02-12,245,116,129,0.52653
TIJUANA,2023-02-13,350,159,191,0.54571
TIJUANA,2023-02-14,332,184,148,0.44578
TIJUANA,2023-02-15,423,246,177,0.41844
TIJUANA,2023-02-16,259,104,155,0.59846
TIJUANA,2023-02-17,379,152,227,0.59894
TIJUANA,2023-02-18,387,211,176,0.45478
TIJUANA,2023-02-19,326,108,218,0.66871
TIJUANA,2023-02-20,371,178,193,0.52022
TIJUANA,2023-02-21,368,166,202,0.54891
TIJUANA,2023-02-22,330,181,149,0.45152
TIJUANA,2023-02-23,236,111,125,0.52966
TIJUANA,2023-02-24,279,129,150,0.53763
TIJUANA,2023-02-25,143,41,102,0.71329
TIJUANA,2023-02-26,331,161,170,0.5136
TIJUANA,2023-02-27,346,110,236,0.68208
TIJUANA,2023-02-28,269,57,212,0.7881
TIJUANA,2023-03-01,196,50,146,0.7449
TIJUANA,2023-03-02,245,102,143,0.58367
TIJUANA,2023-03-03,369,154,215,0.58266
TIJUANA,2023-03-04,451,137,314,0.69623
TIJUANA,2023-03-05,413,109,304,0.73608
TIJUANA,2023-03-07,192,100,92,0.47917
TIJUANA,2023-03-08,406,249,157,0.3867
TIJUANA,2023-03-09,300,120,180,0.6
TIJUANA,2023-03-10,240,97,143,0.59583
TIJUANA,2023-03-11,418,166,252,0.60287
TIJUANA,2023-03-12,364,192,172,0.47253
TIJUANA,2023-03-13,226,125,101,0.4469
TIJUANA,2023-03-14,227,142,85,0.37445
TIJUANA,2023-03-15,144,93,51,0.35417
TIJUANA,2023-03-16,195,111,84,0.43077
TIJUANA,2023-03-17,275,212,63,0.22909
TIJUANA,2023-03-18,238,185,53,0.22269
TIJUANA,2023-03-19,214,175,39,0.18224
TIJUANA,2023-03-20,130,98,32,0.24615
TOLUCA,2023-01-01,36,35,1,0.02778
TOLUCA,2023-01-02,189,189,0,0
TOLUCA,2023-01-03,260,248,12,0.04615
TOLUCA,2023-01-04,294,263,31,0.10544
TOLUCA,2023-01-05,234,219,15,0.0641
TOLUCA,2023-01-06,195,186,9,0.04615
TOLUCA,2023-01-07,222,215,7,0.03153
TOLUCA,2023-01-08,169,165,4,0.02367
TOLUCA,2023-01-09,209,198,11,0.05263
TOLUCA,2023-01-10,253,195,58,0.22925
TOLUCA,2023-01-11,213,209,4,0.01878
TOLUCA,2023-01-12,241,238,3,0.01245
TOLUCA,2023-01-13,209,184,25,0.11962
TOLUCA,2023-01-14,306,287,19,0.06209
TOLUCA,2023-01-15,197,183,14,0.07107
TOLUCA,2023-01-16,237,223,14,0.05907
TOLUCA,2023-01-17,200,199,1,0.005
TOLUCA,2023-01-18,276,275,1,0.00362
TOLUCA,2023-01-19,348,333,15,0.0431
TOLUCA,2023-01-20,324,305,19,0.05864
TOLUCA,2023-01-21,396,394,2,0.00505
TOLUCA,2023-01-22,186,179,7,0.03763
TOLUCA,2023-01-23,214,214,0,0
TOLUCA,2023-01-24,191,190,1,0.00524
TOLUCA,2023-01-25,304,298,6,0.01974
TOLUCA,2023-01-26,231,223,8,0.03463
TOLUCA,2023-01-27,308,284,24,0.07792
TOLUCA,2023-01-28,298,283,15,0.05034
TOLUCA,2023-01-29,213,198,15,0.07042
TOLUCA,2023-01-30,267,257,10,0.03745
TOLUCA,2023-01-31,291,280,11,0.0378
TOLUCA,2023-02-02,236,220,16,0.0678
TOLUCA,2023-02-03,250,243,7,0.028
TOLUCA,2023-02-04,253,253,0,0
TOLUCA,2023-02-05,155,152,3,0.01935
TOLUCA,2023-02-06,265,263,2,0.00755
TOLUCA,2023-02-07,307,305,2,0.00651
TOLUCA,2023-02-08,234,226,8,0.03419
TOLUCA,2023-02-09,286,282,4,0.01399
TOLUCA,2023-02-10,240,232,8,0.03333
TOLUCA,2023-02-11,200,191,9,0.045
TOLUCA,2023-02-12,179,170,9,0.05028
TOLUCA,2023-02-13,199,199,0,0
TOLUCA,2023-02-14,348,346,2,0.00575
TOLUCA,2023-02-15,260,256,4,0.01538
TOLUCA,2023-02-16,206,198,8,0.03883
TOLUCA,2023-02-17,201,198,3,0.01493
TOLUCA,2023-02-18,381,371,10,0.02625
TOLUCA,2023-02-19,262,249,13,0.04962
TOLUCA,2023-02-20,329,321,8,0.02432
TOLUCA,2023-02-21,248,244,4,0.01613
TOLUCA,2023-02-22,195,188,7,0.0359
TOLUCA,2023-02-23,303,297,6,0.0198
TOLUCA,2023-02-24,437,427,10,0.02288
TOLUCA,2023-02-25,281,277,4,0.01423
TOLUCA,2023-02-26,185,176,9,0.04865
TOLUCA,2023-02-27,251,242,9,0.03586
TOLUCA,2023-02-28,267,263,4,0.01498
TOLUCA,2023-03-01,276,264,12,0.04348
TOLUCA,2023-03-02,253,244,9,0.03557
TOLUCA,2023-03-03,178,161,17,0.09551
TOLUCA,2023-03-04,251,230,21,0.08367
TOLUCA,2023-03-05,206,199,7,0.03398
TOLUCA,2023-03-07,271,261,10,0.0369
TOLUCA,2023-03-08,241,234,7,0.02905
TOLUCA,2023-03-09,204,186,18,0.08824
TOLUCA,2023-03-10,164,159,5,0.03049
TOLUCA,2023-03-11,208,207,1,0.00481
TOLUCA,2023-03-12,134,129,5,0.03731
TOLUCA,2023-03-13,226,219,7,0.03097
TOLUCA,2023-03-14,175,170,5,0.02857
TOLUCA,2023-03-15,174,167,7,0.04023
TOLUCA,2023-03-16,215,202,13,0.06047
TOLUCA,2023-03-17,282,261,21,0.07447
TOLUCA,2023-03-18,350,338,12,0.03429
TOLUCA,2023-03-19,206,201,5,0.02427
TOLUCA,2023-03-20,278,274,4,0.01439
TUXTLA,2023-01-01,7,7,0,0
TUXTLA,2023-01-02,44,43,1,0.02273
