DESPACHO CENTRALIZADO,DIRECCION,FechaF,Asignaciones_totales,Asignaciones_automaticas,Asignaciones_manuales,PorcAA
SI,PACIFICO,2024-04-08,621,617,4,0.99356
SI,PACIFICO,2024-04-09,595,586,9,0.98487
SI,PACIFICO,2024-04-10,672,668,4,0.99405
SI,PACIFICO,2024-04-11,627,622,5,0.99203
SI,PACIFICO,2024-04-12,672,664,8,0.9881
SI,PACIFICO,2024-04-13,610,608,2,0.99672
SI,PACIFICO,2024-04-14,557,553,4,0.99282
SI,PACIFICO,2024-04-15,681,674,7,0.98972
SI,PACIFICO,2024-04-16,691,687,4,0.99421
SI,PACIFICO,2024-04-17,667,661,6,0.991
SI,PACIFICO,2024-04-18,674,661,13,0.98071
SI,PACIFICO,2024-04-19,613,609,4,0.99347
SI,PACIFICO,2024-04-20,692,687,5,0.99277
SI,PACIFICO,2024-04-21,485,475,10,0.97938
SI,PACIFICO,2024-04-22,462,454,8,0.98268
SI,PACIFICO,2024-04-23,717,696,21,0.97071
SI,PACIFICO,2024-04-24,709,699,10,0.9859
SI,PACIFICO,2024-04-25,670,658,12,0.98209
SI,PACIFICO,2024-04-26,616,614,2,0.99675
SI,PACIFICO,2024-04-27,557,543,14,0.97487
SI,PACIFICO,2024-04-28,511,504,7,0.9863
SI,PACIFICO,2024-04-29,617,609,8,0.98703
SI,PACIFICO,2024-04-30,609,599,10,0.98358
SI,PACIFICO,2024-05-01,471,465,6,0.98726
SI,PACIFICO,2024-05-02,689,677,12,0.98258
SI,PACIFICO,2024-05-03,600,590,10,0.98333
SI,PACIFICO,2024-05-04,639,629,10,0.98435
SI,PACIFICO,2024-05-05,501,494,7,0.98603
SI,PACIFICO,2024-05-06,637,628,9,0.98587
SI,PACIFICO,2024-05-07,618,606,12,0.98058
SI,PACIFICO,2024-05-08,663,643,20,0.96983
SI,PACIFICO,2024-05-09,703,681,22,0.96871
SI,PACIFICO,2024-05-10,649,638,11,0.98305
SI,PACIFICO,2024-05-11,558,550,8,0.98566
SI,PACIFICO,2024-05-12,385,369,16,0.95844
SI,PACIFICO,2024-05-13,595,582,13,0.97815
SI,PACIFICO,2024-05-14,641,633,8,0.98752
SI,PACIFICO,2024-05-15,641,624,17,0.97348
SI,PACIFICO,2024-05-16,637,625,12,0.98116
SI,PACIFICO,2024-05-17,629,619,10,0.9841
SI,PACIFICO,2024-05-18,634,628,6,0.99054
SI,PACIFICO,2024-05-19,514,504,10,0.98054
SI,PACIFICO,2024-05-20,620,610,10,0.98387
SI,PACIFICO,2024-05-21,638,631,7,0.98903
SI,PACIFICO,2024-05-22,671,661,10,0.9851
SI,PACIFICO,2024-05-23,663,661,2,0.99698
SI,PACIFICO,2024-05-24,607,601,6,0.99012
SI,PACIFICO,2024-05-25,598,591,7,0.98829
SI,PACIFICO,2024-05-26,464,454,10,0.97845
SI,PACIFICO,2024-05-27,581,566,15,0.97418
SI,PACIFICO,2024-05-28,569,560,9,0.98418
SI,PACIFICO,2024-05-29,632,629,3,0.99525
SI,PACIFICO,2024-05-30,624,619,5,0.99199
SI,PACIFICO,2024-05-31,594,585,9,0.98485
SI,PACIFICO,2024-06-01,558,551,7,0.98746
SI,PACIFICO,2024-06-02,421,414,7,0.98337
SI,PACIFICO,2024-06-03,679,666,13,0.98085
SI,PACIFICO,2024-06-05,664,654,10,0.98494
SI,PACIFICO,2024-06-06,683,676,7,0.98975
SI,PACIFICO,2024-06-07,642,625,17,0.97352
SI,PACIFICO,2024-06-08,742,733,9,0.98787
SI,PACIFICO,2024-06-09,533,527,6,0.98874
SI,PACIFICO,2024-06-10,625,618,7,0.9888
SI,PACIFICO,2024-06-11,647,629,18,0.97218
SI,PACIFICO,2024-06-12,659,641,18,0.97269
SI,PACIFICO,2024-06-13,532,517,15,0.9718
SI,PACIFICO,2024-06-14,653,640,13,0.98009
SI,PACIFICO,2024-06-15,612,605,7,0.98856
SI,PACIFICO,2024-06-16,405,403,2,0.99506
SI,PACIFICO,2024-06-17,588,583,5,0.9915
SI,PACIFICO,2024-06-18,667,655,12,0.98201
SI,PACIFICO,2024-06-19,634,622,12,0.98107
SI,PACIFICO,2024-06-20,680,669,11,0.98382
SI,PACIFICO,2024-06-21,662,653,9,0.9864
SI,PACIFICO,2024-06-22,667,662,5,0.9925
SI,PACIFICO,2024-06-23,517,504,13,0.97485
SI,PACIFICO,2024-06-24,713,692,21,0.97055
SI,PACIFICO,2024-06-25,703,686,17,0.97582
SI,PACIFICO,2024-06-26,680,668,12,0.98235
SI,PACIFICO,2024-06-27,645,632,13,0.97984
SI,PACIFICO,2024-06-28,723,707,16,0.97787
SI,PACIFICO,2024-06-29,662,650,12,0.98187
SI,PACIFICO,2024-06-30,521,517,4,0.99232
SI,PACIFICO,2024-07-01,653,647,6,0.99081
SI,PACIFICO,2024-07-02,625,616,9,0.9856
SI,PACIFICO,2024-07-03,674,654,20,0.97033
SI,PACIFICO,2024-07-04,736,731,5,0.99321
SI,PACIFICO,2024-07-05,651,638,13,0.98003
SI,PACIFICO,2024-07-06,672,662,10,0.98512
SI,PACIFICO,2024-07-07,521,514,7,0.98656
SI,PACIFICO,2024-07-08,677,670,7,0.98966
SI,PACIFICO,2024-07-09,690,678,12,0.98261
SI,PACIFICO,2024-07-10,775,759,16,0.97935
SI,PACIFICO,2024-07-11,784,776,8,0.9898
SI,PACIFICO,2024-07-12,783,761,22,0.9719
SI,PACIFICO,2024-07-13,738,730,8,0.98916
SI,PACIFICO,2024-07-14,599,594,5,0.99165
SI,PACIFICO,2024-07-15,722,714,8,0.98892
SI,PACIFICO,2024-07-16,708,696,12,0.98305
SI,PACIFICO,2024-07-17,719,705,14,0.98053
SI,PACIFICO,2024-07-18,638,629,9,0.98589
SI,PACIFICO,2024-07-19,689,680,9,0.98694
SI,PACIFICO,2024-07-20,638,628,10,0.98433
SI,PACIFICO,2024-07-21,630,623,7,0.98889
SI,SURESTE,2023-08-01,1052,559,493,0.53137
SI,SURESTE,2023-08-02,1241,586,655,0.4722
SI,SURESTE,2023-08-03,1221,571,650,0.46765
SI,SURESTE,2023-08-04,1364,1117,247,0.81891
SI,SURESTE,2023-08-05,1278,928,350,0.72613
SI,SURESTE,2023-08-06,1125,748,377,0.66489
SI,SURESTE,2023-08-07,1268,864,404,0.68139
SI,SURESTE,2023-08-08,1321,897,424,0.67903
SI,SURESTE,2023-08-09,1339,878,461,0.65571
SI,SURESTE,2023-08-10,1294,841,453,0.64992
SI,SURESTE,2023-08-11,1377,909,468,0.66013
SI,SURESTE,2023-08-12,1417,930,487,0.65632
SI,SURESTE,2023-08-13,1163,666,497,0.57266
SI,SURESTE,2023-08-14,1249,846,403,0.67734
SI,SURESTE,2023-08-15,1330,930,400,0.69925
SI,SURESTE,2023-08-16,1391,993,398,0.71387
SI,SURESTE,2023-08-17,1380,977,403,0.70797
SI,SURESTE,2023-08-18,1282,793,489,0.61856
SI,SURESTE,2023-08-19,1191,636,555,0.53401
SI,SURESTE,2023-08-20,1135,632,503,0.55683
SI,SURESTE,2023-08-21,1257,646,611,0.51392
SI,SURESTE,2023-08-22,2271,1888,383,0.83135
SI,SURESTE,2023-08-23,1543,1177,366,0.7628
SI,SURESTE,2023-08-24,1517,1171,346,0.77192
SI,SURESTE,2023-08-25,1407,1125,282,0.79957
SI,SURESTE,2023-08-26,1300,925,375,0.71154
SI,SURESTE,2023-08-27,1277,845,432,0.66171
SI,SURESTE,2023-08-28,1526,1095,431,0.71756
SI,SURESTE,2023-08-29,1636,1195,441,0.73044
SI,SURESTE,2023-08-30,1613,1266,347,0.78487
SI,SURESTE,2023-08-31,1588,1254,334,0.78967
SI,SURESTE,2023-09-01,1443,1246,197,0.86348
SI,SURESTE,2023-09-02,1550,1360,190,0.87742
SI,SURESTE,2023-09-03,1370,1240,130,0.90511
SI,SURESTE,2023-09-04,1605,1382,223,0.86106
SI,SURESTE,2023-09-05,1611,1365,246,0.8473
SI,SURESTE,2023-09-06,1607,1392,215,0.86621
SI,SURESTE,2023-09-07,1619,1451,168,0.89623
SI,SURESTE,2023-09-08,1708,1409,299,0.82494
SI,SURESTE,2023-09-09,1572,1313,259,0.83524
SI,SURESTE,2023-09-10,1549,1321,228,0.85281
SI,SURESTE,2023-09-11,1746,1537,209,0.8803
SI,SURESTE,2023-09-12,1816,1528,288,0.84141
SI,SURESTE,2023-09-13,1858,1557,301,0.838
SI,SURESTE,2023-09-14,1750,1527,223,0.87257
SI,SURESTE,2023-09-15,1751,1376,375,0.78584
SI,SURESTE,2023-09-16,1336,1126,210,0.84281
SI,SURESTE,2023-09-17,1668,1327,341,0.79556
SI,SURESTE,2023-09-18,1784,1471,313,0.82455
SI,SURESTE,2023-09-19,1865,1457,408,0.78123
SI,SURESTE,2023-09-20,1915,1514,401,0.7906
SI,SURESTE,2023-09-21,1904,1571,333,0.82511
SI,SURESTE,2023-09-22,1969,1670,299,0.84815
SI,SURESTE,2023-09-23,1847,1509,338,0.817
SI,SURESTE,2023-09-24,1701,1230,471,0.7231
SI,SURESTE,2023-09-25,1974,1448,526,0.73354
SI,SURESTE,2023-09-26,1934,1539,395,0.79576
SI,SURESTE,2023-09-27,1964,1541,423,0.78462
SI,SURESTE,2023-09-28,1905,1413,492,0.74173
SI,SURESTE,2023-09-29,1975,1557,418,0.78835
SI,SURESTE,2023-09-30,1670,1340,330,0.8024
SI,SURESTE,2023-10-01,1510,1209,301,0.80066
SI,SURESTE,2023-10-02,1766,1409,357,0.79785
SI,SURESTE,2023-10-03,1741,1278,463,0.73406
SI,SURESTE,2023-10-04,1859,1528,331,0.82195
SI,SURESTE,2023-10-05,1605,1406,199,0.87601
SI,SURESTE,2023-10-06,1389,1310,79,0.94312
SI,SURESTE,2023-10-07,1296,1175,121,0.90664
SI,SURESTE,2023-10-08,1000,895,105,0.895
SI,SURESTE,2023-10-09,1295,1183,112,0.91351
SI,SURESTE,2023-10-10,1346,1329,17,0.98737
SI,SURESTE,2023-10-11,1497,1476,21,0.98597
SI,SURESTE,2023-10-12,1498,1446,52,0.96529
SI,SURESTE,2023-10-13,1509,1455,54,0.96421
SI,SURESTE,2023-10-14,1421,1382,39,0.97255
SI,SURESTE,2023-10-15,1034,1006,28,0.97292
SI,SURESTE,2023-10-16,1507,1472,35,0.97678
SI,SURESTE,2023-10-17,1491,1469,22,0.98524
SI,SURESTE,2023-10-18,1694,1659,35,0.97934
SI,SURESTE,2023-10-19,1508,1476,32,0.97878
SI,SURESTE,2023-10-20,1463,1435,28,0.98086
SI,SURESTE,2023-10-21,1366,1344,22,0.98389
SI,SURESTE,2023-10-22,1147,1124,23,0.97995
SI,SURESTE,2023-10-23,1392,1375,17,0.98779
SI,SURESTE,2023-10-24,1581,1559,22,0.98608
SI,SURESTE,2023-10-25,1684,1653,31,0.98159
SI,SURESTE,2023-10-26,1668,1644,24,0.98561
SI,SURESTE,2023-10-27,1627,1618,9,0.99447
SI,SURESTE,2023-10-28,1351,1340,11,0.99186
SI,SURESTE,2023-10-29,1079,1067,12,0.98888
SI,SURESTE,2023-10-30,1470,1449,21,0.98571
SI,SURESTE,2023-10-31,1553,1532,21,0.98648
SI,SURESTE,2023-11-01,1221,1200,21,0.9828
SI,SURESTE,2023-11-02,1225,1213,12,0.9902
SI,SURESTE,2023-11-03,1450,1427,23,0.98414
SI,SURESTE,2023-11-04,1430,1404,26,0.98182
SI,SURESTE,2023-11-05,1246,1236,10,0.99197
SI,SURESTE,2023-11-06,1450,1421,29,0.98
SI,SURESTE,2023-11-07,1491,1471,20,0.98659
SI,SURESTE,2023-11-08,1548,1520,28,0.98191
SI,SURESTE,2023-11-09,1468,1444,24,0.98365
SI,SURESTE,2023-11-10,1538,1508,30,0.98049
SI,SURESTE,2023-11-11,1362,1351,11,0.99192
SI,SURESTE,2023-11-12,1150,1133,17,0.98522
SI,SURESTE,2023-11-13,1513,1482,31,0.97951
SI,SURESTE,2023-11-14,1439,1409,30,0.97915
SI,SURESTE,2023-11-15,1492,1466,26,0.98257
SI,SURESTE,2023-11-16,1392,1378,14,0.98994
SI,SURESTE,2023-11-17,1469,1450,19,0.98707
SI,SURESTE,2023-11-18,1384,1369,15,0.98916
SI,SURESTE,2023-11-19,1217,1204,13,0.98932
SI,SURESTE,2023-11-20,1173,1165,8,0.99318
SI,SURESTE,2023-11-21,1420,1404,16,0.98873
SI,SURESTE,2023-11-22,1408,1392,16,0.98864
SI,SURESTE,2023-11-23,1391,1377,14,0.98994
SI,SURESTE,2023-11-24,1350,1331,19,0.98593
SI,SURESTE,2023-11-25,1243,1228,15,0.98793
SI,SURESTE,2023-11-26,1083,1066,17,0.9843
SI,SURESTE,2023-11-27,1440,1423,17,0.98819
SI,SURESTE,2023-11-28,1410,1394,16,0.98865
SI,SURESTE,2023-11-29,1466,1450,16,0.98909
SI,SURESTE,2023-11-30,1407,1387,20,0.98579
SI,SURESTE,2023-12-01,1406,1354,52,0.96302
SI,SURESTE,2023-12-02,1322,1310,12,0.99092
SI,SURESTE,2023-12-03,1209,1200,9,0.99256
SI,SURESTE,2023-12-04,1430,1404,26,0.98182
SI,SURESTE,2023-12-05,1472,1451,21,0.98573
SI,SURESTE,2023-12-06,1414,1391,23,0.98373
SI,SURESTE,2023-12-07,1583,1568,15,0.99052
SI,SURESTE,2023-12-08,1529,1504,25,0.98365
SI,SURESTE,2023-12-09,1368,1345,23,0.98319
SI,SURESTE,2023-12-10,1126,1119,7,0.99378
SI,SURESTE,2023-12-11,1464,1431,33,0.97746
SI,SURESTE,2023-12-12,1482,1465,17,0.98853
SI,SURESTE,2023-12-13,1379,1342,37,0.97317
SI,SURESTE,2023-12-14,1302,1286,16,0.98771
SI,SURESTE,2023-12-15,1264,1242,22,0.98259
SI,SURESTE,2023-12-16,1357,1342,15,0.98895
SI,SURESTE,2023-12-17,1130,1111,19,0.98319
SI,SURESTE,2023-12-18,1357,1328,29,0.97863
SI,SURESTE,2023-12-19,1521,1489,32,0.97896
SI,SURESTE,2023-12-20,1201,1177,24,0.98002
SI,SURESTE,2023-12-21,1300,1284,16,0.98769
SI,SURESTE,2023-12-22,1367,1339,28,0.97952
SI,SURESTE,2023-12-23,1215,1188,27,0.97778
SI,SURESTE,2023-12-24,844,823,21,0.97512
SI,SURESTE,2023-12-25,430,424,6,0.98605
SI,SURESTE,2023-12-26,1255,1225,30,0.9761
SI,SURESTE,2023-12-27,1441,1418,23,0.98404
SI,SURESTE,2023-12-28,1292,1273,19,0.98529
SI,SURESTE,2023-12-29,1322,1302,20,0.98487
SI,SURESTE,2023-12-30,1232,1223,9,0.99269
SI,SURESTE,2023-12-31,551,540,11,0.98004
SI,SURESTE,2024-01-01,210,206,4,0.98095
SI,SURESTE,2024-01-02,1162,1134,28,0.9759
SI,SURESTE,2024-01-03,1402,1372,30,0.9786
SI,SURESTE,2024-01-04,1462,1434,28,0.98085
SI,SURESTE,2024-01-05,1369,1344,25,0.98174
SI,SURESTE,2024-01-06,1390,1373,17,0.98777
SI,SURESTE,2024-01-07,1045,1031,14,0.9866
SI,SURESTE,2024-01-08,1466,1448,18,0.98772
SI,SURESTE,2024-01-09,1459,1425,34,0.9767
SI,SURESTE,2024-01-10,1441,1366,75,0.94795
SI,SURESTE,2024-01-11,1452,1419,33,0.97727
SI,SURESTE,2024-01-12,1395,1354,41,0.97061
SI,SURESTE,2024-01-13,1370,1349,21,0.98467
SI,SURESTE,2024-01-14,1139,1119,20,0.98244
SI,SURESTE,2024-01-15,1304,1275,29,0.97776
SI,SURESTE,2024-01-16,1369,1322,47,0.96567
SI,SURESTE,2024-01-17,1448,1404,44,0.96961
SI,SURESTE,2024-01-18,2604,2565,39,0.98502
SI,SURESTE,2024-01-19,1397,1364,33,0.97638
SI,SURESTE,2024-01-20,1389,1353,36,0.97408
SI,SURESTE,2024-01-21,1124,1081,43,0.96174
SI,SURESTE,2024-01-22,1442,1398,44,0.96949
SI,SURESTE,2024-01-23,4114,4071,43,0.98955
SI,SURESTE,2024-01-24,1427,1384,43,0.96987
SI,SURESTE,2024-01-25,1464,1408,56,0.96175
SI,SURESTE,2024-01-26,1457,1419,38,0.97392
SI,SURESTE,2024-01-27,1377,1338,39,0.97168
SI,SURESTE,2024-01-28,1078,1060,18,0.9833
SI,SURESTE,2024-01-29,1445,1407,38,0.9737
SI,SURESTE,2024-01-30,1250,1214,36,0.9712
SI,SURESTE,2024-01-31,1298,1265,33,0.97458
SI,SURESTE,2024-02-01,1271,1238,33,0.97404
SI,SURESTE,2024-02-02,1201,1187,14,0.98834
SI,SURESTE,2024-02-03,1296,1274,22,0.98302
SI,SURESTE,2024-02-04,1137,1128,9,0.99208
SI,SURESTE,2024-02-05,1006,987,19,0.98111
SI,SURESTE,2024-02-06,1411,1385,26,0.98157
SI,SURESTE,2024-02-07,1378,1363,15,0.98911
SI,SURESTE,2024-02-08,1406,1387,19,0.98649
SI,SURESTE,2024-02-09,1395,1374,21,0.98495
SI,SURESTE,2024-02-10,1307,1291,16,0.98776
SI,SURESTE,2024-02-11,1122,1110,12,0.9893
SI,SURESTE,2024-02-12,1270,1244,26,0.97953
SI,SURESTE,2024-02-13,1312,1266,46,0.96494
SI,SURESTE,2024-02-14,1320,1295,25,0.98106
SI,SURESTE,2024-02-15,1369,1345,24,0.98247
SI,SURESTE,2024-02-16,1335,1301,34,0.97453
SI,SURESTE,2024-02-17,1338,1318,20,0.98505
SI,SURESTE,2024-02-18,952,944,8,0.9916
SI,SURESTE,2024-02-19,1287,1247,40,0.96892
SI,SURESTE,2024-02-20,1304,1278,26,0.98006
SI,SURESTE,2024-02-21,1385,1364,21,0.98484
SI,SURESTE,2024-02-22,1360,1340,20,0.98529
SI,SURESTE,2024-02-23,1141,1119,22,0.98072
SI,SURESTE,2024-02-24,1404,1375,29,0.97934
SI,SURESTE,2024-02-25,1077,1065,12,0.98886
SI,SURESTE,2024-02-26,1239,1216,23,0.98144
SI,SURESTE,2024-02-27,1389,1361,28,0.97984
SI,SURESTE,2024-02-28,1425,1396,29,0.97965
SI,SURESTE,2024-02-29,1431,1415,16,0.98882
SI,SURESTE,2024-03-01,1267,1243,24,0.98106
SI,SURESTE,2024-03-02,1223,1208,15,0.98774
SI,SURESTE,2024-03-03,985,972,13,0.9868
SI,SURESTE,2024-03-04,1259,1240,19,0.98491
SI,SURESTE,2024-03-05,1233,1211,22,0.98216
SI,SURESTE,2024-03-06,1321,1302,19,0.98562
SI,SURESTE,2024-03-07,1285,1261,24,0.98132
SI,SURESTE,2024-03-08,1306,1275,31,0.97626
SI,SURESTE,2024-03-09,1229,1210,19,0.98454
SI,SURESTE,2024-03-10,928,918,10,0.98922
SI,SURESTE,2024-03-11,1277,1263,14,0.98904
SI,SURESTE,2024-03-12,1252,1233,19,0.98482
SI,SURESTE,2024-03-13,1281,1259,22,0.98283
SI,SURESTE,2024-03-14,1345,1323,22,0.98364
SI,SURESTE,2024-03-15,1272,1246,26,0.97956
SI,SURESTE,2024-03-16,1146,1135,11,0.9904
SI,SURESTE,2024-03-17,912,904,8,0.99123
SI,SURESTE,2024-03-18,941,930,11,0.98831
SI,SURESTE,2024-03-19,1280,1256,24,0.98125
SI,SURESTE,2024-03-20,1138,1122,16,0.98594
SI,SURESTE,2024-03-21,1199,1182,17,0.98582
SI,SURESTE,2024-03-22,1111,1089,22,0.9802
SI,SURESTE,2024-03-23,1125,1107,18,0.984
SI,SURESTE,2024-03-24,861,852,9,0.98955
SI,SURESTE,2024-03-25,1226,1206,20,0.98369
SI,SURESTE,2024-03-26,1250,1220,30,0.976
SI,SURESTE,2024-03-27,1190,1175,15,0.98739
SI,SURESTE,2024-03-28,1154,1136,18,0.9844
SI,SURESTE,2024-03-29,1008,987,21,0.97917
SI,SURESTE,2024-03-30,1041,1029,12,0.98847
SI,SURESTE,2024-03-31,712,704,8,0.98876
SI,SURESTE,2024-04-01,1130,1104,26,0.97699
SI,SURESTE,2024-04-02,1331,1285,46,0.96544
SI,SURESTE,2024-04-03,1269,1215,54,0.95745
SI,SURESTE,2024-04-04,1216,1177,39,0.96793
SI,SURESTE,2024-04-05,1214,1178,36,0.97035
SI,SURESTE,2024-04-06,1169,1131,38,0.96749
SI,SURESTE,2024-04-07,914,889,25,0.97265
SI,SURESTE,2024-04-08,1282,1242,40,0.9688
SI,SURESTE,2024-04-09,1251,1195,56,0.95524
SI,SURESTE,2024-04-10,1261,1191,70,0.94449
SI,SURESTE,2024-04-11,1171,1148,23,0.98036
SI,SURESTE,2024-04-12,1141,1123,18,0.98422
SI,SURESTE,2024-04-13,1159,1146,13,0.98878
SI,SURESTE,2024-04-14,823,809,14,0.98299
SI,SURESTE,2024-04-15,1169,1152,17,0.98546
SI,SURESTE,2024-04-16,1131,1106,25,0.9779
SI,SURESTE,2024-04-17,1252,1231,21,0.98323
SI,SURESTE,2024-04-18,1146,1127,19,0.98342
SI,SURESTE,2024-04-19,1174,1139,35,0.97019
SI,SURESTE,2024-04-20,1189,1153,36,0.96972
SI,SURESTE,2024-04-21,810,787,23,0.9716
SI,SURESTE,2024-04-22,966,946,20,0.9793
SI,SURESTE,2024-04-23,1238,1183,55,0.95557
SI,SURESTE,2024-04-24,1153,1128,25,0.97832
SI,SURESTE,2024-04-25,1196,1161,35,0.97074
SI,SURESTE,2024-04-26,1232,1205,27,0.97808
SI,SURESTE,2024-04-27,1106,1064,42,0.96203
SI,SURESTE,2024-04-28,947,904,43,0.95459
SI,SURESTE,2024-04-29,1171,1140,31,0.97353
SI,SURESTE,2024-04-30,1235,1206,29,0.97652
SI,SURESTE,2024-05-01,923,906,17,0.98158
SI,SURESTE,2024-05-02,1300,1249,51,0.96077
SI,SURESTE,2024-05-03,1204,1171,33,0.97259
SI,SURESTE,2024-05-04,1146,1121,25,0.97818
SI,SURESTE,2024-05-05,906,882,24,0.97351
SI,SURESTE,2024-05-06,1127,1095,32,0.97161
SI,SURESTE,2024-05-07,1237,1198,39,0.96847
SI,SURESTE,2024-05-08,1275,1204,71,0.94431
SI,SURESTE,2024-05-09,1166,1129,37,0.96827
SI,SURESTE,2024-05-10,1176,1133,43,0.96344
SI,SURESTE,2024-05-11,1121,1093,28,0.97502
SI,SURESTE,2024-05-12,748,727,21,0.97193
SI,SURESTE,2024-05-13,1191,1143,48,0.9597
SI,SURESTE,2024-05-14,1211,1153,58,0.95211
SI,SURESTE,2024-05-15,1237,1196,41,0.96686
SI,SURESTE,2024-05-16,1244,1206,38,0.96945
SI,SURESTE,2024-05-17,1225,1185,40,0.96735
SI,SURESTE,2024-05-18,1177,1144,33,0.97196
SI,SURESTE,2024-05-19,1020,987,33,0.96765
SI,SURESTE,2024-05-20,1257,1226,31,0.97534
SI,SURESTE,2024-05-21,1262,1223,39,0.9691
SI,SURESTE,2024-05-22,1248,1218,30,0.97596
SI,SURESTE,2024-05-23,1286,1245,41,0.96812
SI,SURESTE,2024-05-24,1251,1223,28,0.97762
SI,SURESTE,2024-05-25,1158,1130,28,0.97582
SI,SURESTE,2024-05-26,871,845,26,0.97015
SI,SURESTE,2024-05-27,1136,1105,31,0.97271
SI,SURESTE,2024-05-28,1221,1160,61,0.95004
SI,SURESTE,2024-05-29,1146,1100,46,0.95986
SI,SURESTE,2024-05-30,1182,1152,30,0.97462
SI,SURESTE,2024-05-31,1162,1127,35,0.96988
SI,SURESTE,2024-06-01,1200,1176,24,0.98
SI,SURESTE,2024-06-02,731,713,18,0.97538
SI,SURESTE,2024-06-03,1114,1089,25,0.97756
SI,SURESTE,2024-06-05,1167,1123,44,0.9623
SI,SURESTE,2024-06-06,1246,1200,46,0.96308
SI,SURESTE,2024-06-07,1210,1169,41,0.96612
SI,SURESTE,2024-06-08,1154,1126,28,0.97574
SI,SURESTE,2024-06-09,897,883,14,0.98439
SI,SURESTE,2024-06-10,1109,1081,28,0.97475
SI,SURESTE,2024-06-11,1231,1191,40,0.96751
SI,SURESTE,2024-06-12,1160,1112,48,0.95862
SI,SURESTE,2024-06-13,1191,1122,69,0.94207
SI,SURESTE,2024-06-14,1150,1094,56,0.9513
SI,SURESTE,2024-06-15,1092,1054,38,0.9652
SI,SURESTE,2024-06-16,864,839,25,0.97106
SI,SURESTE,2024-06-17,1195,1149,46,0.96151
SI,SURESTE,2024-06-18,1241,1171,70,0.94359
SI,SURESTE,2024-06-19,1253,1189,64,0.94892
SI,SURESTE,2024-06-20,1239,1188,51,0.95884
SI,SURESTE,2024-06-21,1241,1197,44,0.96454
SI,SURESTE,2024-06-22,1192,1150,42,0.96477
SI,SURESTE,2024-06-23,1024,984,40,0.96094
SI,SURESTE,2024-06-24,1233,1176,57,0.95377
SI,SURESTE,2024-06-25,1237,1198,39,0.96847
SI,SURESTE,2024-06-26,1363,1295,68,0.95011
SI,SURESTE,2024-06-27,1307,1248,59,0.95486
SI,SURESTE,2024-06-28,1288,1198,90,0.93012
SI,SURESTE,2024-06-29,1127,1081,46,0.95918
SI,SURESTE,2024-06-30,1065,982,83,0.92207
SI,SURESTE,2024-07-01,1195,1114,81,0.93222
SI,SURESTE,2024-07-02,1193,1129,64,0.94635
SI,SURESTE,2024-07-03,1152,1078,74,0.93576
SI,SURESTE,2024-07-04,989,933,56,0.94338
SI,SURESTE,2024-07-05,568,554,14,0.97535
SI,SURESTE,2024-07-06,1292,1137,155,0.88003
SI,SURESTE,2024-07-07,1239,1004,235,0.81033
SI,SURESTE,2024-07-08,1443,1131,312,0.78378
SI,SURESTE,2024-07-09,1536,1155,381,0.75195
SI,SURESTE,2024-07-10,1529,1176,353,0.76913
SI,SURESTE,2024-07-11,1230,1025,205,0.83333
SI,SURESTE,2024-07-12,1190,976,214,0.82017
SI,SURESTE,2024-07-13,1090,927,163,0.85046
SI,SURESTE,2024-07-14,965,879,86,0.91088
SI,SURESTE,2024-07-15,1237,1030,207,0.83266
SI,SURESTE,2024-07-16,1188,1033,155,0.86953
SI,SURESTE,2024-07-17,1328,1151,177,0.86672
SI,SURESTE,2024-07-18,1349,1142,207,0.84655
SI,SURESTE,2024-07-19,1230,1033,197,0.83984
SI,SURESTE,2024-07-20,1194,983,211,0.82328
SI,SURESTE,2024-07-21,1017,831,186,0.81711
