DESPACHO CENTRALIZADO,PLAZA,FechaF,Asignaciones_totales,Asignaciones_automaticas,Asignaciones_manuales,PorcAA
SI,COLIMA / MANZANILLO,2023-02-28,54,48,6,0.88889
SI,COLIMA / MANZANILLO,2023-03-01,41,39,2,0.95122
SI,COLIMA / MANZANILLO,2023-03-02,53,48,5,0.90566
SI,COLIMA / MANZANILLO,2023-03-03,46,46,0,1
SI,COLIMA / MANZANILLO,2023-03-04,50,43,7,0.86
SI,COLIMA / MANZANILLO,2023-03-05,45,39,6,0.86667
SI,COLIMA / MANZANILLO,2023-03-06,45,37,8,0.82222
SI,COLIMA / MANZANILLO,2023-03-07,43,37,6,0.86047
SI,COLIMA / MANZANILLO,2023-03-08,46,43,3,0.93478
SI,COLIMA / MANZANILLO,2023-03-09,56,50,6,0.89286
SI,COLIMA / MANZANILLO,2023-03-10,47,40,7,0.85106
SI,COLIMA / MANZANILLO,2023-03-11,60,59,1,0.98333
SI,COLIMA / MANZANILLO,2023-03-12,54,50,4,0.92593
SI,COLIMA / MANZANILLO,2023-03-13,58,55,3,0.94828
SI,COLIMA / MANZANILLO,2023-03-14,43,40,3,0.93023
SI,COLIMA / MANZANILLO,2023-03-15,53,51,2,0.96226
SI,COLIMA / MANZANILLO,2023-03-16,50,48,2,0.96
SI,COLIMA / MANZANILLO,2023-03-17,54,54,0,1
SI,COLIMA / MANZANILLO,2023-03-18,54,54,0,1
SI,COLIMA / MANZANILLO,2023-03-19,52,52,0,1
SI,COLIMA / MANZANILLO,2023-03-20,56,55,1,0.98214
SI,COLIMA / MANZANILLO,2023-03-21,57,57,0,1
SI,COLIMA / MANZANILLO,2023-03-22,30,30,0,1
SI,COLIMA / MANZANILLO,2023-03-23,47,47,0,1
SI,COLIMA / MANZANILLO,2023-03-24,54,54,0,1
SI,COLIMA / MANZANILLO,2023-03-25,56,54,2,0.96429
SI,COLIMA / MANZANILLO,2023-03-26,58,58,0,1
SI,COLIMA / MANZANILLO,2023-03-27,57,57,0,1
SI,COLIMA / MANZANILLO,2023-03-28,75,75,0,1
SI,COLIMA / MANZANILLO,2023-03-29,69,69,0,1
SI,COLIMA / MANZANILLO,2023-03-30,54,53,1,0.98148
SI,COLIMA / MANZANILLO,2023-03-31,49,49,0,1
SI,COLIMA / MANZANILLO,2023-04-01,62,61,1,0.98387
SI,COLIMA / MANZANILLO,2023-04-02,44,43,1,0.97727
SI,COLIMA / MANZANILLO,2023-04-03,49,48,1,0.97959
SI,COLIMA / MANZANILLO,2023-04-04,55,54,1,0.98182
SI,COLIMA / MANZANILLO,2023-04-05,52,51,1,0.98077
SI,COLIMA / MANZANILLO,2023-04-06,47,47,0,1
SI,COLIMA / MANZANILLO,2023-04-07,43,42,1,0.97674
SI,COLIMA / MANZANILLO,2023-04-08,30,29,1,0.96667
SI,COLIMA / MANZANILLO,2023-04-09,23,22,1,0.95652
SI,COLIMA / MANZANILLO,2023-04-10,40,39,1,0.975
SI,COLIMA / MANZANILLO,2023-04-11,51,51,0,1
SI,COLIMA / MANZANILLO,2023-04-12,57,55,2,0.96491
SI,COLIMA / MANZANILLO,2023-04-13,50,50,0,1
SI,COLIMA / MANZANILLO,2023-04-14,49,49,0,1
SI,COLIMA / MANZANILLO,2023-04-15,53,52,1,0.98113
SI,COLIMA / MANZANILLO,2023-04-16,39,39,0,1
SI,COLIMA / MANZANILLO,2023-04-17,49,49,0,1
SI,COLIMA / MANZANILLO,2023-04-18,61,61,0,1
SI,COLIMA / MANZANILLO,2023-04-19,53,53,0,1
SI,COLIMA / MANZANILLO,2023-04-20,51,51,0,1
SI,COLIMA / MANZANILLO,2023-04-21,42,41,1,0.97619
SI,COLIMA / MANZANILLO,2023-04-22,51,51,0,1
SI,COLIMA / MANZANILLO,2023-04-23,37,37,0,1
SI,COLIMA / MANZANILLO,2023-04-24,53,53,0,1
SI,COLIMA / MANZANILLO,2023-04-25,49,49,0,1
SI,COLIMA / MANZANILLO,2023-04-26,64,64,0,1
SI,COLIMA / MANZANILLO,2023-04-27,62,62,0,1
SI,COLIMA / MANZANILLO,2023-04-28,53,53,0,1
SI,COLIMA / MANZANILLO,2023-04-29,57,57,0,1
SI,COLIMA / MANZANILLO,2023-04-30,45,45,0,1
SI,COLIMA / MANZANILLO,2023-05-01,45,44,1,0.97778
SI,COLIMA / MANZANILLO,2023-05-02,51,51,0,1
SI,COLIMA / MANZANILLO,2023-05-03,48,48,0,1
SI,COLIMA / MANZANILLO,2023-05-04,60,60,0,1
SI,COLIMA / MANZANILLO,2023-05-05,45,45,0,1
SI,COLIMA / MANZANILLO,2023-05-06,54,54,0,1
SI,COLIMA / MANZANILLO,2023-05-07,36,36,0,1
SI,COLIMA / MANZANILLO,2023-05-08,38,38,0,1
SI,COLIMA / MANZANILLO,2023-05-09,40,38,2,0.95
SI,COLIMA / MANZANILLO,2023-05-10,45,45,0,1
SI,COLIMA / MANZANILLO,2023-05-11,54,53,1,0.98148
SI,COLIMA / MANZANILLO,2023-05-12,50,50,0,1
SI,COLIMA / MANZANILLO,2023-05-13,45,45,0,1
SI,COLIMA / MANZANILLO,2023-05-14,50,49,1,0.98
SI,COLIMA / MANZANILLO,2023-05-15,41,41,0,1
SI,COLIMA / MANZANILLO,2023-05-16,54,54,0,1
SI,CORDOBA / ORIZABA,2023-01-01,29,29,0,1
SI,CORDOBA / ORIZABA,2023-01-02,111,103,8,0.92793
SI,CORDOBA / ORIZABA,2023-01-03,141,120,21,0.85106
SI,CORDOBA / ORIZABA,2023-01-04,113,97,16,0.85841
SI,CORDOBA / ORIZABA,2023-01-05,109,91,18,0.83486
SI,CORDOBA / ORIZABA,2023-01-06,97,78,19,0.80412
SI,CORDOBA / ORIZABA,2023-01-07,100,83,17,0.83
SI,CORDOBA / ORIZABA,2023-01-08,78,73,5,0.9359
SI,CORDOBA / ORIZABA,2023-01-09,136,119,17,0.875
SI,CORDOBA / ORIZABA,2023-01-10,126,110,16,0.87302
SI,CORDOBA / ORIZABA,2023-01-11,117,112,5,0.95726
SI,CORDOBA / ORIZABA,2023-01-12,108,103,5,0.9537
SI,CORDOBA / ORIZABA,2023-01-13,101,90,11,0.89109
SI,CORDOBA / ORIZABA,2023-01-14,97,97,0,1
SI,CORDOBA / ORIZABA,2023-01-15,100,91,9,0.91
SI,CORDOBA / ORIZABA,2023-01-16,121,98,23,0.80992
SI,CORDOBA / ORIZABA,2023-01-17,100,85,15,0.85
SI,CORDOBA / ORIZABA,2023-01-18,125,101,24,0.808
SI,CORDOBA / ORIZABA,2023-01-19,101,85,16,0.84158
SI,CORDOBA / ORIZABA,2023-01-20,82,61,21,0.7439
SI,CORDOBA / ORIZABA,2023-01-21,124,104,20,0.83871
SI,CORDOBA / ORIZABA,2023-01-22,89,81,8,0.91011
SI,CORDOBA / ORIZABA,2023-01-23,124,116,8,0.93548
SI,CORDOBA / ORIZABA,2023-01-24,122,112,10,0.91803
SI,CORDOBA / ORIZABA,2023-01-25,104,94,10,0.90385
SI,CORDOBA / ORIZABA,2023-01-26,116,79,37,0.68103
SI,CORDOBA / ORIZABA,2023-01-27,95,84,11,0.88421
SI,CORDOBA / ORIZABA,2023-01-28,128,98,30,0.76562
SI,CORDOBA / ORIZABA,2023-01-29,79,75,4,0.94937
SI,CORDOBA / ORIZABA,2023-01-30,130,111,19,0.85385
SI,CORDOBA / ORIZABA,2023-01-31,119,86,33,0.72269
SI,CORDOBA / ORIZABA,2023-02-01,117,105,12,0.89744
SI,CORDOBA / ORIZABA,2023-02-02,112,92,20,0.82143
SI,CORDOBA / ORIZABA,2023-02-03,100,86,14,0.86
SI,CORDOBA / ORIZABA,2023-02-04,115,96,19,0.83478
SI,CORDOBA / ORIZABA,2023-02-05,77,71,6,0.92208
SI,CORDOBA / ORIZABA,2023-02-06,120,95,25,0.79167
SI,CORDOBA / ORIZABA,2023-02-07,122,101,21,0.82787
SI,CORDOBA / ORIZABA,2023-02-08,103,76,27,0.73786
SI,CORDOBA / ORIZABA,2023-02-09,108,84,24,0.77778
SI,CORDOBA / ORIZABA,2023-02-10,101,89,12,0.88119
SI,CORDOBA / ORIZABA,2023-02-11,105,78,27,0.74286
SI,CORDOBA / ORIZABA,2023-02-12,76,68,8,0.89474
SI,CORDOBA / ORIZABA,2023-02-13,109,93,16,0.85321
SI,CORDOBA / ORIZABA,2023-02-14,127,89,38,0.70079
SI,CORDOBA / ORIZABA,2023-02-15,110,92,18,0.83636
SI,CORDOBA / ORIZABA,2023-02-16,104,79,25,0.75962
SI,CORDOBA / ORIZABA,2023-02-17,107,96,11,0.8972
SI,CORDOBA / ORIZABA,2023-02-18,125,100,25,0.8
SI,CORDOBA / ORIZABA,2023-02-19,78,68,10,0.87179
SI,CORDOBA / ORIZABA,2023-02-20,128,100,28,0.78125
SI,CORDOBA / ORIZABA,2023-02-21,109,88,21,0.80734
SI,CORDOBA / ORIZABA,2023-02-22,117,90,27,0.76923
SI,CORDOBA / ORIZABA,2023-02-23,106,85,21,0.80189
SI,CORDOBA / ORIZABA,2023-02-24,103,87,16,0.84466
SI,CORDOBA / ORIZABA,2023-02-25,101,85,16,0.84158
SI,CORDOBA / ORIZABA,2023-02-26,71,65,6,0.91549
SI,CORDOBA / ORIZABA,2023-02-27,122,96,26,0.78689
SI,CORDOBA / ORIZABA,2023-02-28,98,84,14,0.85714
SI,CORDOBA / ORIZABA,2023-03-01,112,93,19,0.83036
SI,CORDOBA / ORIZABA,2023-03-02,101,84,17,0.83168
SI,CORDOBA / ORIZABA,2023-03-03,98,87,11,0.88776
SI,CORDOBA / ORIZABA,2023-03-04,102,81,21,0.79412
SI,CORDOBA / ORIZABA,2023-03-05,77,60,17,0.77922
SI,CORDOBA / ORIZABA,2023-03-06,100,85,15,0.85
SI,CORDOBA / ORIZABA,2023-03-07,109,96,13,0.88073
SI,CORDOBA / ORIZABA,2023-03-08,113,100,13,0.88496
SI,CORDOBA / ORIZABA,2023-03-09,102,86,16,0.84314
SI,CORDOBA / ORIZABA,2023-03-10,109,102,7,0.93578
SI,CORDOBA / ORIZABA,2023-03-11,121,113,8,0.93388
SI,CORDOBA / ORIZABA,2023-03-12,83,78,5,0.93976
SI,CORDOBA / ORIZABA,2023-03-13,140,126,14,0.9
SI,CORDOBA / ORIZABA,2023-03-14,127,118,9,0.92913
SI,CORDOBA / ORIZABA,2023-03-15,91,74,17,0.81319
SI,CORDOBA / ORIZABA,2023-03-16,102,101,1,0.9902
SI,CORDOBA / ORIZABA,2023-03-17,94,93,1,0.98936
SI,CORDOBA / ORIZABA,2023-03-18,113,109,4,0.9646
SI,CORDOBA / ORIZABA,2023-03-19,68,64,4,0.94118
SI,CORDOBA / ORIZABA,2023-03-20,110,105,5,0.95455
SI,CORDOBA / ORIZABA,2023-03-21,134,131,3,0.97761
SI,CORDOBA / ORIZABA,2023-03-22,130,128,2,0.98462
SI,CORDOBA / ORIZABA,2023-03-23,111,105,6,0.94595
SI,CORDOBA / ORIZABA,2023-03-24,119,117,2,0.98319
SI,CORDOBA / ORIZABA,2023-03-25,139,137,2,0.98561
SI,CORDOBA / ORIZABA,2023-03-26,78,77,1,0.98718
SI,CORDOBA / ORIZABA,2023-03-27,121,119,2,0.98347
SI,CORDOBA / ORIZABA,2023-03-28,105,101,4,0.9619
SI,CORDOBA / ORIZABA,2023-03-29,90,88,2,0.97778
SI,CORDOBA / ORIZABA,2023-03-30,88,86,2,0.97727
SI,CORDOBA / ORIZABA,2023-03-31,102,96,6,0.94118
SI,CORDOBA / ORIZABA,2023-04-01,97,91,6,0.93814
SI,CORDOBA / ORIZABA,2023-04-02,90,83,7,0.92222
SI,CORDOBA / ORIZABA,2023-04-03,113,112,1,0.99115
SI,CORDOBA / ORIZABA,2023-04-04,122,113,9,0.92623
SI,CORDOBA / ORIZABA,2023-04-05,104,102,2,0.98077
SI,CORDOBA / ORIZABA,2023-04-06,69,66,3,0.95652
SI,CORDOBA / ORIZABA,2023-04-07,75,74,1,0.98667
SI,CORDOBA / ORIZABA,2023-04-08,73,72,1,0.9863
SI,CORDOBA / ORIZABA,2023-04-09,59,57,2,0.9661
SI,CORDOBA / ORIZABA,2023-04-10,95,95,0,1
SI,CORDOBA / ORIZABA,2023-04-11,101,100,1,0.9901
SI,CORDOBA / ORIZABA,2023-04-12,105,104,1,0.99048
SI,CORDOBA / ORIZABA,2023-04-13,111,110,1,0.99099
SI,CORDOBA / ORIZABA,2023-04-14,110,103,7,0.93636
SI,CORDOBA / ORIZABA,2023-04-15,112,109,3,0.97321
SI,CORDOBA / ORIZABA,2023-04-16,72,67,5,0.93056
SI,CORDOBA / ORIZABA,2023-04-17,110,108,2,0.98182
SI,CORDOBA / ORIZABA,2023-04-18,134,132,2,0.98507
SI,CORDOBA / ORIZABA,2023-04-19,108,108,0,1
SI,CORDOBA / ORIZABA,2023-04-20,73,72,1,0.9863
SI,CORDOBA / ORIZABA,2023-04-21,83,81,2,0.9759
SI,CORDOBA / ORIZABA,2023-04-22,112,108,4,0.96429
SI,CORDOBA / ORIZABA,2023-04-23,100,98,2,0.98
SI,CORDOBA / ORIZABA,2023-04-24,133,132,1,0.99248
SI,CORDOBA / ORIZABA,2023-04-25,121,111,10,0.91736
SI,CORDOBA / ORIZABA,2023-04-26,110,106,4,0.96364
SI,CORDOBA / ORIZABA,2023-04-27,108,108,0,1
SI,CORDOBA / ORIZABA,2023-04-28,97,97,0,1
SI,CORDOBA / ORIZABA,2023-04-29,95,93,2,0.97895
SI,CORDOBA / ORIZABA,2023-04-30,99,97,2,0.9798
SI,CORDOBA / ORIZABA,2023-05-01,91,91,0,1
SI,CORDOBA / ORIZABA,2023-05-02,130,129,1,0.99231
SI,CORDOBA / ORIZABA,2023-05-03,111,109,2,0.98198
SI,CORDOBA / ORIZABA,2023-05-04,113,113,0,1
SI,CORDOBA / ORIZABA,2023-05-05,107,106,1,0.99065
SI,CORDOBA / ORIZABA,2023-05-06,98,97,1,0.9898
SI,CORDOBA / ORIZABA,2023-05-07,62,62,0,1
SI,CORDOBA / ORIZABA,2023-05-08,81,79,2,0.97531
SI,CORDOBA / ORIZABA,2023-05-09,86,85,1,0.98837
SI,CORDOBA / ORIZABA,2023-05-10,76,75,1,0.98684
SI,CORDOBA / ORIZABA,2023-05-11,93,90,3,0.96774
SI,CORDOBA / ORIZABA,2023-05-12,84,84,0,1
SI,CORDOBA / ORIZABA,2023-05-13,97,96,1,0.98969
SI,CORDOBA / ORIZABA,2023-05-14,76,74,2,0.97368
SI,CORDOBA / ORIZABA,2023-05-15,116,114,2,0.98276
SI,CORDOBA / ORIZABA,2023-05-16,112,112,0,1
SI,CUERNAVACA,2023-01-01,51,44,7,0.86275
SI,CUERNAVACA,2023-01-02,158,144,14,0.91139
SI,CUERNAVACA,2023-01-03,186,164,22,0.88172
SI,CUERNAVACA,2023-01-04,179,154,25,0.86034
SI,CUERNAVACA,2023-01-05,214,191,23,0.89252
SI,CUERNAVACA,2023-01-06,204,178,26,0.87255
SI,CUERNAVACA,2023-01-07,182,147,35,0.80769
SI,CUERNAVACA,2023-01-08,156,145,11,0.92949
SI,CUERNAVACA,2023-01-09,190,170,20,0.89474
SI,CUERNAVACA,2023-01-10,200,191,9,0.955
SI,CUERNAVACA,2023-01-11,230,205,25,0.8913
SI,CUERNAVACA,2023-01-12,213,193,20,0.9061
SI,CUERNAVACA,2023-01-13,208,199,9,0.95673
SI,CUERNAVACA,2023-01-14,201,178,23,0.88557
SI,CUERNAVACA,2023-01-15,166,148,18,0.89157
SI,CUERNAVACA,2023-01-16,190,168,22,0.88421
SI,CUERNAVACA,2023-01-17,190,158,32,0.83158
SI,CUERNAVACA,2023-01-18,184,147,37,0.79891
SI,CUERNAVACA,2023-01-19,177,151,26,0.85311
SI,CUERNAVACA,2023-01-20,178,156,22,0.8764
SI,CUERNAVACA,2023-01-21,199,167,32,0.8392
SI,CUERNAVACA,2023-01-22,168,143,25,0.85119
SI,CUERNAVACA,2023-01-23,205,176,29,0.85854
SI,CUERNAVACA,2023-01-24,197,171,26,0.86802
SI,CUERNAVACA,2023-01-25,199,167,32,0.8392
SI,CUERNAVACA,2023-01-26,206,181,25,0.87864
SI,CUERNAVACA,2023-01-27,187,154,33,0.82353
SI,CUERNAVACA,2023-01-28,193,148,45,0.76684
SI,CUERNAVACA,2023-01-29,172,154,18,0.89535
SI,CUERNAVACA,2023-01-30,204,164,40,0.80392
SI,CUERNAVACA,2023-01-31,186,148,38,0.7957
SI,CUERNAVACA,2023-02-01,179,139,40,0.77654
SI,CUERNAVACA,2023-02-02,184,130,54,0.70652
SI,CUERNAVACA,2023-02-03,208,168,40,0.80769
SI,CUERNAVACA,2023-02-04,198,156,42,0.78788
SI,CUERNAVACA,2023-02-05,156,126,30,0.80769
SI,CUERNAVACA,2023-02-06,173,144,29,0.83237
SI,CUERNAVACA,2023-02-07,191,151,40,0.79058
SI,CUERNAVACA,2023-02-08,210,167,43,0.79524
SI,CUERNAVACA,2023-02-09,205,160,45,0.78049
SI,CUERNAVACA,2023-02-10,218,166,52,0.76147
SI,CUERNAVACA,2023-02-11,189,152,37,0.80423
SI,CUERNAVACA,2023-02-12,168,132,36,0.78571
SI,CUERNAVACA,2023-02-13,195,142,53,0.72821
SI,CUERNAVACA,2023-02-14,191,132,59,0.6911
SI,CUERNAVACA,2023-02-15,194,139,55,0.71649
SI,CUERNAVACA,2023-02-16,181,143,38,0.79006
SI,CUERNAVACA,2023-02-17,189,157,32,0.83069
SI,CUERNAVACA,2023-02-18,202,166,36,0.82178
SI,CUERNAVACA,2023-02-19,174,143,31,0.82184
SI,CUERNAVACA,2023-02-20,206,159,47,0.77184
SI,CUERNAVACA,2023-02-21,209,157,52,0.7512
SI,CUERNAVACA,2023-02-22,210,146,64,0.69524
SI,CUERNAVACA,2023-02-23,208,176,32,0.84615
SI,CUERNAVACA,2023-02-24,210,186,24,0.88571
SI,CUERNAVACA,2023-02-25,207,187,20,0.90338
SI,CUERNAVACA,2023-02-26,176,139,37,0.78977
SI,CUERNAVACA,2023-02-27,193,163,30,0.84456
SI,CUERNAVACA,2023-02-28,192,167,25,0.86979
SI,CUERNAVACA,2023-03-01,191,164,27,0.85864
SI,CUERNAVACA,2023-03-02,208,178,30,0.85577
SI,CUERNAVACA,2023-03-03,184,178,6,0.96739
SI,CUERNAVACA,2023-03-04,185,181,4,0.97838
SI,CUERNAVACA,2023-03-05,121,102,19,0.84298
SI,CUERNAVACA,2023-03-06,199,190,9,0.95477
SI,CUERNAVACA,2023-03-07,197,194,3,0.98477
SI,CUERNAVACA,2023-03-08,180,176,4,0.97778
SI,CUERNAVACA,2023-03-09,190,189,1,0.99474
SI,CUERNAVACA,2023-03-10,193,188,5,0.97409
SI,CUERNAVACA,2023-03-11,175,173,2,0.98857
SI,CUERNAVACA,2023-03-12,137,121,16,0.88321
SI,CUERNAVACA,2023-03-13,179,168,11,0.93855
SI,CUERNAVACA,2023-03-14,189,186,3,0.98413
SI,CUERNAVACA,2023-03-15,160,159,1,0.99375
SI,CUERNAVACA,2023-03-16,180,178,2,0.98889
SI,CUERNAVACA,2023-03-17,166,165,1,0.99398
SI,CUERNAVACA,2023-03-18,188,182,6,0.96809
SI,CUERNAVACA,2023-03-19,145,143,2,0.98621
SI,CUERNAVACA,2023-03-20,192,186,6,0.96875
SI,CUERNAVACA,2023-03-21,200,196,4,0.98
SI,CUERNAVACA,2023-03-22,177,174,3,0.98305
SI,CUERNAVACA,2023-03-23,179,170,9,0.94972
SI,CUERNAVACA,2023-03-24,194,192,2,0.98969
SI,CUERNAVACA,2023-03-25,171,168,3,0.98246
SI,CUERNAVACA,2023-03-26,172,163,9,0.94767
SI,CUERNAVACA,2023-03-27,182,177,5,0.97253
SI,CUERNAVACA,2023-03-28,184,182,2,0.98913
SI,CUERNAVACA,2023-03-29,195,190,5,0.97436
SI,CUERNAVACA,2023-03-30,196,194,2,0.9898
SI,CUERNAVACA,2023-03-31,180,174,6,0.96667
SI,CUERNAVACA,2023-04-01,152,141,11,0.92763
SI,CUERNAVACA,2023-04-02,153,142,11,0.9281
SI,CUERNAVACA,2023-04-03,175,168,7,0.96
SI,CUERNAVACA,2023-04-04,187,178,9,0.95187
SI,CUERNAVACA,2023-04-05,175,164,11,0.93714
SI,CUERNAVACA,2023-04-06,214,204,10,0.95327
SI,CUERNAVACA,2023-04-07,214,209,5,0.97664
SI,CUERNAVACA,2023-04-08,192,189,3,0.98438
SI,CUERNAVACA,2023-04-09,163,156,7,0.95706
SI,CUERNAVACA,2023-04-10,220,218,2,0.99091
SI,CUERNAVACA,2023-04-11,201,198,3,0.98507
SI,CUERNAVACA,2023-04-12,197,191,6,0.96954
SI,CUERNAVACA,2023-04-13,205,200,5,0.97561
SI,CUERNAVACA,2023-04-14,200,194,6,0.97
SI,CUERNAVACA,2023-04-15,145,133,12,0.91724
SI,CUERNAVACA,2023-04-16,159,150,9,0.9434
SI,CUERNAVACA,2023-04-17,179,174,5,0.97207
SI,CUERNAVACA,2023-04-18,194,188,6,0.96907
SI,CUERNAVACA,2023-04-19,197,191,6,0.96954
SI,CUERNAVACA,2023-04-20,148,142,6,0.95946
SI,CUERNAVACA,2023-04-21,158,152,6,0.96203
SI,CUERNAVACA,2023-04-22,156,152,4,0.97436
SI,CUERNAVACA,2023-04-23,144,141,3,0.97917
SI,CUERNAVACA,2023-04-24,211,202,9,0.95735
SI,CUERNAVACA,2023-04-25,208,201,7,0.96635
SI,CUERNAVACA,2023-04-26,190,185,5,0.97368
SI,CUERNAVACA,2023-04-27,194,194,0,1
SI,CUERNAVACA,2023-04-28,181,179,2,0.98895
SI,CUERNAVACA,2023-04-29,190,184,6,0.96842
SI,CUERNAVACA,2023-04-30,147,143,4,0.97279
SI,CUERNAVACA,2023-05-01,180,176,4,0.97778
SI,CUERNAVACA,2023-05-02,191,184,7,0.96335
SI,CUERNAVACA,2023-05-03,203,201,2,0.99015
SI,CUERNAVACA,2023-05-04,201,192,9,0.95522
SI,CUERNAVACA,2023-05-05,210,207,3,0.98571
SI,CUERNAVACA,2023-05-06,179,177,2,0.98883
SI,CUERNAVACA,2023-05-07,182,176,6,0.96703
SI,CUERNAVACA,2023-05-08,199,195,4,0.9799
SI,CUERNAVACA,2023-05-09,183,179,4,0.97814
SI,CUERNAVACA,2023-05-10,174,169,5,0.97126
SI,CUERNAVACA,2023-05-11,188,180,8,0.95745
SI,CUERNAVACA,2023-05-12,212,206,6,0.9717
SI,CUERNAVACA,2023-05-13,189,180,9,0.95238
SI,CUERNAVACA,2023-05-14,171,158,13,0.92398
SI,CUERNAVACA,2023-05-15,200,192,8,0.96
SI,CUERNAVACA,2023-05-16,218,211,7,0.96789
SI,CULIACAN,2023-01-01,22,16,6,0.72727
SI,CULIACAN,2023-01-02,130,111,19,0.85385
SI,CULIACAN,2023-01-03,133,101,32,0.7594
SI,CULIACAN,2023-01-04,145,119,26,0.82069
SI,CULIACAN,2023-01-05,4,2,2,0.5
SI,CULIACAN,2023-01-06,72,56,16,0.77778
SI,CULIACAN,2023-01-07,142,121,21,0.85211
SI,CULIACAN,2023-01-08,98,80,18,0.81633
SI,CULIACAN,2023-01-09,147,127,20,0.86395
SI,CULIACAN,2023-01-10,166,144,22,0.86747
SI,CULIACAN,2023-01-11,140,110,30,0.78571
SI,CULIACAN,2023-01-12,153,121,32,0.79085
SI,CULIACAN,2023-01-13,134,103,31,0.76866
SI,CULIACAN,2023-01-14,125,102,23,0.816
SI,CULIACAN,2023-01-15,70,55,15,0.78571
SI,CULIACAN,2023-01-16,131,100,31,0.76336
SI,CULIACAN,2023-01-17,154,117,37,0.75974
SI,CULIACAN,2023-01-18,127,95,32,0.74803
SI,CULIACAN,2023-01-19,140,103,37,0.73571
SI,CULIACAN,2023-01-20,132,82,50,0.62121
SI,CULIACAN,2023-01-21,117,73,44,0.62393
SI,CULIACAN,2023-01-22,83,53,30,0.63855
SI,CULIACAN,2023-01-23,141,104,37,0.73759
SI,CULIACAN,2023-01-24,153,110,43,0.71895
SI,CULIACAN,2023-01-25,147,106,41,0.72109
SI,CULIACAN,2023-01-26,155,121,34,0.78065
SI,CULIACAN,2023-01-27,154,124,30,0.80519
SI,CULIACAN,2023-01-28,125,88,37,0.704
SI,CULIACAN,2023-01-29,92,60,32,0.65217
SI,CULIACAN,2023-01-30,137,104,33,0.75912
SI,CULIACAN,2023-01-31,137,95,42,0.69343
SI,CULIACAN,2023-02-01,124,87,37,0.70161
SI,CULIACAN,2023-02-02,129,86,43,0.66667
SI,CULIACAN,2023-02-03,140,95,45,0.67857
SI,CULIACAN,2023-02-04,131,91,40,0.69466
SI,CULIACAN,2023-02-05,65,45,20,0.69231
SI,CULIACAN,2023-02-06,110,68,42,0.61818
SI,CULIACAN,2023-02-07,160,96,64,0.6
SI,CULIACAN,2023-02-08,132,97,35,0.73485
SI,CULIACAN,2023-02-09,136,103,33,0.75735
SI,CULIACAN,2023-02-10,150,112,38,0.74667
SI,CULIACAN,2023-02-11,158,95,63,0.60127
SI,CULIACAN,2023-02-12,85,52,33,0.61176
SI,CULIACAN,2023-02-13,143,85,58,0.59441
SI,CULIACAN,2023-02-14,124,84,40,0.67742
SI,CULIACAN,2023-02-15,126,84,42,0.66667
SI,CULIACAN,2023-02-16,133,83,50,0.62406
SI,CULIACAN,2023-02-17,131,81,50,0.61832
SI,CULIACAN,2023-02-18,125,78,47,0.624
SI,CULIACAN,2023-02-19,75,49,26,0.65333
SI,CULIACAN,2023-02-20,144,94,50,0.65278
SI,CULIACAN,2023-02-21,149,99,50,0.66443
SI,CULIACAN,2023-02-22,132,81,51,0.61364
SI,CULIACAN,2023-02-23,137,85,52,0.62044
SI,CULIACAN,2023-02-24,136,92,44,0.67647
SI,CULIACAN,2023-02-25,145,105,40,0.72414
SI,CULIACAN,2023-02-26,75,53,22,0.70667
SI,CULIACAN,2023-02-27,123,72,51,0.58537
SI,CULIACAN,2023-02-28,135,97,38,0.71852
SI,CULIACAN,2023-03-01,134,92,42,0.68657
SI,CULIACAN,2023-03-02,130,82,48,0.63077
SI,CULIACAN,2023-03-03,142,105,37,0.73944
SI,CULIACAN,2023-03-04,166,121,45,0.72892
SI,CULIACAN,2023-03-05,86,45,41,0.52326
SI,CULIACAN,2023-03-06,142,81,61,0.57042
SI,CULIACAN,2023-03-07,140,90,50,0.64286
SI,CULIACAN,2023-03-08,115,62,53,0.53913
SI,CULIACAN,2023-03-09,76,41,35,0.53947
SI,CULIACAN,2023-03-10,98,40,58,0.40816
SI,CULIACAN,2023-03-11,81,32,49,0.39506
SI,CULIACAN,2023-03-12,65,28,37,0.43077
SI,CULIACAN,2023-03-13,80,38,42,0.475
SI,CULIACAN,2023-03-14,89,37,52,0.41573
SI,CULIACAN,2023-03-15,97,37,60,0.38144
SI,CULIACAN,2023-03-16,95,66,29,0.69474
SI,CULIACAN,2023-03-17,100,51,49,0.51
SI,CULIACAN,2023-03-18,92,54,38,0.58696
SI,CULIACAN,2023-03-19,67,41,26,0.61194
SI,CULIACAN,2023-03-20,67,35,32,0.52239
SI,CULIACAN,2023-03-21,106,82,24,0.77358
SI,CULIACAN,2023-03-22,110,85,25,0.77273
SI,CULIACAN,2023-03-23,112,93,19,0.83036
SI,CULIACAN,2023-03-24,98,85,13,0.86735
SI,CULIACAN,2023-03-25,95,82,13,0.86316
SI,CULIACAN,2023-03-26,77,70,7,0.90909
SI,CULIACAN,2023-03-27,98,80,18,0.81633
SI,CULIACAN,2023-03-28,105,87,18,0.82857
SI,CULIACAN,2023-03-29,104,95,9,0.91346
SI,CULIACAN,2023-03-30,98,74,24,0.7551
SI,CULIACAN,2023-03-31,90,79,11,0.87778
SI,CULIACAN,2023-04-01,82,64,18,0.78049
