PLAZA,Instalaciones,Addon,CDD,Soportes,Recolecciones
CIUDAD DE MEXICO,2602,1308,834,730,1124
GUADALAJARA,659,473,320,926,617
CIUDAD JUAREZ,892,519,280,204,730
MONTERREY,823,134,137,306,98
SAN LUIS POTOSI,494,81,51,102,412
TIJUANA,435,222,127,215,98
TOLUCA,228,101,57,112,135
TAMPICO,513,11,5,16,2
PUEBLA,193,83,68,32,96
CANCUN,162,50,52,39,76
