DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
NORTE-NORESTE,13/12/2021,442,1165,785,1463,2950
NORTE-NORESTE,14/12/2021,462,1253,879,1800,2874
NORTE-NORESTE,15/12/2021,476,1298,1160,2061,2871
NORTE-NORESTE,16/12/2021,488,1448,1391,2125,2768
NORTE-NORESTE,17/12/2021,530,1587,1504,2264,2713
NORTE-NORESTE,18/12/2021,570,1663,1358,2231,2725
NORTE-NORESTE,19/12/2021,590,1651,1135,1897,2726
NORTE-NORESTE,20/12/2021,553,1603,1056,1605,2716
NORTE-NORESTE,21/12/2021,550,1702,1090,1949,2637
NORTE-NORESTE,22/12/2021,516,1684,1163,2001,2510
NORTE-NORESTE,23/12/2021,481,1381,1122,2014,2408
NORTE-NORESTE,24/12/2021,453,1214,1059,1940,2132
NORTE-NORESTE,25/12/2021,451,1029,859,1405,2103
NORTE-NORESTE,26/12/2021,419,977,884,1229,2108
NORTE-NORESTE,27/12/2021,377,931,813,1299,2073
NORTE-NORESTE,28/12/2021,391,1005,959,1869,2098
NORTE-NORESTE,29/12/2021,414,898,1012,2122,1607
NORTE-NORESTE,30/12/2021,451,933,1021,2194,1483
NORTE-NORESTE,31/12/2021,460,901,1133,2110,1428
NORTE-NORESTE,01/01/2022,477,808,1131,1355,1419
NORTE-NORESTE,02/01/2022,501,818,1441,1197,1491
NORTE-NORESTE,03/01/2022,481,810,1400,1223,1502
NORTE-NORESTE,04/01/2022,580,997,1581,2008,1542
NORTE-NORESTE,05/01/2022,613,1050,1447,2336,1267
NORTE-NORESTE,06/01/2022,673,1094,1381,2701,1240
NORTE-NORESTE,07/01/2022,689,1171,1332,2794,1295
NORTE-NORESTE,08/01/2022,760,1353,1433,2848,1339
NORTE-NORESTE,09/01/2022,797,1491,1486,2521,1456
NORTE-NORESTE,10/01/2022,804,1499,1365,2231,1532
NORTE-NORESTE,11/01/2022,777,1553,1468,2520,1488
NORTE-NORESTE,12/01/2022,769,1545,1424,2538,1561
NORTE-NORESTE,13/01/2022,751,1545,1309,2783,1622
NORTE-NORESTE,14/01/2022,765,1532,1278,3014,1624
NORTE-NORESTE,15/01/2022,807,1551,1238,3293,1672
NORTE-NORESTE,16/01/2022,855,1554,1285,2948,1661
NORTE-NORESTE,17/01/2022,835,1570,1240,2571,1670
NORTE-NORESTE,18/01/2022,872,1640,1397,2848,1655
NORTE-NORESTE,19/01/2022,861,1631,1405,3177,1443
NORTE-NORESTE,20/01/2022,832,1672,1485,3458,1494
NORTE-NORESTE,21/01/2022,841,1687,1423,3580,1537
NORTE-NORESTE,22/01/2022,858,1688,1385,3698,1541
NORTE-NORESTE,23/01/2022,866,1705,1430,3311,1592
NORTE-NORESTE,24/01/2022,887,1723,1259,3031,1599
NORTE-NORESTE,25/01/2022,856,1807,1381,3365,1631
NORTE-NORESTE,26/01/2022,854,1767,1387,3631,1776
NORTE-NORESTE,27/01/2022,892,1833,1221,3846,1704
NORTE-NORESTE,28/01/2022,927,1751,1104,4165,1671
NORTE-NORESTE,29/01/2022,932,1650,974,4364,1617
NORTE-NORESTE,30/01/2022,915,1607,1002,4158,1596
NORTE-NORESTE,31/01/2022,894,1583,944,3691,1627
NORTE-NORESTE,01/02/2022,896,1537,1135,3760,1654
NORTE-NORESTE,02/02/2022,892,1510,1191,4071,1670
OCCIDENTE-BAJIO,01/06/2021,391,353,647,1246,1708
OCCIDENTE-BAJIO,02/06/2021,417,389,690,1308,1756
OCCIDENTE-BAJIO,03/06/2021,411,404,752,1318,1783
OCCIDENTE-BAJIO,04/06/2021,439,418,920,1393,1845
OCCIDENTE-BAJIO,05/06/2021,453,461,958,1414,1896
OCCIDENTE-BAJIO,06/06/2021,406,370,859,1281,1888
OCCIDENTE-BAJIO,07/06/2021,378,343,742,1108,1891
OCCIDENTE-BAJIO,08/06/2021,386,383,948,1222,1856
OCCIDENTE-BAJIO,09/06/2021,407,418,964,1300,1925
OCCIDENTE-BAJIO,10/06/2021,409,433,875,1326,1908
OCCIDENTE-BAJIO,11/06/2021,407,454,917,1313,1937
OCCIDENTE-BAJIO,12/06/2021,432,423,721,1315,1932
OCCIDENTE-BAJIO,13/06/2021,386,339,653,1169,1972
OCCIDENTE-BAJIO,14/06/2021,330,313,656,1057,1918
OCCIDENTE-BAJIO,15/06/2021,355,346,823,1191,1822
OCCIDENTE-BAJIO,16/06/2021,380,369,927,1236,1967
OCCIDENTE-BAJIO,17/06/2021,409,359,883,1321,1996
OCCIDENTE-BAJIO,18/06/2021,413,370,874,1342,1994
OCCIDENTE-BAJIO,19/06/2021,420,360,826,1352,1929
OCCIDENTE-BAJIO,20/06/2021,387,335,785,1169,1892
OCCIDENTE-BAJIO,21/06/2021,347,298,702,1018,1890
OCCIDENTE-BAJIO,22/06/2021,378,330,854,1160,1857
OCCIDENTE-BAJIO,23/06/2021,401,340,827,1174,1867
OCCIDENTE-BAJIO,24/06/2021,420,330,822,1265,1847
OCCIDENTE-BAJIO,25/06/2021,416,361,877,1329,1939
OCCIDENTE-BAJIO,26/06/2021,459,356,1128,1374,1924
OCCIDENTE-BAJIO,27/06/2021,471,356,1210,1284,1965
OCCIDENTE-BAJIO,28/06/2021,449,325,1121,1222,1985
OCCIDENTE-BAJIO,29/06/2021,522,387,1267,1412,1943
OCCIDENTE-BAJIO,30/06/2021,567,409,1273,1432,1773
OCCIDENTE-BAJIO,01/07/2021,630,509,1404,1386,1874
OCCIDENTE-BAJIO,02/07/2021,650,526,1435,1448,1915
OCCIDENTE-BAJIO,03/07/2021,654,533,1474,1461,1972
OCCIDENTE-BAJIO,04/07/2021,619,473,1283,1312,1987
OCCIDENTE-BAJIO,05/07/2021,589,469,1220,1090,1993
OCCIDENTE-BAJIO,06/07/2021,599,535,1319,1165,1956
OCCIDENTE-BAJIO,07/07/2021,581,551,1141,1223,1884
OCCIDENTE-BAJIO,08/07/2021,555,562,1006,1228,1837
OCCIDENTE-BAJIO,09/07/2021,549,606,1018,1271,1844
OCCIDENTE-BAJIO,10/07/2021,558,653,1059,1335,1870
OCCIDENTE-BAJIO,11/07/2021,525,602,827,1204,1879
OCCIDENTE-BAJIO,12/07/2021,479,549,787,1057,1923
OCCIDENTE-BAJIO,13/07/2021,484,565,981,1193,1819
OCCIDENTE-BAJIO,14/07/2021,445,558,1039,1274,1802
OCCIDENTE-BAJIO,15/07/2021,457,585,1227,1323,1816
OCCIDENTE-BAJIO,16/07/2021,481,601,1118,1415,1881
OCCIDENTE-BAJIO,17/07/2021,488,577,1172,1415,2005
OCCIDENTE-BAJIO,18/07/2021,471,542,1096,1312,2007
OCCIDENTE-BAJIO,19/07/2021,443,538,982,1185,2030
OCCIDENTE-BAJIO,20/07/2021,449,571,1186,1272,1943
OCCIDENTE-BAJIO,21/07/2021,454,608,1285,1243,2043
OCCIDENTE-BAJIO,22/07/2021,470,630,1284,1345,2042
OCCIDENTE-BAJIO,23/07/2021,480,699,1317,1462,2056
OCCIDENTE-BAJIO,24/07/2021,492,726,1255,1532,2058
OCCIDENTE-BAJIO,25/07/2021,444,625,1046,1367,2018
OCCIDENTE-BAJIO,26/07/2021,433,599,1008,1267,2078
OCCIDENTE-BAJIO,27/07/2021,470,636,1150,1451,2072
OCCIDENTE-BAJIO,28/07/2021,505,680,1438,1444,2153
OCCIDENTE-BAJIO,29/07/2021,543,739,1221,1545,2075
OCCIDENTE-BAJIO,30/07/2021,579,816,1369,1667,2075
OCCIDENTE-BAJIO,31/07/2021,622,833,1358,1681,2123
OCCIDENTE-BAJIO,01/08/2021,637,754,1223,1326,2197
OCCIDENTE-BAJIO,02/08/2021,626,721,1216,1267,2202
OCCIDENTE-BAJIO,03/08/2021,642,747,1472,1433,2289
OCCIDENTE-BAJIO,04/08/2021,656,794,1534,1510,2391
OCCIDENTE-BAJIO,05/08/2021,667,775,1579,1642,2445
OCCIDENTE-BAJIO,06/08/2021,654,759,1526,1670,2405
OCCIDENTE-BAJIO,07/08/2021,628,801,1539,1746,2337
OCCIDENTE-BAJIO,08/08/2021,596,753,1298,1613,2218
OCCIDENTE-BAJIO,09/08/2021,567,720,1158,1552,2249
OCCIDENTE-BAJIO,10/08/2021,561,764,1189,1580,2178
OCCIDENTE-BAJIO,11/08/2021,584,793,1266,1740,2226
OCCIDENTE-BAJIO,12/08/2021,611,886,1296,1748,2310
OCCIDENTE-BAJIO,13/08/2021,633,969,1334,1782,2359
OCCIDENTE-BAJIO,14/08/2021,680,1014,1502,1915,2389
OCCIDENTE-BAJIO,15/08/2021,683,952,1331,1773,2402
OCCIDENTE-BAJIO,16/08/2021,670,941,1252,1646,2429
OCCIDENTE-BAJIO,17/08/2021,713,1001,1183,1793,2389
OCCIDENTE-BAJIO,18/08/2021,740,1060,1326,1870,2417
OCCIDENTE-BAJIO,19/08/2021,759,1113,1446,2093,2525
OCCIDENTE-BAJIO,20/08/2021,743,1185,1501,2243,2539
OCCIDENTE-BAJIO,21/08/2021,799,1216,1471,2270,2549
OCCIDENTE-BAJIO,22/08/2021,773,1130,1166,2062,2562
OCCIDENTE-BAJIO,23/08/2021,762,1139,1084,1887,2543
OCCIDENTE-BAJIO,24/08/2021,763,1159,1083,2116,2570
OCCIDENTE-BAJIO,25/08/2021,809,1200,1134,2246,2687
OCCIDENTE-BAJIO,26/08/2021,843,1251,1254,2340,2783
OCCIDENTE-BAJIO,27/08/2021,868,1295,1248,2528,2859
OCCIDENTE-BAJIO,28/08/2021,900,1326,1203,2547,2904
OCCIDENTE-BAJIO,30/08/2021,901,1312,1169,2090,2888
OCCIDENTE-BAJIO,31/08/2021,970,1410,1363,2212,2798
OCCIDENTE-BAJIO,01/09/2021,1045,1497,1501,2179,2881
OCCIDENTE-BAJIO,02/09/2021,1083,1584,1475,2337,2975
OCCIDENTE-BAJIO,03/09/2021,1112,1638,1553,2462,3166
OCCIDENTE-BAJIO,04/09/2021,1157,1720,1618,2530,3206
OCCIDENTE-BAJIO,05/09/2021,1198,1811,1434,2049,3296
OCCIDENTE-BAJIO,06/09/2021,1243,1882,1415,1653,3327
OCCIDENTE-BAJIO,07/09/2021,1187,1894,1596,1838,3333
OCCIDENTE-BAJIO,08/09/2021,1172,1913,1718,1858,3450
OCCIDENTE-BAJIO,09/09/2021,1083,1960,1873,1903,3545
OCCIDENTE-BAJIO,10/09/2021,1039,2018,1947,2008,3615
OCCIDENTE-BAJIO,11/09/2021,986,1980,1994,2008,3683
OCCIDENTE-BAJIO,12/09/2021,912,1895,1770,1711,3759
OCCIDENTE-BAJIO,13/09/2021,874,1841,1571,1458,3771
OCCIDENTE-BAJIO,14/09/2021,901,1841,1843,1545,3708
OCCIDENTE-BAJIO,15/09/2021,904,1892,1757,1617,3803
OCCIDENTE-BAJIO,16/09/2021,887,1911,1745,1653,3882
OCCIDENTE-BAJIO,17/09/2021,863,1847,1434,1587,3903
OCCIDENTE-BAJIO,18/09/2021,906,1819,1532,1743,3970
OCCIDENTE-BAJIO,19/09/2021,893,1729,1239,1597,3915
OCCIDENTE-BAJIO,20/09/2021,903,1650,1123,1410,3935
OCCIDENTE-BAJIO,21/09/2021,924,1684,1302,1679,3926
OCCIDENTE-BAJIO,22/09/2021,901,1633,1459,1709,3943
OCCIDENTE-BAJIO,23/09/2021,901,1613,1288,1768,3999
OCCIDENTE-BAJIO,24/09/2021,888,1599,1344,1844,4023
OCCIDENTE-BAJIO,25/09/2021,877,1571,1283,1854,4077
OCCIDENTE-BAJIO,26/09/2021,820,1467,1226,1612,4117
OCCIDENTE-BAJIO,27/09/2021,765,1424,1230,1343,4047
OCCIDENTE-BAJIO,28/09/2021,815,1401,1317,1513,4015
OCCIDENTE-BAJIO,29/09/2021,807,1386,1329,1725,4007
OCCIDENTE-BAJIO,30/09/2021,785,1432,1412,1804,4080
OCCIDENTE-BAJIO,01/10/2021,823,1492,1786,1526,4118
OCCIDENTE-BAJIO,02/10/2021,851,1467,1654,1636,4168
OCCIDENTE-BAJIO,03/10/2021,839,1407,1351,1466,4158
OCCIDENTE-BAJIO,04/10/2021,821,1397,1218,1256,4171
OCCIDENTE-BAJIO,05/10/2021,840,1411,1138,1322,4259
OCCIDENTE-BAJIO,06/10/2021,836,1395,1121,1409,4267
OCCIDENTE-BAJIO,07/10/2021,793,1343,1153,1469,4295
OCCIDENTE-BAJIO,08/10/2021,765,1320,1246,1566,4313
OCCIDENTE-BAJIO,09/10/2021,751,1210,1155,1676,4353
OCCIDENTE-BAJIO,10/10/2021,669,1080,913,1438,4395
OCCIDENTE-BAJIO,11/10/2021,597,1051,762,1197,4383
OCCIDENTE-BAJIO,12/10/2021,539,1047,990,1364,4419
OCCIDENTE-BAJIO,13/10/2021,567,1089,1069,1433,4496
OCCIDENTE-BAJIO,14/10/2021,601,1124,924,1418,4586
OCCIDENTE-BAJIO,15/10/2021,580,1291,948,1461,4603
OCCIDENTE-BAJIO,16/10/2021,590,1274,914,1464,4678
OCCIDENTE-BAJIO,17/10/2021,534,1190,753,1240,4700
OCCIDENTE-BAJIO,18/10/2021,459,1066,776,1058,4695
OCCIDENTE-BAJIO,19/10/2021,473,1083,828,1202,4693
OCCIDENTE-BAJIO,20/10/2021,460,1064,825,1267,4709
OCCIDENTE-BAJIO,21/10/2021,445,1102,843,1296,4707
OCCIDENTE-BAJIO,22/10/2021,422,972,811,1319,4716
OCCIDENTE-BAJIO,23/10/2021,391,878,861,1315,4702
OCCIDENTE-BAJIO,24/10/2021,354,714,657,1018,4666
OCCIDENTE-BAJIO,25/10/2021,306,645,542,874,4585
OCCIDENTE-BAJIO,26/10/2021,316,719,690,1024,4464
OCCIDENTE-BAJIO,27/10/2021,357,730,746,1137,4546
OCCIDENTE-BAJIO,28/10/2021,383,699,844,1142,4545
OCCIDENTE-BAJIO,29/10/2021,394,668,763,1230,4467
OCCIDENTE-BAJIO,30/10/2021,445,657,755,1226,4454
OCCIDENTE-BAJIO,31/10/2021,392,631,630,1058,4498
OCCIDENTE-BAJIO,01/11/2021,306,544,487,757,4482
OCCIDENTE-BAJIO,02/11/2021,326,564,636,870,4466
OCCIDENTE-BAJIO,03/11/2021,311,545,636,818,4483
OCCIDENTE-BAJIO,04/11/2021,305,574,709,902,4531
OCCIDENTE-BAJIO,05/11/2021,327,592,669,999,4560
OCCIDENTE-BAJIO,06/11/2021,322,582,635,1089,4538
OCCIDENTE-BAJIO,07/11/2021,288,672,599,936,4529
OCCIDENTE-BAJIO,08/11/2021,235,582,428,802,4419
OCCIDENTE-BAJIO,09/11/2021,285,671,586,910,4352
OCCIDENTE-BAJIO,10/11/2021,302,766,576,990,4404
OCCIDENTE-BAJIO,11/11/2021,316,792,640,1100,4397
OCCIDENTE-BAJIO,12/11/2021,344,846,658,1236,4390
OCCIDENTE-BAJIO,13/11/2021,349,730,586,1266,4406
OCCIDENTE-BAJIO,14/11/2021,306,670,521,1111,4395
OCCIDENTE-BAJIO,15/11/2021,269,635,487,1039,4455
OCCIDENTE-BAJIO,16/11/2021,227,587,464,1278,4422
OCCIDENTE-BAJIO,17/11/2021,272,709,710,1580,4451
OCCIDENTE-BAJIO,18/11/2021,348,944,923,1365,4535
OCCIDENTE-BAJIO,19/11/2021,376,966,1069,1390,3805
OCCIDENTE-BAJIO,20/11/2021,368,905,1082,1406,3757
OCCIDENTE-BAJIO,21/11/2021,372,908,882,1315,3797
OCCIDENTE-BAJIO,22/11/2021,337,836,813,1207,3808
OCCIDENTE-BAJIO,23/11/2021,368,791,916,1379,3717
OCCIDENTE-BAJIO,24/11/2021,382,750,941,1495,3764
OCCIDENTE-BAJIO,25/11/2021,399,761,946,1708,3744
OCCIDENTE-BAJIO,26/11/2021,398,758,1053,1868,3724
OCCIDENTE-BAJIO,27/11/2021,388,758,937,1948,3670
OCCIDENTE-BAJIO,28/11/2021,356,763,761,1879,3707
OCCIDENTE-BAJIO,29/11/2021,342,677,685,1846,3665
OCCIDENTE-BAJIO,30/11/2021,364,731,848,1932,3593
OCCIDENTE-BAJIO,01/12/2021,402,794,858,1777,3665
OCCIDENTE-BAJIO,02/12/2021,426,853,974,1752,3759
OCCIDENTE-BAJIO,03/12/2021,478,943,1004,1632,3758
OCCIDENTE-BAJIO,04/12/2021,498,1012,979,1511,3731
OCCIDENTE-BAJIO,05/12/2021,425,972,816,1256,3678
OCCIDENTE-BAJIO,06/12/2021,374,849,723,1043,3710
OCCIDENTE-BAJIO,07/12/2021,348,856,769,1222,3606
OCCIDENTE-BAJIO,08/12/2021,337,819,796,1202,3702
OCCIDENTE-BAJIO,09/12/2021,347,833,799,1206,3705
OCCIDENTE-BAJIO,10/12/2021,361,795,756,1251,3144
OCCIDENTE-BAJIO,11/12/2021,336,736,675,1241,3155
OCCIDENTE-BAJIO,12/12/2021,295,609,582,1093,3177
OCCIDENTE-BAJIO,13/12/2021,267,510,475,872,3183
OCCIDENTE-BAJIO,14/12/2021,295,527,566,1027,3052
OCCIDENTE-BAJIO,15/12/2021,306,600,732,1203,3021
OCCIDENTE-BAJIO,16/12/2021,328,688,864,1461,2887
OCCIDENTE-BAJIO,17/12/2021,345,767,912,1563,2831
OCCIDENTE-BAJIO,18/12/2021,364,865,890,1567,2810
OCCIDENTE-BAJIO,19/12/2021,346,812,773,1288,2771
OCCIDENTE-BAJIO,20/12/2021,297,661,773,1218,2734
OCCIDENTE-BAJIO,21/12/2021,315,680,922,1424,2604
OCCIDENTE-BAJIO,22/12/2021,318,704,904,1478,2464
OCCIDENTE-BAJIO,23/12/2021,319,661,1041,1511,2348
OCCIDENTE-BAJIO,24/12/2021,302,554,863,1485,1846
OCCIDENTE-BAJIO,25/12/2021,262,452,667,1224,1734
OCCIDENTE-BAJIO,26/12/2021,248,434,626,1118,1710
OCCIDENTE-BAJIO,27/12/2021,243,399,584,1107,1587
OCCIDENTE-BAJIO,28/12/2021,272,438,666,1447,1668
OCCIDENTE-BAJIO,29/12/2021,297,455,657,1496,1259
OCCIDENTE-BAJIO,30/12/2021,292,462,587,1494,1245
OCCIDENTE-BAJIO,31/12/2021,285,475,554,1412,1197
OCCIDENTE-BAJIO,01/01/2022,255,374,395,1097,1123
OCCIDENTE-BAJIO,02/01/2022,253,332,476,983,1170
OCCIDENTE-BAJIO,03/01/2022,229,255,464,938,1031
OCCIDENTE-BAJIO,04/01/2022,283,338,618,1308,1025
OCCIDENTE-BAJIO,05/01/2022,357,391,688,1446,740
OCCIDENTE-BAJIO,06/01/2022,344,376,648,1621,640
OCCIDENTE-BAJIO,07/01/2022,354,396,728,1656,759
OCCIDENTE-BAJIO,08/01/2022,389,441,813,1669,789
OCCIDENTE-BAJIO,09/01/2022,349,462,756,1345,792
OCCIDENTE-BAJIO,10/01/2022,307,399,611,1232,746
OCCIDENTE-BAJIO,11/01/2022,346,430,885,1454,735
OCCIDENTE-BAJIO,12/01/2022,359,536,927,1456,779
OCCIDENTE-BAJIO,13/01/2022,414,619,951,1438,922
OCCIDENTE-BAJIO,14/01/2022,437,690,929,1553,915
OCCIDENTE-BAJIO,15/01/2022,450,737,930,1687,943
OCCIDENTE-BAJIO,16/01/2022,453,706,992,1460,887
OCCIDENTE-BAJIO,17/01/2022,415,669,894,1236,938
OCCIDENTE-BAJIO,18/01/2022,453,741,1096,1378,979
OCCIDENTE-BAJIO,19/01/2022,477,762,1181,1562,868
OCCIDENTE-BAJIO,20/01/2022,510,809,1253,1590,935
OCCIDENTE-BAJIO,21/01/2022,515,862,1139,1545,929
OCCIDENTE-BAJIO,22/01/2022,529,831,1112,1537,957
OCCIDENTE-BAJIO,23/01/2022,500,759,934,1309,997
OCCIDENTE-BAJIO,24/01/2022,441,647,720,1183,924
OCCIDENTE-BAJIO,25/01/2022,430,670,835,1400,861
OCCIDENTE-BAJIO,26/01/2022,470,608,886,1480,1017
OCCIDENTE-BAJIO,27/01/2022,511,596,914,1505,1016
OCCIDENTE-BAJIO,28/01/2022,539,595,900,1603,948
OCCIDENTE-BAJIO,29/01/2022,577,557,999,1594,982
OCCIDENTE-BAJIO,30/01/2022,535,535,884,1427,929
OCCIDENTE-BAJIO,31/01/2022,510,495,875,1260,899
OCCIDENTE-BAJIO,01/02/2022,570,562,1044,1222,954
OCCIDENTE-BAJIO,02/02/2022,598,613,934,1297,1033
