DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
CENTRO-SUR,01/09/2021,2254,3294,2600,4709,2576
CENTRO-SUR,02/09/2021,2480,3903,2711,5091,2799
CENTRO-SUR,03/09/2021,2656,4414,2849,5507,3122
CENTRO-SUR,04/09/2021,2819,4743,2854,5533,3309
CENTRO-SUR,05/09/2021,2994,5111,2630,4620,3541
CENTRO-SUR,06/09/2021,3108,5290,2509,3460,3690
CENTRO-SUR,07/09/2021,3002,5428,3129,4189,4003
CENTRO-SUR,08/09/2021,3020,5619,3084,4387,4180
CENTRO-SUR,09/09/2021,2954,5714,3416,4877,4334
CENTRO-SUR,10/09/2021,2840,5915,3054,4912,4421
CENTRO-SUR,11/09/2021,2775,5831,2769,4912,4424
CENTRO-SUR,12/09/2021,2585,5361,2343,4538,4676
CENTRO-SUR,13/09/2021,2263,4922,2144,3860,4812
CENTRO-SUR,14/09/2021,2202,4935,2267,4060,4811
CENTRO-SUR,15/09/2021,2092,4805,2253,4245,4997
CENTRO-SUR,16/09/2021,2079,4521,1970,4013,5178
CENTRO-SUR,17/09/2021,2046,4369,1855,3734,5389
CENTRO-SUR,18/09/2021,1922,4268,1951,4150,5312
CENTRO-SUR,19/09/2021,1841,4082,1458,4033,5480
CENTRO-SUR,20/09/2021,1617,3742,1193,3628,5499
CENTRO-SUR,21/09/2021,1681,3743,1362,4227,5489
CENTRO-SUR,22/09/2021,1745,3796,1295,4169,5475
CENTRO-SUR,23/09/2021,1717,3678,1137,4197,5664
CENTRO-SUR,24/09/2021,1671,3563,1028,4214,5702
CENTRO-SUR,25/09/2021,1703,3415,1104,4332,5716
CENTRO-SUR,26/09/2021,1611,3113,894,3722,5705
CENTRO-SUR,27/09/2021,1390,2674,762,3321,5664
CENTRO-SUR,28/09/2021,1490,2564,982,3573,5640
CENTRO-SUR,29/09/2021,1612,2664,1004,4102,5598
CENTRO-SUR,30/09/2021,1880,2839,1086,3966,5658
CENTRO-SUR,01/10/2021,2135,2975,1130,3767,5782
CENTRO-SUR,02/10/2021,2220,2990,1048,3698,5843
CENTRO-SUR,03/10/2021,1997,2740,923,3238,5745
CENTRO-SUR,04/10/2021,1749,2322,823,2714,5537
CENTRO-SUR,05/10/2021,1636,2253,1040,2739,5554
CENTRO-SUR,06/10/2021,1544,2331,1048,3123,5544
CENTRO-SUR,07/10/2021,1512,2484,996,3462,5532
CENTRO-SUR,08/10/2021,1398,2358,1000,3637,5432
CENTRO-SUR,09/10/2021,1308,2295,906,3737,5298
CENTRO-SUR,10/10/2021,1150,2055,701,3678,5159
CENTRO-SUR,11/10/2021,954,1908,799,3388,4790
CENTRO-SUR,12/10/2021,1076,1920,830,3815,4586
CENTRO-SUR,13/10/2021,1193,2174,931,4184,4585
CENTRO-SUR,14/10/2021,1251,2318,911,4291,4639
CENTRO-SUR,15/10/2021,1237,2912,786,4528,4552
CENTRO-SUR,16/10/2021,1337,3057,937,4815,4656
CENTRO-SUR,17/10/2021,1294,2934,807,4499,4651
CENTRO-SUR,18/10/2021,1096,2594,765,4074,4518
CENTRO-SUR,19/10/2021,1134,2812,1021,4490,4469
CENTRO-SUR,20/10/2021,1175,2943,1006,4878,4580
CENTRO-SUR,21/10/2021,1227,3030,903,4786,4627
CENTRO-SUR,22/10/2021,1227,2901,899,4735,4667
CENTRO-SUR,23/10/2021,1246,2718,889,4752,4549
CENTRO-SUR,24/10/2021,1095,2296,806,4428,4480
CENTRO-SUR,25/10/2021,946,2077,752,4044,4166
CENTRO-SUR,26/10/2021,1081,2753,876,4294,3938
CENTRO-SUR,27/10/2021,1305,2859,975,4500,4041
CENTRO-SUR,28/10/2021,1422,2781,938,4778,3993
CENTRO-SUR,29/10/2021,1441,2699,960,5003,3789
CENTRO-SUR,30/10/2021,1499,2506,892,4935,3811
CENTRO-SUR,31/10/2021,1371,2335,789,4193,3797
CENTRO-SUR,01/11/2021,1230,2068,657,3128,3662
CENTRO-SUR,02/11/2021,1124,1943,726,3142,3412
CENTRO-SUR,03/11/2021,986,1797,705,2896,3371
CENTRO-SUR,04/11/2021,1034,1775,773,2801,3282
CENTRO-SUR,05/11/2021,1055,1755,821,2954,3300
CENTRO-SUR,06/11/2021,1027,1616,641,3079,3216
CENTRO-SUR,07/11/2021,781,1467,638,2718,3053
CENTRO-SUR,08/11/2021,588,1246,565,2275,2661
CENTRO-SUR,09/11/2021,723,1606,803,2871,2259
CENTRO-SUR,10/11/2021,779,1746,823,3210,2307
CENTRO-SUR,11/11/2021,893,1969,854,3953,2279
