PLAZA,fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
PACHUCA,2021-08-25,1,9,2,0,6
PACHUCA,2021-08-26,1,13,2,0,8
PACHUCA,2021-08-27,2,10,5,0,8
PACHUCA,2021-08-28,1,8,1,1,5
PACHUCA,2021-08-29,2,5,1,0,5
PACHUCA,2021-08-30,2,10,5,0,8
PACHUCA,2021-08-31,1,18,2,0,9
PACHUCA,2021-09-01,2,17,14,0,15
PACHUCA,2021-09-02,0,20,10,0,12
PACHUCA,2021-09-03,0,15,6,0,9
PACHUCA,2021-09-04,2,13,9,0,10
PACHUCA,2021-09-05,0,9,2,0,7
PACHUCA,2021-09-06,1,20,9,0,10
PACHUCA,2021-09-07,0,23,10,0,12
PACHUCA,2021-09-08,1,15,2,0,7
PACHUCA,2021-09-09,0,5,7,0,5
PACHUCA,2021-09-10,3,5,3,0,5
PACHUCA,2021-09-11,1,5,3,0,5
PACHUCA,2021-09-12,0,6,0,0,4
PACHUCA,2021-09-13,0,5,0,0,3
PACHUCA,2021-09-14,0,2,1,0,1
PACHUCA,2021-09-15,0,10,1,0,6
PACHUCA,2021-09-16,1,5,0,0,6
PACHUCA,2021-09-17,0,10,5,0,8
PACHUCA,2021-09-18,2,4,4,0,6
PACHUCA,2021-09-19,1,3,6,0,8
PACHUCA,2021-09-20,1,9,5,0,8
PACHUCA,2021-09-21,1,3,3,0,4
PACHUCA,2021-09-22,0,6,5,0,6
PACHUCA,2021-09-23,1,9,0,0,5
PACHUCA,2021-09-24,3,3,1,0,3
PACHUCA,2021-09-25,0,8,1,0,5
PACHUCA,2021-09-26,1,1,0,0,2
PACHUCA,2021-09-27,2,5,1,0,5
PACHUCA,2021-09-28,0,3,2,2,4
PACHUCA,2021-09-29,2,11,4,0,8
PACHUCA,2021-09-30,0,12,2,0,6
PACHUCA,2021-10-01,4,4,4,1,6
PACHUCA,2021-10-02,1,10,1,0,6
PACHUCA,2021-10-03,1,7,0,0,5
PACHUCA,2021-10-04,0,9,2,0,6
PACHUCA,2021-10-05,1,3,3,0,3
PACHUCA,2021-10-06,2,11,2,0,7
PACHUCA,2021-10-07,3,6,1,0,4
PACHUCA,2021-10-08,0,5,2,0,3
PACHUCA,2021-10-09,0,6,4,0,5
PACHUCA,2021-10-10,0,5,0,0,3
PACHUCA,2021-10-11,0,12,4,0,8
PACHUCA,2021-10-12,1,13,2,0,7
PACHUCA,2021-10-13,2,9,2,0,6
PACHUCA,2021-10-14,2,5,3,0,5
PACHUCA,2021-10-15,1,7,0,1,4
PACHUCA,2021-10-16,1,7,1,0,4
PACHUCA,2021-10-17,0,4,1,0,4
PACHUCA,2021-10-18,2,12,5,1,9
PACHUCA,2021-10-19,2,3,5,0,5
PACHUCA,2021-10-20,0,4,0,0,2
PACHUCA,2021-10-21,2,4,0,1,3
PACHUCA,2021-10-22,0,3,0,0,1
PACHUCA,2021-10-23,1,4,1,0,3
PACHUCA,2021-10-24,0,3,0,0,2
PACHUCA,2021-10-25,1,7,1,0,5
PACHUCA,2021-10-26,1,6,0,0,3
PACHUCA,2021-10-27,0,5,1,0,3
PACHUCA,2021-10-28,3,3,0,0,3
PACHUCA,2021-10-29,0,5,1,0,3
PACHUCA,2021-10-30,2,7,3,0,6
PACHUCA,2021-10-31,0,2,1,0,2
PACHUCA,2021-11-01,1,2,0,0,2
PACHUCA,2021-11-02,0,3,1,0,2
PACHUCA,2021-11-03,1,11,0,0,7
PACHUCA,2021-11-04,0,1,0,0,1
PACHUCA,2021-11-06,0,0,1,0,1
PACHUCA,2021-11-07,1,4,1,0,5
PACHUCA,2021-11-08,2,6,1,0,5
PACHUCA,2021-11-09,2,8,0,0,5
PACHUCA,2021-11-10,2,3,0,0,3
PACHUCA,2021-11-11,1,6,3,0,NA
PACHUCA,2021-11-12,2,10,3,0,7
PACHUCA,2021-11-13,2,10,2,1,7
PACHUCA,2021-11-14,1,5,1,0,4
PACHUCA,2021-11-15,0,4,2,0,3
PACHUCA,2021-11-16,0,14,1,0,6
PACHUCA,2021-11-17,2,9,2,0,5
PACHUCA,2021-11-18,2,9,1,0,5
PACHUCA,2021-11-19,2,11,0,0,5
PACHUCA,2021-11-20,1,9,2,0,5
PACHUCA,2021-11-21,2,4,0,0,4
PACHUCA,2021-11-22,2,8,0,0,5
PACHUCA,2021-11-23,1,7,0,0,4
PACHUCA,2021-11-24,1,4,0,0,2
PACHUCA,2021-11-25,3,6,4,0,5
PACHUCA,2021-11-26,0,3,1,0,NA
PACHUCA,2021-11-27,0,2,0,0,1
PACHUCA,2021-11-28,0,2,0,0,1
PACHUCA,2021-11-29,2,2,2,0,3
PACHUCA,2021-11-30,3,9,2,0,6
PACHUCA,2021-12-01,0,6,1,0,NA
PACHUCA,2021-12-02,3,6,0,0,5
PACHUCA,2021-12-03,0,0,1,1,NA
PACHUCA,2021-12-04,1,2,0,0,2
PACHUCA,2021-12-05,1,2,1,0,4
PACHUCA,2021-12-06,1,4,2,0,NA
PACHUCA,2021-12-07,1,6,1,0,4
PACHUCA,2021-12-08,2,4,0,0,3
PACHUCA,2021-12-09,1,5,0,0,3
PACHUCA,2021-12-10,1,5,0,0,3
PACHUCA,2021-12-11,1,6,0,0,4
PACHUCA,2021-12-12,0,1,0,0,1
PACHUCA,2021-12-13,0,7,0,0,4
PACHUCA,2021-12-14,0,5,1,0,3
PACHUCA,2021-12-15,0,3,0,0,2
PACHUCA,2021-12-16,0,5,0,0,NA
PACHUCA,2021-12-17,0,5,2,0,4
PACHUCA,2021-12-18,0,6,0,0,3
PACHUCA,2021-12-19,0,1,0,0,1
PACHUCA,2021-12-20,1,2,0,0,2
PACHUCA,2021-12-21,0,2,0,0,NA
PACHUCA,2021-12-22,1,6,0,0,4
PACHUCA,2021-12-23,1,5,2,0,4
PACHUCA,2021-12-24,2,4,0,0,5
PACHUCA,2021-12-25,0,4,0,0,8
PACHUCA,2021-12-26,0,1,1,0,2
PACHUCA,2021-12-27,1,2,1,0,2
PACHUCA,2021-12-28,1,6,0,0,3
PACHUCA,2021-12-29,0,5,1,0,3
PACHUCA,2021-12-30,0,2,0,0,1
PACHUCA,2021-12-31,1,2,0,0,2
PACHUCA,2022-01-02,2,1,0,0,4
PACHUCA,2022-01-03,1,2,1,0,2
PACHUCA,2022-01-04,2,7,1,0,NA
PACHUCA,2022-01-05,0,2,0,0,1
PACHUCA,2022-01-06,0,2,0,0,1
PACHUCA,2022-01-07,0,5,1,0,3
PACHUCA,2022-01-08,2,2,0,0,2
PACHUCA,2022-01-09,2,2,0,0,3
PACHUCA,2022-01-10,0,5,0,0,NA
PACHUCA,2022-01-11,2,1,2,1,3
PACHUCA,2022-01-12,0,3,0,0,2
PACHUCA,2022-01-13,1,3,0,0,2
PACHUCA,2022-01-14,1,1,0,0,1
PACHUCA,2022-01-15,0,2,0,0,1
PACHUCA,2022-01-16,1,1,0,2,NA
PACHUCA,2022-01-17,2,5,0,0,5
PACHUCA,2022-01-18,2,7,0,0,5
PACHUCA,2022-01-19,0,6,1,0,4
PACHUCA,2022-01-20,3,6,1,0,5
PACHUCA,2022-01-21,0,2,0,0,1
PACHUCA,2022-01-22,1,5,0,0,3
PACHUCA,2022-01-23,2,0,0,0,1
PACHUCA,2022-01-24,0,3,0,0,2
PACHUCA,2022-01-25,2,3,0,0,2
PACHUCA,2022-01-26,0,4,0,0,2
PACHUCA,2022-01-27,1,6,0,0,4
PACHUCA,2022-01-28,2,2,0,0,2
PACHUCA,2022-01-29,1,0,2,0,2
PACHUCA,2022-01-30,2,4,0,0,4
PACHUCA,2022-01-31,1,6,3,0,5
PACHUCA,2022-02-01,0,5,0,0,2
PACHUCA,2022-02-02,0,5,1,0,3
PACHUCA,2022-02-03,3,5,0,0,4
PACHUCA,2022-02-04,1,5,0,0,3
PACHUCA,2022-02-05,3,5,1,0,5
PACHUCA,2022-02-06,0,5,2,0,5
PACHUCA,2022-02-07,0,3,1,0,3
PACHUCA,2022-02-08,1,3,0,0,2
PACHUCA,2022-02-09,1,3,0,0,2
PACHUCA,2022-02-10,0,5,0,0,3
PACHUCA,2022-02-11,0,3,1,0,2
PACHUCA,2022-02-12,0,1,0,0,1
PACHUCA,2022-02-13,0,3,0,0,2
PACHUCA,2022-02-14,1,6,1,0,5
PACHUCA,2022-02-15,2,2,0,0,2
PACHUCA,2022-02-16,1,3,0,0,2
POZA RICA,2021-08-18,0,3,1,0,10
POZA RICA,2021-08-19,0,3,0,0,6
POZA RICA,2021-08-20,0,2,0,0,4
POZA RICA,2021-08-21,0,0,1,0,5
POZA RICA,2021-08-22,0,6,0,0,15
POZA RICA,2021-08-23,3,9,0,0,12
POZA RICA,2021-08-24,3,25,9,2,21
POZA RICA,2021-08-25,11,58,56,1,38
POZA RICA,2021-08-26,11,83,59,4,51
POZA RICA,2021-08-27,9,105,80,2,55
POZA RICA,2021-08-28,3,94,80,4,57
POZA RICA,2021-08-29,3,40,55,1,52
POZA RICA,2021-08-30,4,70,111,1,83
POZA RICA,2021-08-31,13,102,101,3,74
POZA RICA,2021-09-01,10,110,90,2,84
POZA RICA,2021-09-02,8,99,68,0,74
POZA RICA,2021-09-03,14,157,104,0,90
POZA RICA,2021-09-04,7,156,107,1,69
POZA RICA,2021-09-05,6,133,105,0,71
POZA RICA,2021-09-06,18,165,153,3,102
POZA RICA,2021-09-07,10,192,181,0,100
POZA RICA,2021-09-08,10,173,196,0,113
POZA RICA,2021-09-09,11,135,166,1,85
POZA RICA,2021-09-10,3,91,192,0,79
POZA RICA,2021-09-11,11,84,150,0,71
POZA RICA,2021-09-12,1,83,129,1,64
POZA RICA,2021-09-13,8,70,190,0,97
POZA RICA,2021-09-14,3,70,131,0,64
POZA RICA,2021-09-15,4,46,84,0,56
POZA RICA,2021-09-16,10,58,98,0,79
