PLAZA,fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
ACAPULCO,2021-08-16,0,2,0,0,5
ACAPULCO,2021-08-18,1,1,0,0,4
ACAPULCO,2021-08-20,0,1,0,0,2
ACAPULCO,2021-08-23,0,1,0,0,2
ACAPULCO,2021-08-24,0,3,1,0,9
ACAPULCO,2021-08-25,0,4,0,0,9
ACAPULCO,2021-08-26,0,1,0,0,2
ACAPULCO,2021-08-27,0,9,1,0,21
ACAPULCO,2021-08-28,0,4,3,0,11
ACAPULCO,2021-08-29,0,4,1,0,7
ACAPULCO,2021-08-30,0,2,0,0,4
ACAPULCO,2021-08-31,1,1,0,0,4
ACAPULCO,2021-09-01,0,1,1,0,4
ACAPULCO,2021-09-02,1,4,4,0,16
ACAPULCO,2021-09-03,2,2,4,0,16
ACAPULCO,2021-09-04,1,5,2,0,11
ACAPULCO,2021-09-05,0,4,2,0,9
ACAPULCO,2021-09-06,1,1,5,0,10
ACAPULCO,2021-09-07,0,5,5,0,15
ACAPULCO,2021-09-08,0,7,5,1,17
ACAPULCO,2021-09-09,0,7,2,0,11
ACAPULCO,2021-09-10,0,3,3,0,9
ACAPULCO,2021-09-11,0,4,0,0,6
ACAPULCO,2021-09-12,0,1,1,0,3
ACAPULCO,2021-09-13,0,4,2,0,10
ACAPULCO,2021-09-14,0,2,2,0,7
ACAPULCO,2021-09-15,1,3,0,0,6
ACAPULCO,2021-09-16,2,2,2,0,14
ACAPULCO,2021-09-17,0,3,3,0,8
ACAPULCO,2021-09-18,1,3,2,0,11
ACAPULCO,2021-09-20,1,2,0,0,6
ACAPULCO,2021-09-22,0,1,0,0,2
ACAPULCO,2021-09-23,1,0,0,0,2
ACAPULCO,2021-09-28,0,2,0,0,4
ACAPULCO,2021-09-29,0,2,1,0,4
ACAPULCO,2021-09-30,0,1,0,0,2
ACAPULCO,2021-10-01,1,3,1,0,7
ACAPULCO,2021-10-02,0,2,0,0,4
ACAPULCO,2021-10-04,0,1,0,0,2
ACAPULCO,2021-10-05,0,1,0,0,1
ACAPULCO,2021-10-06,2,2,2,0,9
ACAPULCO,2021-10-07,1,4,1,0,11
ACAPULCO,2021-10-09,1,0,1,0,3
ACAPULCO,2021-10-11,0,2,1,0,4
ACAPULCO,2021-10-12,0,5,0,0,6
ACAPULCO,2021-10-13,0,2,0,0,4
ACAPULCO,2021-10-14,0,1,0,0,1
ACAPULCO,2021-10-15,0,1,0,0,1
ACAPULCO,2021-10-16,1,2,0,0,5
ACAPULCO,2021-10-18,0,1,1,0,3
ACAPULCO,2021-10-20,1,4,0,0,8
ACAPULCO,2021-10-21,0,3,0,0,6
ACAPULCO,2021-10-22,0,1,0,0,2
ACAPULCO,2021-10-23,0,1,0,0,2
ACAPULCO,2021-10-25,0,1,1,0,3
ACAPULCO,2021-10-26,0,0,0,1,2
ACAPULCO,2021-10-28,0,0,1,0,2
ACAPULCO,2021-10-29,1,1,0,0,3
ACAPULCO,2021-10-30,2,0,0,0,3
ACAPULCO,2021-10-31,0,0,1,0,2
ACAPULCO,2021-11-01,0,3,1,0,7
ACAPULCO,2021-11-04,1,2,0,0,5
ACAPULCO,2021-11-05,0,3,0,0,5
ACAPULCO,2021-11-06,0,2,1,0,5
ACAPULCO,2021-11-07,0,2,0,0,3
ACAPULCO,2021-11-09,0,2,0,0,3
ACAPULCO,2021-11-10,0,1,0,0,1
ACAPULCO,2021-11-11,1,1,0,0,NA
ACAPULCO,2021-11-13,1,3,0,0,6
