Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
PLAZA,MERIDA,4,2376,250,0.105218855
PLAZA,MEXICALI,1,942,66,0.070063694
PLAZA,MEXICALI,2,974,86,0.088295688
PLAZA,MEXICALI,3,1210,90,0.074380165
PLAZA,MEXICALI,4,1068,97,0.09082397
PLAZA,MONTERREY,1,11332,1683,0.148517473
PLAZA,MONTERREY,2,10621,1558,0.146690519
PLAZA,MONTERREY,3,11460,1568,0.136823735
PLAZA,MONTERREY,4,12740,1921,0.150784929
PLAZA,MORELIA,1,573,29,0.05061082
PLAZA,MORELIA,2,530,38,0.071698113
PLAZA,MORELIA,3,640,41,0.0640625
PLAZA,MORELIA,4,604,33,0.054635762
PLAZA,PACHUCA,1,1453,103,0.070887818
PLAZA,PACHUCA,2,1387,83,0.059841384
PLAZA,PACHUCA,3,1487,101,0.067921991
PLAZA,PACHUCA,4,1525,102,0.066885246
PLAZA,PIEDRAS NEGRAS / MONCLOVA,4,11,2,0.181818182
PLAZA,POZA RICA,1,309,28,0.090614887
PLAZA,POZA RICA,2,256,13,0.05078125
PLAZA,POZA RICA,3,283,24,0.084805654
PLAZA,POZA RICA,4,257,13,0.050583658
PLAZA,PUEBLA,1,2709,152,0.056109265
PLAZA,PUEBLA,2,2598,123,0.047344111
PLAZA,PUEBLA,3,3000,167,0.055666667
PLAZA,PUEBLA,4,2990,151,0.050501672
PLAZA,PUERTO VALLARTA,1,979,171,0.174668029
PLAZA,PUERTO VALLARTA,2,890,123,0.138202247
PLAZA,PUERTO VALLARTA,3,894,86,0.096196868
PLAZA,PUERTO VALLARTA,4,941,111,0.117959617
PLAZA,QUERETARO,1,1083,75,0.069252078
PLAZA,QUERETARO,2,1151,97,0.084274544
PLAZA,QUERETARO,3,1283,95,0.074045207
PLAZA,QUERETARO,4,1282,121,0.094383775
PLAZA,REYNOSA,2,89,3,0.033707865
PLAZA,REYNOSA,3,272,23,0.084558824
PLAZA,REYNOSA,4,430,95,0.220930233
PLAZA,SALTILLO,1,2019,276,0.136701337
PLAZA,SALTILLO,2,1699,211,0.1241907
PLAZA,SALTILLO,3,1770,190,0.107344633
PLAZA,SALTILLO,4,1840,193,0.104891304
PLAZA,SAN LUIS POTOSI,1,4919,587,0.119333198
PLAZA,SAN LUIS POTOSI,2,4563,551,0.12075389
PLAZA,SAN LUIS POTOSI,3,4792,529,0.110392321
PLAZA,SAN LUIS POTOSI,4,5140,795,0.154669261
PLAZA,TAMPICO,1,422,42,0.099526066
PLAZA,TAMPICO,2,576,57,0.098958333
PLAZA,TAMPICO,3,662,78,0.117824773
PLAZA,TAMPICO,4,613,64,0.104404568
PLAZA,TEPIC,1,41,5,0.12195122
PLAZA,TEPIC,2,69,6,0.086956522
PLAZA,TEPIC,3,90,4,0.044444444
PLAZA,TEPIC,4,105,3,0.028571429
PLAZA,TIJUANA,1,8412,1547,0.183903947
PLAZA,TIJUANA,2,7745,1294,0.167075533
PLAZA,TIJUANA,3,8781,1433,0.163193258
PLAZA,TIJUANA,4,8463,1546,0.182677538
PLAZA,TOLUCA,1,5463,627,0.114772103
PLAZA,TOLUCA,2,5311,611,0.115044248
PLAZA,TOLUCA,3,5793,603,0.104091144
PLAZA,TOLUCA,4,5763,643,0.111573833
PLAZA,TUXTLA,1,467,25,0.053533191
PLAZA,TUXTLA,2,597,27,0.045226131
PLAZA,TUXTLA,3,675,48,0.071111111
PLAZA,TUXTLA,4,629,39,0.06200318
PLAZA,VERACRUZ,1,2639,217,0.082228117
PLAZA,VERACRUZ,2,1926,154,0.079958463
PLAZA,VERACRUZ,3,2493,214,0.085840353
PLAZA,VERACRUZ,4,2073,176,0.08490111
PLAZA,VILLAHERMOSA,1,335,16,0.047761194
PLAZA,VILLAHERMOSA,2,315,11,0.034920635
PLAZA,VILLAHERMOSA,3,330,18,0.054545455
PLAZA,VILLAHERMOSA,4,444,18,0.040540541
PLAZA,XALAPA,1,1073,46,0.042870457
PLAZA,XALAPA,2,939,46,0.048988285
PLAZA,XALAPA,3,1259,49,0.038919778
PLAZA,XALAPA,4,1159,43,0.037100949
DISTRITO,ACAPULCO,1,278,33,0.118705036
DISTRITO,ACAPULCO,2,231,21,0.090909091
DISTRITO,ACAPULCO,3,275,29,0.105454545
DISTRITO,ACAPULCO,4,268,23,0.085820896
DISTRITO,AEROPUERTO,1,1453,160,0.110116999
DISTRITO,AEROPUERTO,2,1317,130,0.098709188
DISTRITO,AEROPUERTO,3,1496,171,0.114304813
DISTRITO,AEROPUERTO,4,1649,151,0.091570649
DISTRITO,AGUASCALIENTES,1,1331,89,0.066867017
DISTRITO,AGUASCALIENTES,2,1372,65,0.047376093
