Fecha,Distrito,Tiempo Prom. Traslado (Sin 1 era),Tiempo sumT traslado sin1ra24,n traslados sin1ra
23/02/2024,CONDESA,00:34,4.948611111,204
24/02/2024,CONDESA,00:28,4.470833333,226
25/02/2024,CONDESA,00:25,2.8125,160
26/02/2024,CONDESA,00:31,5.773611111,268
27/02/2024,CONDESA,00:34,6.392361111,267
28/02/2024,CONDESA,00:29,6.48125,313
29/02/2024,CONDESA,00:35,8.165277778,336
01/03/2024,CONDESA,00:32,6.223611111,279
02/03/2024,CONDESA,00:29,5.197916667,256
03/03/2024,CONDESA,00:25,3.6875,206
04/03/2024,CONDESA,00:28,5.365277778,274
05/03/2024,CONDESA,00:33,6.297916667,273
06/03/2024,CONDESA,00:34,6.618055556,279
07/03/2024,CONDESA,00:24,4.488888889,265
08/03/2024,CONDESA,00:26,5.56875,308
09/03/2024,CONDESA,00:25,4.415277778,251
10/03/2024,CONDESA,00:26,4.240972222,234
11/03/2024,CONDESA,00:25,4.700694444,266
12/03/2024,CONDESA,00:29,5.489583333,267
13/03/2024,CONDESA,00:28,5.290277778,268
14/03/2024,CONDESA,00:31,6.373611111,288
15/03/2024,CONDESA,00:32,5.971527778,266
16/03/2024,CONDESA,00:32,4.936111111,219
17/03/2024,CONDESA,00:24,3.015277778,174
18/03/2024,CONDESA,00:22,2.607638889,166
19/03/2024,CONDESA,00:28,5,252
20/03/2024,CONDESA,00:31,6.275,287
21/03/2024,CONDESA,00:38,5.434027778,202
22/03/2024,CONDESA,00:31,5.49375,249
23/03/2024,CONDESA,00:29,4.998611111,244
24/03/2024,CONDESA,00:31,3.211805556,146
25/03/2024,CONDESA,00:29,4.25,205
26/03/2024,CONDESA,00:28,4.502083333,227
27/03/2024,CONDESA,00:32,5.455555556,240
28/03/2024,CONDESA,00:26,3.558333333,190
29/03/2024,CONDESA,00:26,3.65,196
30/03/2024,CONDESA,00:27,3.059027778,160
31/03/2024,CONDESA,00:26,3.290972222,177
01/04/2024,CONDESA,00:27,4.180555556,221
01/11/2023,LAS AGUILAS,00:42,2.372916667,80
02/11/2023,LAS AGUILAS,00:39,2.467361111,91
03/11/2023,LAS AGUILAS,00:38,2.503472222,94
04/11/2023,LAS AGUILAS,00:37,2.291666667,89
05/11/2023,LAS AGUILAS,00:42,2.217361111,76
06/11/2023,LAS AGUILAS,00:42,3.195833333,109
07/11/2023,LAS AGUILAS,00:50,3.856944444,110
08/11/2023,LAS AGUILAS,00:41,2.845138889,99
09/11/2023,LAS AGUILAS,00:49,3.596527778,105
10/11/2023,LAS AGUILAS,00:41,3.045138889,105
11/11/2023,LAS AGUILAS,00:40,2.670138889,94
12/11/2023,LAS AGUILAS,00:40,2.404166667,85
13/11/2023,LAS AGUILAS,00:43,2.686111111,88
14/11/2023,LAS AGUILAS,00:39,3.189583333,116
15/11/2023,LAS AGUILAS,00:41,3.31875,114
16/11/2023,LAS AGUILAS,00:46,3.131944444,97
17/11/2023,LAS AGUILAS,00:45,3.026388889,96
18/11/2023,LAS AGUILAS,00:40,2.054861111,73
19/11/2023,LAS AGUILAS,00:46,2.390972222,74
20/11/2023,LAS AGUILAS,00:41,2.016666667,70
21/11/2023,LAS AGUILAS,00:44,2.668055556,87
22/11/2023,LAS AGUILAS,00:41,3.375,116
23/11/2023,LAS AGUILAS,00:41,3.548611111,122
24/11/2023,LAS AGUILAS,00:44,3.559722222,115
25/11/2023,LAS AGUILAS,00:38,2.7875,105
26/11/2023,LAS AGUILAS,00:44,3.235416667,104
27/11/2023,LAS AGUILAS,00:45,3.427083333,109
28/11/2023,LAS AGUILAS,00:44,3.575694444,117
29/11/2023,LAS AGUILAS,00:44,3.238888889,104
